cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1679788,2021-04-20,COIN,WILSON FREDERICK R,,0001209191-21-027704,2021-04-16,J,391079,0.0,0,I,,,,,,
1679788,2021-04-20,COIN,Ehrsam Frederick Ernest III,,0001209191-21-027703,2021-04-19,S,669,338.9371,2220976,I,,,,,,
1679788,2021-04-20,COIN,Ehrsam Frederick Ernest III,,0001209191-21-027702,2021-04-16,S,800,324.6749,2349575,I,,,,,,
1679788,2021-04-20,COIN,Ehrsam Frederick Ernest III,,0001209191-21-027702,2021-04-19,S,1515,328.1007,2279360,I,,,,,,
1679788,2021-04-22,COIN,Ehrsam Frederick Ernest III,,0001209191-21-028039,2021-04-20,S,494,315.4281,2220381,I,,,,,,
1679788,2021-04-22,COIN,Ehrsam Frederick Ernest III,,0001209191-21-028039,2021-04-21,S,1300,308.315,2149575,I,,,,,,
1679788,2021-04-26,COIN,Ehrsam Frederick Ernest III,,0001209191-21-028433,2021-04-22,S,400,288.005,2085475,I,,,,,,
1679788,2021-04-26,COIN,Andreessen Marc L,,0001209191-21-028432,2021-04-22,J,1162,0.0,486322,I,,,,,,
1679788,2021-05-24,COIN,Jones Jennifer N.,,0001209191-21-035594,2021-05-20,M,2518,0.0,21001,D,,,,,,
1679788,2021-05-24,COIN,Haun Kathryn,,0001209191-21-035593,2021-05-20,M,2418,0.0,9346,D,,,,,,
1679788,2021-05-24,COIN,Jones Jennifer N.,,0001209191-21-035594,2021-05-24,F,2026,224.8,20542,D,,,,,,
1679788,2021-05-24,COIN,WILSON FREDERICK R,,0001209191-21-035595,2021-05-20,G,58069,0.0,0,I,,,,,,
1679788,2021-05-24,COIN,HAAS ALESIA J,,0001209191-21-035591,2021-05-20,M,20723,0.0,20723,D,,,,,,
1679788,2021-05-24,COIN,Choi Emilie,,0001209191-21-035590,2021-05-24,F,22832,224.8,63187,D,,,,,,
1679788,2021-05-24,COIN,HAAS ALESIA J,,0001209191-21-035591,2021-05-24,F,10275,224.8,10448,D,,,,,,
1679788,2021-05-24,COIN,Choi Emilie,,0001209191-21-035590,2021-05-20,M,46050,0.0,86019,D,,,,,,
1679788,2021-05-25,COIN,Andreessen Marc L,,0001209191-21-035604,2021-05-24,S,873,224.9947,16600,I,,,,,,
1679788,2021-05-25,COIN,"Andreessen Horowitz LSV Fund I, L.P.",,0001209191-21-035603,2021-05-21,C,5220839,0.0,5220839,I,,,,,,
1679788,2021-05-25,COIN,"Andreessen Horowitz LSV Fund I, L.P.",,0001209191-21-035603,2021-05-21,J,425185,0.0,0,I,,,,,,
1679788,2021-05-25,COIN,"Andreessen Horowitz LSV Fund I, L.P.",,0001209191-21-035603,2021-05-24,S,873,224.9947,16600,I,,,,,,
1679788,2021-05-25,COIN,"a16z Seed-III, LLC",,0001209191-21-035602,2021-05-21,C,5220839,0.0,5220839,I,,,,,,
1679788,2021-05-25,COIN,"a16z Seed-III, LLC",,0001209191-21-035602,2021-05-21,J,425185,0.0,0,I,,,,,,
1679788,2021-05-25,COIN,"a16z Seed-III, LLC",,0001209191-21-035602,2021-05-24,S,873,224.9947,16600,I,,,,,,
1679788,2021-05-25,COIN,Haun Kathryn,,0001209191-21-035775,2021-05-21,J,1154711,0.0,2263232,I,,,,,,
1679788,2021-05-25,COIN,Haun Kathryn,,0001209191-21-035775,2021-05-24,S,9522,225.2418,0,D,,,,,,
1679788,2021-05-25,COIN,Andreessen Marc L,,0001209191-21-035604,2021-05-21,C,5220839,0.0,5220839,I,,,,,,
1679788,2021-05-25,COIN,Andreessen Marc L,,0001209191-21-035604,2021-05-21,J,425185,0.0,0,I,,,,,,
1679788,2021-08-16,COIN,Haun Kathryn,,0001679788-21-000029,2021-08-12,S,2571,256.2468,107429,I,,,,,,
1679788,2021-08-16,COIN,Jones Jennifer N.,,0001679788-21-000028,2021-08-12,M,1059,18.13,21601,D,,,,,,
