cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
711404,2015-12-30,COO,RUBENSTEIN ALLAN E,,0001127602-15-035076,2015-12-23,G,20.0,0.0,8129.0,D,,,,,,
711404,2015-12-30,COO,RUBENSTEIN ALLAN E,,0001127602-15-035076,2015-12-29,G,90.0,0.0,8039.0,D,,,,,,
711404,2016-01-06,COO,ROSENBERG STEVEN,,0001127602-16-036241,2016-01-05,A,899.0,0.1,12359.0,D,,,,,,
711404,2016-01-06,COO,PETERSMEYER GARY S,,0001127602-16-036240,2016-01-05,A,899.0,0.1,1715.0,D,,,,,,
711404,2016-01-12,COO,Golden Randal,,0001127602-16-036793,2016-01-08,M,758.0,,3704.0,D,,,,,,
711404,2016-01-12,COO,KAUFMAN CAROL R,,0001127602-16-036794,2016-01-08,F,1525.0,0.0,40674.0,D,,,,,,
711404,2016-01-12,COO,KAUFMAN CAROL R,,0001127602-16-036794,2016-01-08,M,2667.0,,42199.0,D,,,,,,
711404,2016-01-12,COO,McBride Daniel G,,0001127602-16-036796,2016-01-08,A,4950.0,0.0,23897.0,D,,,,,,
711404,2016-01-12,COO,KALKSTEIN MICHAEL,,0001127602-16-036803,2016-01-11,A,899.0,0.1,14215.0,D,,,,,,
711404,2016-01-12,COO,WEISS ROBERT S,,0001127602-16-036798,2016-01-08,F,7943.0,0.0,102254.0,D,,,,,,
711404,2016-01-12,COO,REMMELL PAUL L,,0001127602-16-036797,2016-01-08,M,1956.0,,6114.0,D,,,,,,
711404,2016-01-12,COO,REMMELL PAUL L,,0001127602-16-036797,2016-01-08,F,950.0,0.0,5164.0,D,,,,,,
711404,2016-01-12,COO,Golden Randal,,0001127602-16-036793,2016-01-08,F,332.0,0.0,3372.0,D,,,,,,
711404,2016-01-12,COO,White Albert G III,,0001127602-16-036799,2016-01-08,A,4950.0,0.0,34125.0,D,,,,,,
711404,2016-01-12,COO,McBride Daniel G,,0001127602-16-036796,2016-01-08,M,1975.0,,23245.0,D,,,,,,
711404,2016-01-12,COO,Maloney Tina,,0001127602-16-036795,2016-01-08,M,398.0,,2223.0,D,,,,,,
711404,2016-01-12,COO,Maloney Tina,,0001127602-16-036795,2016-01-08,F,175.0,0.0,2048.0,D,,,,,,
711404,2016-01-12,COO,Matz Gregory W,,0001127602-16-036792,2016-01-08,M,1975.0,,14950.0,D,,,,,,
711404,2016-01-12,COO,Matz Gregory W,,0001127602-16-036792,2016-01-08,F,1142.0,0.0,13808.0,D,,,,,,
711404,2016-01-12,COO,McBride Daniel G,,0001127602-16-036796,2016-01-08,F,2627.0,0.0,21270.0,D,,,,,,
711404,2016-01-12,COO,WEISS ROBERT S,,0001127602-16-036798,2016-01-08,A,15000.0,0.0,110197.0,D,,,,,,
711404,2016-01-12,COO,White Albert G III,,0001127602-16-036799,2016-01-08,M,1975.0,,33473.0,D,,,,,,
711404,2016-01-12,COO,White Albert G III,,0001127602-16-036799,2016-01-08,F,2627.0,0.0,31498.0,D,,,,,,
711404,2016-02-02,COO,REMMELL PAUL L,,0001127602-16-039178,2016-02-01,F,602.0,0.0,6633.0,D,,,,,,
711404,2016-02-02,COO,KAUFMAN CAROL R,,0001127602-16-039174,2016-02-01,A,1688.0,0.0,43368.0,D,,,,,,
711404,2016-02-02,COO,McBride Daniel G,,0001127602-16-039180,2016-02-01,A,1238.0,0.0,24328.0,D,,,,,,
711404,2016-02-02,COO,McBride Daniel G,,0001127602-16-039180,2016-02-01,F,684.0,0.0,23644.0,D,,,,,,
711404,2016-02-02,COO,Matz Gregory W,,0001127602-16-039181,2016-02-01,A,1238.0,0.0,15807.0,D,,,,,,
711404,2016-02-02,COO,WEISS ROBERT S,,0001127602-16-039175,2016-02-01,F,2072.0,0.0,103932.0,D,,,,,,
711404,2016-02-02,COO,White Albert G III,,0001127602-16-039176,2016-02-01,A,1238.0,0.0,34323.0,D,,,,,,
711404,2016-02-02,COO,White Albert G III,,0001127602-16-039176,2016-02-01,F,684.0,0.0,33639.0,D,,,,,,
711404,2016-02-02,COO,REMMELL PAUL L,,0001127602-16-039178,2016-02-01,A,1238.0,0.0,7235.0,D,,,,,,
711404,2016-02-02,COO,Matz Gregory W,,0001127602-16-039181,2016-02-01,F,684.0,0.0,15123.0,D,,,,,,
711404,2016-02-02,COO,WEISS ROBERT S,,0001127602-16-039175,2016-02-01,A,3750.0,0.0,106004.0,D,,,,,,
711404,2016-02-02,COO,KAUFMAN CAROL R,,0001127602-16-039174,2016-02-01,F,933.0,0.0,42435.0,D,,,,,,
711404,2016-03-10,COO,Matz Gregory W,,0001127602-16-045954,2016-03-09,M,10000.0,38.89,25123.0,D,,,,,,
711404,2016-03-10,COO,Matz Gregory W,,0001127602-16-045954,2016-03-09,S,1800.0,144.93,23323.0,D,,,,,,
711404,2016-04-12,COO,KOZY WILLIAM A,,0001127602-16-049163,2016-04-11,A,500.0,0.1,500.0,D,,,,,,
711404,2016-04-14,COO,KAUFMAN CAROL R,,0001127602-16-049215,2016-04-14,G,91.0,0.0,42344.0,D,,,,,,
711404,2016-04-15,COO,KAUFMAN CAROL R,,0001127602-16-049234,2016-04-15,G,651.0,0.0,41693.0,D,,,,,,
711404,2016-04-20,COO,Jay Colleen,,0001127602-16-049553,2016-04-19,A,500.0,0.1,500.0,D,,,,,,
711404,2016-06-07,COO,RUBENSTEIN ALLAN E,,0001127602-16-054941,2016-06-06,M,3000.0,66.8,11039.0,D,,,,,,
711404,2016-06-07,COO,RUBENSTEIN ALLAN E,,0001127602-16-054941,2016-06-06,S,3000.0,165.0066,8039.0,D,,,,,,
711404,2016-06-07,COO,RUBENSTEIN ALLAN E,,0001127602-16-054941,2016-06-07,G,90.0,0.0,7949.0,D,,,,,,
711404,2016-06-07,COO,KAUFMAN CAROL R,,0001127602-16-054938,2016-06-06,M,10357.0,15.83,52050.0,D,,,,,,
711404,2016-06-07,COO,KAUFMAN CAROL R,,0001127602-16-054938,2016-06-06,S,12143.0,165.1102,52050.0,D,,,,,,
711404,2016-06-07,COO,KAUFMAN CAROL R,,0001127602-16-054938,2016-06-07,M,20857.0,42.65,62550.0,D,,,,,,
711404,2016-06-07,COO,KAUFMAN CAROL R,,0001127602-16-054938,2016-06-07,S,10000.0,162.3349,58693.0,D,,,,,,
711404,2016-06-08,COO,BENDER A THOMAS,,0001127602-16-055083,2016-06-06,M,2000.0,42.49,14978.0,D,,,,,,
711404,2016-06-08,COO,BENDER A THOMAS,,0001127602-16-055083,2016-06-06,S,2000.0,164.105,12978.0,D,,,,,,
711404,2016-06-08,COO,BENDER A THOMAS,,0001127602-16-055083,2016-06-07,M,2000.0,42.49,14978.0,D,,,,,,
711404,2016-06-08,COO,BENDER A THOMAS,,0001127602-16-055083,2016-06-07,S,2000.0,164.2825,12978.0,D,,,,,,
711404,2016-06-15,COO,BENDER A THOMAS,,0001127602-16-055586,2016-06-13,S,2000.0,163.505,12978.0,D,,,,,,
711404,2016-06-15,COO,Matz Gregory W,,0001127602-16-055587,2016-06-13,S,2264.0,162.8198,23795.0,D,,,,,,
711404,2016-06-15,COO,RUBENSTEIN ALLAN E,,0001127602-16-055590,2016-06-08,G,104.0,0.0,7845.0,D,,,,,,
711404,2016-06-15,COO,PETERSMEYER GARY S,,0001127602-16-055589,2016-06-14,M,3000.0,102.08,4715.0,D,,,,,,
711404,2016-06-15,COO,PETERSMEYER GARY S,,0001127602-16-055589,2016-06-14,S,3000.0,162.5083,1715.0,D,,,,,,
