cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1163165,2018-02-06,COP,Schwarz Glenda Mae,,0001209191-18-007929,2018-02-05,M,1850.0,,16945.0,D,,,,,,
1163165,2018-02-06,COP,Fox Matthew J,,0001209191-18-007916,2018-02-05,M,11303.0,,73268.0,D,,,,,,
1163165,2018-02-06,COP,KELLY JANET LANGFORD,,0001209191-18-007925,2018-02-05,F,1200.0,56.94,41211.0,D,,,,,,
1163165,2018-02-06,COP,McMorran James D,,0001209191-18-007927,2018-02-05,M,1025.0,,0.0,D,,,,,,
1163165,2018-02-06,COP,McMorran James D,,0001209191-18-007927,2018-02-05,D,799.0,56.94,0.0,D,,,,,,
1163165,2018-02-06,COP,McMorran James D,,0001209191-18-007927,2018-02-05,F,226.0,56.94,0.0,D,,,,,,
1163165,2018-02-06,COP,KELLY JANET LANGFORD,,0001209191-18-007925,2018-02-05,M,5453.0,,41211.0,D,,,,,,
1163165,2018-02-06,COP,KELLY JANET LANGFORD,,0001209191-18-007925,2018-02-05,D,4253.0,56.94,41211.0,D,,,,,,
1163165,2018-02-06,COP,Fox Matthew J,,0001209191-18-007916,2018-02-05,D,8816.0,56.94,73268.0,D,,,,,,
1163165,2018-02-06,COP,Schwarz Glenda Mae,,0001209191-18-007929,2018-02-05,D,1330.0,56.94,16945.0,D,,,,,,
1163165,2018-02-06,COP,Hirshberg Al J.,,0001209191-18-007923,2018-02-05,D,8344.0,56.94,81207.0,D,,,,,,
1163165,2018-02-06,COP,Hirshberg Al J.,,0001209191-18-007923,2018-02-05,F,2354.0,56.94,81207.0,D,,,,,,
1163165,2018-02-06,COP,Wallette Don E Jr.,,0001209191-18-007915,2018-02-05,M,6528.0,,54926.0,D,,,,,,
1163165,2018-02-06,COP,Wallette Don E Jr.,,0001209191-18-007915,2018-02-05,D,5092.0,56.94,54926.0,D,,,,,,
1163165,2018-02-06,COP,Wallette Don E Jr.,,0001209191-18-007915,2018-02-05,F,1436.0,56.94,54926.0,D,,,,,,
1163165,2018-02-06,COP,Fox Matthew J,,0001209191-18-007916,2018-02-05,F,2487.0,56.94,73268.0,D,,,,,,
1163165,2018-02-06,COP,Hirshberg Al J.,,0001209191-18-007923,2018-02-05,M,10698.0,,81207.0,D,,,,,,
1163165,2018-02-06,COP,Schwarz Glenda Mae,,0001209191-18-007929,2018-02-05,F,520.0,56.94,16945.0,D,,,,,,
1163165,2018-02-21,COP,Schwarz Glenda Mae,,0001209191-18-011805,2018-02-17,M,4443.0,,16945.0,D,,,,,,
1163165,2018-02-21,COP,Schwarz Glenda Mae,,0001209191-18-011805,2018-02-17,D,3365.0,54.645,16945.0,D,,,,,,
1163165,2018-02-21,COP,Schwarz Glenda Mae,,0001209191-18-011805,2018-02-17,F,1078.0,54.645,16945.0,D,,,,,,
1163165,2018-02-21,COP,McMorran James D,,0001209191-18-011804,2018-02-17,M,3510.0,,0.0,D,,,,,,
1163165,2018-02-21,COP,McMorran James D,,0001209191-18-011804,2018-02-17,D,2601.0,54.645,0.0,D,,,,,,
1163165,2018-02-21,COP,McMorran James D,,0001209191-18-011804,2018-02-17,F,909.0,54.645,0.0,D,,,,,,
1163165,2018-02-21,COP,Lance Ryan Michael,,0001209191-18-011803,2018-02-17,M,62242.0,,45197.0,D,,,,,,
1163165,2018-02-21,COP,Lance Ryan Michael,,0001209191-18-011803,2018-02-17,D,40495.0,54.645,45197.0,D,,,,,,
1163165,2018-02-21,COP,Lance Ryan Michael,,0001209191-18-011803,2018-02-17,F,21747.0,54.645,45197.0,D,,,,,,
1163165,2018-02-21,COP,LUNDQUIST ANDREW D,,0001209191-18-011802,2018-02-17,M,4308.0,,2353.0,D,,,,,,
1163165,2018-02-21,COP,LUNDQUIST ANDREW D,,0001209191-18-011802,2018-02-17,D,3011.0,54.645,2353.0,D,,,,,,
1163165,2018-02-21,COP,LUNDQUIST ANDREW D,,0001209191-18-011802,2018-02-17,F,1297.0,54.645,2353.0,D,,,,,,
1163165,2018-02-21,COP,DeSanctis Ellen,,0001209191-18-011801,2018-02-17,M,5016.0,,22578.0,D,,,,,,
1163165,2018-02-21,COP,DeSanctis Ellen,,0001209191-18-011801,2018-02-17,D,3759.0,54.645,22578.0,D,,,,,,
1163165,2018-02-21,COP,DeSanctis Ellen,,0001209191-18-011801,2018-02-17,F,1257.0,54.645,22578.0,D,,,,,,
1163165,2018-02-21,COP,KELLY JANET LANGFORD,,0001209191-18-011800,2018-02-17,M,13481.0,,41211.0,D,,,,,,
1163165,2018-02-21,COP,KELLY JANET LANGFORD,,0001209191-18-011800,2018-02-17,D,13074.0,54.645,41211.0,D,,,,,,
1163165,2018-02-21,COP,KELLY JANET LANGFORD,,0001209191-18-011800,2018-02-17,F,407.0,54.645,41211.0,D,,,,,,
1163165,2018-02-21,COP,Wallette Don E Jr.,,0001209191-18-011799,2018-02-17,M,18321.0,,54926.0,D,,,,,,
1163165,2018-02-21,COP,Wallette Don E Jr.,,0001209191-18-011799,2018-02-17,D,17783.0,54.645,54926.0,D,,,,,,
1163165,2018-02-21,COP,Wallette Don E Jr.,,0001209191-18-011799,2018-02-17,F,538.0,54.645,54926.0,D,,,,,,
1163165,2018-02-21,COP,Hirshberg Al J.,,0001209191-18-011798,2018-02-17,M,25920.0,,81207.0,D,,,,,,
1163165,2018-02-21,COP,Hirshberg Al J.,,0001209191-18-011798,2018-02-17,D,16798.0,54.645,81207.0,D,,,,,,
1163165,2018-02-21,COP,Hirshberg Al J.,,0001209191-18-011798,2018-02-17,F,9122.0,54.645,81207.0,D,,,,,,
1163165,2018-02-21,COP,Fox Matthew J,,0001209191-18-011797,2018-02-17,M,29349.0,,73268.0,D,,,,,,
1163165,2018-02-21,COP,Fox Matthew J,,0001209191-18-011797,2018-02-17,D,18781.0,54.645,73268.0,D,,,,,,
1163165,2018-02-21,COP,Fox Matthew J,,0001209191-18-011797,2018-02-17,F,10568.0,54.645,73268.0,D,,,,,,
1163165,2018-03-29,COP,LUNDQUIST ANDREW D,,0001209191-18-022107,2018-03-29,M,25000.0,33.125,27353.0,D,,,,,,
1163165,2018-03-29,COP,LUNDQUIST ANDREW D,,0001209191-18-022107,2018-03-29,S,25000.0,58.9562,2353.0,D,,,,,,
1163165,2018-04-17,COP,Freeman Jody,,0001209191-18-025243,2018-04-16,M,3716.0,,3716.0,D,,,,,,
1163165,2018-05-01,COP,Freeman Jody,,0001209191-18-027167,2018-04-30,S,3716.0,65.5507,0.0,D,,,,,,
1163165,2018-05-04,COP,KELLY JANET LANGFORD,,0001209191-18-028078,2018-05-03,M,59389.0,34.67,100600.0,D,,,,,,
1163165,2018-05-04,COP,KELLY JANET LANGFORD,,0001209191-18-028078,2018-05-03,S,59389.0,65.9471,41211.0,D,,,,,,
1163165,2018-05-08,COP,KELLY JANET LANGFORD,,0001209191-18-028691,2018-05-07,M,50000.0,34.67,561738.7546,I,,,,,,
