cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1834584,2021-03-15,CPNG,Kim Bom Suk,,0001209191-21-020563,2021-03-15,C,1200000,,1200000,D,,,,,,
1834584,2021-03-15,CPNG,Kim Bom Suk,,0001209191-21-020563,2021-03-15,S,1200000,35.0,0,D,,,,,,
1834584,2021-03-15,CPNG,You Harry L.,,0001209191-21-020562,2021-03-15,P,28571,35.0,236131,D,,,,,,
1834584,2021-03-15,CPNG,Jett Lydia,,0001209191-21-020553,2021-03-15,P,28571,35.0,28571,D,,,,,,
1834584,2021-03-17,CPNG,GREENOAKS CAPITAL PARTNERS LLC,,0000902664-21-001967,2021-03-15,A,147186002,,285687223,I,,,,,,
1834584,2021-03-17,CPNG,Jett Lydia,,0001209191-21-021438,2021-03-15,A,8571,0.0,37142,D,,,,,,
1834584,2021-07-30,CPNG,Sun Benjamin,,0001209191-21-048991,2021-07-28,J,951992,0.0,0,D,,,,,,
1834584,2021-08-17,CPNG,GREENOAKS CAPITAL PARTNERS LLC,,0000902664-21-003924,2021-08-13,J,57693991,,223428661,I,,,,,,
1834584,2021-08-17,CPNG,Sun Benjamin,,0001209191-21-052075,2021-08-13,J,6034691,37.04,2586293,I,,,,,,
1834584,2021-08-18,CPNG,Anand Gaurav,,0001209191-21-052448,2021-08-16,S,160000,33.33,2060750,D,,,,,,
1834584,2021-08-18,CPNG,Pham Thuan,,0001209191-21-052447,2021-08-16,S,359687,33.17,3040313,D,,,,,,
1834584,2021-08-20,CPNG,Parker Michael,,0001209191-21-052845,2021-08-18,M,50000,1.99,50000,D,,,,,,
1834584,2021-08-20,CPNG,Parker Michael,,0001209191-21-052845,2021-08-18,S,50000,32.86,0,D,,,,,,
1834584,2021-09-03,CPNG,Sun Benjamin,,0001209191-21-054890,2021-09-01,J,2586293,35.19,0,I,,,,,,
1834584,2021-09-15,CPNG,Sun Benjamin,,0001209191-21-056305,2021-09-13,J,757128,30.52,3941562,I,,,,,,
1834584,2021-09-16,CPNG,SVF Investments (UK) Ltd,,0000899243-21-036355,2021-09-14,S,57000000,29.685,568156413,I,,,,,,
1834584,2021-09-17,CPNG,GREENOAKS CAPITAL PARTNERS LLC,,0000902664-21-004267,2021-09-15,J,1515511,,221913150,I,,,,,,
1834584,2021-10-07,CPNG,Pham Thuan,,0001209191-21-059983,2021-10-05,S,65805,26.6,2974508,D,,,,,,
1834584,2021-11-18,CPNG,GREENOAKS CAPITAL PARTNERS LLC,,0000902664-21-005048,2021-11-16,J,19503997,,202409153,I,,,,,,
1834584,2021-12-02,CPNG,GREENOAKS CAPITAL PARTNERS LLC,,0000902664-21-005148,2021-11-30,P,460000,26.61,202869153,I,,,,,,
1834584,2021-12-02,CPNG,GREENOAKS CAPITAL PARTNERS LLC,,0000902664-21-005148,2021-12-01,P,160266,27.04,203029419,I,,,,,,
1834584,2021-12-15,CPNG,Parker Michael,,0001209191-21-069841,2021-12-13,M,12000,1.99,12000,D,,,,,,
1834584,2021-12-15,CPNG,Parker Michael,,0001209191-21-069841,2021-12-13,S,12000,26.47,0,D,,,,,,
1834584,2021-12-16,CPNG,Anand Gaurav,,0001209191-21-070102,2021-12-14,M,18750,1.93,2079500,D,,,,,,
1834584,2021-12-16,CPNG,Anand Gaurav,,0001209191-21-070102,2021-12-14,S,350000,27.36,2287500,D,,,,,,
1834584,2021-12-17,CPNG,GREENOAKS CAPITAL PARTNERS LLC,,0000902664-21-005313,2021-12-15,J,49991781,,153037638,I,,,,,,
1834584,2022-01-06,CPNG,Pham Thuan,,0001209191-22-002272,2022-01-04,S,94323,27.53,2826067,D,,,,,,
1834584,2022-01-06,CPNG,Pham Thuan,,0001209191-22-002272,2022-01-06,S,1189,25.5,2798968,D,,,,,,
1834584,2022-03-08,CPNG,GREENOAKS CAPITAL PARTNERS LLC,,0000902664-22-002064,2022-03-04,J,50319804,,102717834,I,,,,,,
1834584,2022-03-11,CPNG,SVF Investments (UK) Ltd,,0000899243-22-010730,2022-03-09,S,50000000,20.87,461156413,I,,,,,,
1834584,2022-03-17,CPNG,Franceschi Pedro,,0001209191-22-019846,2022-03-15,A,5167,0.0,5167,D,,,,,,
1834584,2022-03-21,CPNG,GREENOAKS CAPITAL PARTNERS LLC,,0000902664-22-002240,2022-03-17,P,200000,18.85,102917834,I,,,,,,
