cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1108524,2016-05-31,CRM,Martinez Maria,,0001127602-16-054030,2016-05-26,M,724,0.0,28820,D,non_derivative,Common Stock,,,,
1108524,2016-05-31,CRM,Norton Burke F,,0001127602-16-054032,2016-05-26,M,1086,0.0,6511,D,derivative,Restricted Stock Units,Common Stock,1086.0,0.001,2017-11-26
1108524,2016-05-31,CRM,Dayon Alexandre,,0001127602-16-054038,2016-05-26,M,2713,0.0,10839,D,non_derivative,Common Stock,,,,
1108524,2016-05-31,CRM,Hawkins Mark J,,0001127602-16-054028,2016-05-26,M,1876,0.0,8397,D,non_derivative,Common Stock,,,,
1108524,2016-05-31,CRM,Allanson Joe,,0001127602-16-054034,2016-05-26,M,453,0.0,21326,D,non_derivative,Common Stock,,,,
1108524,2016-05-31,CRM,Weaver Amy E,,0001127602-16-054004,2016-05-26,M,1206,0.0,7235,D,derivative,Restricted Stock Units,Common Stock,1206.0,0.0,2017-11-26
1108524,2016-05-31,CRM,Norton Burke F,,0001127602-16-054032,2016-05-26,M,1086,0.0,72027,D,non_derivative,Common Stock,,,,
1108524,2016-05-31,CRM,Weaver Amy E,,0001127602-16-054004,2016-05-27,S,601,83.4134,10529,D,non_derivative,Common Stock,,,,
1108524,2016-05-31,CRM,Martinez Maria,,0001127602-16-054030,2016-05-26,M,724,0.0,4341,D,derivative,Restricted Stock Units,Common Stock,724.0,0.001,2017-11-26
1108524,2016-05-31,CRM,Robbins Cynthia G.,,0001127602-16-054036,2016-05-26,M,1206,0.0,7235,D,derivative,Restricted Stock Units,Common Stock,1206.0,0.0,2017-11-26
1108524,2016-05-31,CRM,Hawkins Mark J,,0001127602-16-054028,2016-05-26,M,1876,0.0,16883,D,derivative,Restricted Stock Units,Common Stock,1876.0,0.0,2018-08-26
1108524,2016-05-31,CRM,Harris Parker,,0001127602-16-054042,2016-05-31,M,5000,0.0,98000,D,derivative,Non-qualified Stock Option (Right to Buy),Common Stock,5000.0,27.0625,2016-11-22
1108524,2016-05-31,CRM,Allanson Joe,,0001127602-16-054034,2016-05-27,S,173,83.4134,21153,D,non_derivative,Common Stock,,,,
1108524,2016-05-31,CRM,Dayon Alexandre,,0001127602-16-054038,2016-05-26,M,2713,0.0,16277,D,derivative,Restricted Stock Units,Common Stock,2713.0,0.0,2017-11-26
