cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
858877,2019-05-22,CSCO,BUSH WESLEY G,,0001567619-19-011865,2019-05-21,A,2226.0,0.0,2226.0,D,,,,,,
858877,2019-05-22,CSCO,CHANDLER MARK D,,0001567619-19-011863,2019-05-20,S,3750.0,55.79,186952.0,D,,,,,,
858877,2019-05-31,CSCO,Kramer Kelly A.,,0001567619-19-012550,2019-05-30,S,70000.0,53.5562,349122.0,D,,,,,,
858877,2019-06-07,CSCO,BHATT PRAT,,0001567619-19-013076,2019-06-05,A,14873.0,0.0,102300.0,D,,,,,,
858877,2019-06-11,CSCO,BUSH WESLEY G,,0001567619-19-013224,2019-06-07,P,10000.0,55.7404,10000.0,I,,,,,,
858877,2019-06-12,CSCO,BHATT PRAT,,0001567619-19-013306,2019-06-11,F,1729.0,56.42,100571.0,D,,,,,,
858877,2019-06-12,CSCO,Elliott Geraldine,,0001567619-19-013305,2019-06-10,F,29277.0,55.93,135093.0,D,,,,,,
858877,2019-06-12,CSCO,Martinez Maria,,0001567619-19-013304,2019-06-10,F,18388.0,55.93,176033.0,D,,,,,,
858877,2019-06-12,CSCO,Goeckeler David,,0001567619-19-013303,2019-06-11,F,18594.0,56.42,398855.0,D,,,,,,
858877,2019-06-12,CSCO,CHANDLER MARK D,,0001567619-19-013302,2019-06-10,F,704.0,55.93,186248.0,D,,,,,,
858877,2019-06-12,CSCO,CHANDLER MARK D,,0001567619-19-013302,2019-06-12,S,1379.0,55.9428,184869.0,D,,,,,,
858877,2019-06-14,CSCO,WEST STEVEN M,,0001567619-19-013414,2019-06-12,S,20000.0,56.2118,35430.0,I,,,,,,
858877,2019-08-13,CSCO,Kramer Kelly A.,,0001567619-19-016599,2019-08-10,F,1574.0,52.43,347548.0,D,,,,,,
858877,2019-08-13,CSCO,BHATT PRAT,,0001567619-19-016596,2019-08-10,F,915.0,52.43,100299.0,D,,,,,,
858877,2019-08-13,CSCO,Tan Irving,,0001567619-19-016600,2019-08-10,F,2164.0,52.43,184264.0,D,,,,,,
858877,2019-08-13,CSCO,Goeckeler David,,0001567619-19-016598,2019-08-10,F,3726.0,52.43,395772.0,D,,,,,,
858877,2019-08-13,CSCO,CHANDLER MARK D,,0001567619-19-016597,2019-08-10,F,617.0,52.43,185175.0,D,,,,,,
858877,2019-08-21,CSCO,CHANDLER MARK D,,0001567619-19-017427,2019-08-19,S,546.0,47.92,184629.0,D,,,,,,
858877,2019-08-21,CSCO,Robbins Charles,,0001567619-19-017426,2019-06-06,G,1000.0,0.0,435423.0,D,,,,,,
858877,2019-08-30,CSCO,Kramer Kelly A.,,0001567619-19-017727,2019-08-28,S,70000.0,46.7215,277548.0,D,,,,,,
858877,2019-09-12,CSCO,Martinez Maria,,0001567619-19-018198,2019-09-10,F,4598.0,48.58,171435.0,D,,,,,,
858877,2019-09-12,CSCO,CHANDLER MARK D,,0001567619-19-018197,2019-09-10,F,175.0,48.58,184454.0,D,,,,,,
858877,2019-09-13,CSCO,Kramer Kelly A.,,0001567619-19-018318,2019-09-11,F,8699.0,49.21,268849.0,D,,,,,,
858877,2019-09-13,CSCO,Goeckeler David,,0001567619-19-018317,2019-09-11,A,16750.0,0.0,412522.0,D,,,,,,
858877,2019-09-13,CSCO,Robbins Charles,,0001567619-19-018320,2019-09-11,F,12595.0,49.21,422828.0,D,,,,,,
858877,2019-09-13,CSCO,Tan Irving,,0001567619-19-018319,2019-09-11,A,16750.0,0.0,201014.0,D,,,,,,
858877,2019-09-13,CSCO,Tan Irving,,0001567619-19-018319,2019-09-11,F,23299.0,49.21,177715.0,D,,,,,,
858877,2019-09-13,CSCO,Robbins Charles,,0001567619-19-018320,2019-09-13,S,18955.0,50.0445,403873.0,D,,,,,,
858877,2019-09-13,CSCO,BHATT PRAT,,0001567619-19-018315,2019-09-11,F,10260.0,49.21,99642.0,D,,,,,,
858877,2019-09-13,CSCO,CHANDLER MARK D,,0001567619-19-018316,2019-09-11,F,17068.0,49.21,184136.0,D,,,,,,
858877,2019-09-13,CSCO,CHANDLER MARK D,,0001567619-19-018316,2019-09-13,S,10733.0,50.0452,173403.0,D,,,,,,
858877,2019-09-13,CSCO,BHATT PRAT,,0001567619-19-018315,2019-09-11,A,9603.0,0.0,109902.0,D,,,,,,
858877,2019-09-13,CSCO,CHANDLER MARK D,,0001567619-19-018316,2019-09-11,A,16750.0,0.0,201204.0,D,,,,,,
858877,2019-09-13,CSCO,Goeckeler David,,0001567619-19-018317,2019-09-11,F,38364.0,49.21,374158.0,D,,,,,,
858877,2019-09-19,CSCO,Tan Irving,,0001567619-19-018557,2019-09-17,S,22896.0,49.417,154819.0,D,,,,,,
858877,2019-09-20,CSCO,Goeckeler David,,0001567619-19-018624,2019-09-20,S,70000.0,49.2224,359398.0,D,,,,,,
858877,2019-09-20,CSCO,Goeckeler David,,0001567619-19-018624,2019-09-18,A,55240.0,0.0,429398.0,D,,,,,,
858877,2019-09-20,CSCO,Tan Irving,,0001567619-19-018628,2019-09-18,A,40049.0,0.0,194868.0,D,,,,,,
858877,2019-09-20,CSCO,Robbins Charles,,0001567619-19-018627,2019-09-18,A,107718.0,0.0,511591.0,D,,,,,,
858877,2019-09-20,CSCO,Elliott Geraldine,,0001567619-19-018623,2019-09-18,A,55240.0,0.0,190917.0,D,,,,,,
858877,2019-09-20,CSCO,CHANDLER MARK D,,0001567619-19-018622,2019-09-18,A,27620.0,0.0,201023.0,D,,,,,,
858877,2019-09-20,CSCO,BHATT PRAT,,0001567619-19-018621,2019-09-18,A,15206.0,0.0,114848.0,D,,,,,,
858877,2019-09-20,CSCO,Kramer Kelly A.,,0001567619-19-018625,2019-09-18,A,55240.0,0.0,324089.0,D,,,,,,
