cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
277948,2016-01-15,CSX,SIZEMORE CAROLYN T,,0001209191-16-091576,2016-01-13,A,4099,22.35,9419,D,,,,,,
277948,2016-01-15,CSX,Sanborn Cynthia M,,0001209191-16-091574,2016-01-13,F,4017,22.35,109951,D,,,,,,
277948,2016-01-15,CSX,Mancini Lisa A.,,0001209191-16-091572,2016-01-13,F,6877,22.35,112989,D,,,,,,
277948,2016-01-15,CSX,FITZSIMMONS ELLEN M,,0001209191-16-091568,2016-01-13,A,30743,22.35,70641,D,,,,,,
277948,2016-01-15,CSX,Mancini Lisa A.,,0001209191-16-091572,2016-01-13,A,24595,22.35,119866,D,,,,,,
277948,2016-01-15,CSX,SIZEMORE CAROLYN T,,0001209191-16-091576,2016-01-13,F,1338,22.35,8081,D,,,,,,
277948,2016-01-15,CSX,Sanborn Cynthia M,,0001209191-16-091574,2016-01-13,A,13834,22.35,113968,D,,,,,,
277948,2016-01-15,CSX,Sanborn Cynthia M,,0001209191-16-091574,2015-11-03,G,919,,100134,D,,,,,,
277948,2016-01-15,CSX,Eliasson Fredrik J,,0001209191-16-091570,2016-01-13,F,11342,22.35,119483,D,,,,,,
277948,2016-01-15,CSX,Eliasson Fredrik J,,0001209191-16-091570,2016-01-13,A,40991,22.35,130825,D,,,,,,
277948,2016-01-15,CSX,FITZSIMMONS ELLEN M,,0001209191-16-091568,2016-01-13,F,8548,22.35,62093,D,,,,,,
277948,2016-01-15,CSX,Lonegro Frank A,,0001209191-16-091562,2016-01-13,A,6597,22.35,65204,D,,,,,,
277948,2016-01-15,CSX,GOODEN CLARENCE W,,0001209191-16-091564,2016-01-13,F,11845,22.35,120731,D,,,,,,
277948,2016-01-15,CSX,FITZSIMMONS ELLEN M,,0001209191-16-091568,2015-10-14,G,42000,,286187,I,,,,,,
277948,2016-01-15,CSX,Lonegro Frank A,,0001209191-16-091562,2016-01-13,F,1548,22.35,63656,D,,,,,,
277948,2016-01-15,CSX,WARD MICHAEL J,,0001209191-16-091566,2016-01-13,F,53661,22.35,617322,D,,,,,,
277948,2016-01-15,CSX,WARD MICHAEL J,,0001209191-16-091566,2016-01-13,A,143467,22.35,670983,D,,,,,,
277948,2016-01-15,CSX,WARD MICHAEL J,,0001209191-16-091566,2015-07-30,G,44000,0.0,527516,D,,,,,,
277948,2016-01-15,CSX,GOODEN CLARENCE W,,0001209191-16-091564,2016-01-13,A,42913,22.35,132576,D,,,,,,
277948,2016-02-12,CSX,Halverson Steven T,,0001209191-16-097911,2016-02-10,A,5819,0.0,113809,I,,,,,,
277948,2016-02-12,CSX,Mancini Lisa A.,,0001209191-16-097933,2016-02-10,A,11637,0.0,124626,D,,,,,,
277948,2016-02-12,CSX,Sanborn Cynthia M,,0001209191-16-097930,2016-02-10,A,19395,0.0,129346,D,,,,,,
277948,2016-02-12,CSX,Eliasson Fredrik J,,0001209191-16-097939,2016-02-10,A,19395,0.0,138878,D,,,,,,
277948,2016-02-12,CSX,Breaux John B,,0001209191-16-097896,2016-02-10,A,5819,0.0,181483,I,,,,,,
277948,2016-02-12,CSX,Carter Pamela L,,0001209191-16-097900,2016-02-10,A,5819,0.0,36959,D,,,,,,
277948,2016-02-12,CSX,MCPHERSON JOHN D,,0001209191-16-097903,2016-02-10,A,5819,0.0,95403,I,,,,,,
277948,2016-02-12,CSX,ALVARADO DONNA M,,0001209191-16-097907,2016-02-10,A,5819,0.0,88559,I,,,,,,
277948,2016-02-12,CSX,WHISLER J STEVEN,,0001209191-16-097927,2016-02-10,A,5819,0.0,35346,D,,,,,,
277948,2016-02-12,CSX,FITZSIMMONS ELLEN M,,0001209191-16-097934,2016-02-10,A,14546,0.0,76639,D,,,,,,
277948,2016-02-12,CSX,RATCLIFFE DAVID M,,0001209191-16-097922,2016-02-10,A,5819,0.0,233254,I,,,,,,
277948,2016-02-12,CSX,Lonegro Frank A,,0001209191-16-097935,2016-02-10,A,14546,0.0,92748,D,,,,,,
277948,2016-02-12,CSX,SIZEMORE CAROLYN T,,0001209191-16-097936,2016-02-10,A,1939,0.0,10020,D,,,,,,
