cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
723254,2016-01-13,CTAS,Holloman James Phillip,,0001140361-16-047695,2016-01-08,S,7462.0,85.74,107219.0,D,,,,,,
723254,2016-01-15,CTAS,Holloman James Phillip,,0001140361-16-047870,2016-01-13,S,3730.0,84.65,103489.0,D,,,,,,
723254,2016-02-03,CTAS,TYSOE RONALD W,,0001140361-16-050045,2016-02-01,M,2000.0,31.42,9337.0,D,,,,,,
723254,2016-02-03,CTAS,TYSOE RONALD W,,0001140361-16-050045,2016-02-01,S,7008.0,86.39,7337.0,D,,,,,,
723254,2016-02-16,CTAS,Holloman James Phillip,,0001140361-16-052773,2016-02-12,S,3731.0,82.52,99758.0,D,,,,,,
723254,2016-04-14,CTAS,Holloman James Phillip,,0001140361-16-061134,2016-04-12,M,5650.0,89.83,105408.0,D,,,,,,
723254,2016-04-14,CTAS,Holloman James Phillip,,0001140361-16-061134,2016-04-14,G,448.0,0.0,118686.0,D,,,,,,
723254,2016-04-14,CTAS,Holloman James Phillip,,0001140361-16-061134,2016-04-14,S,19376.0,90.49,99310.0,D,,,,,,
723254,2016-04-28,CTAS,Adler Paul F.,,0001140361-16-062438,2016-04-26,M,720.0,36.08,7122.0,D,,,,,,
723254,2016-04-28,CTAS,Adler Paul F.,,0001140361-16-062438,2016-04-26,F,290.0,89.83,6832.0,D,,,,,,
723254,2016-05-04,CTAS,Adler Paul F.,,0001140361-16-063290,2016-05-03,S,160.0,89.58,6672.0,D,,,,,,
723254,2016-05-09,CTAS,Adolph Gerald S,,0001140361-16-064016,2016-05-05,M,1000.0,0.0,11590.0,D,,,,,,
723254,2016-05-09,CTAS,Adolph Gerald S,,0001140361-16-064016,2016-05-05,S,1000.0,90.21,10590.0,D,,,,,,
723254,2016-07-22,CTAS,FARMER SCOTT D,,0001140361-16-073074,2016-07-20,M,3000.0,35.99,810859.0,D,,,,,,
723254,2016-07-27,CTAS,Adolph Gerald S,,0001140361-16-073536,2016-07-27,M,1000.0,41.04,11590.0,D,,,,,,
723254,2016-07-27,CTAS,Adolph Gerald S,,0001140361-16-073536,2016-07-25,S,2000.0,108.12,10590.0,D,,,,,,
723254,2016-07-28,CTAS,Holloman James Phillip,,0001140361-16-073685,2016-07-26,F,7761.0,108.39,91549.0,D,,,,,,
723254,2016-07-28,CTAS,Adler Paul F.,,0001140361-16-073684,2016-07-26,A,2683.0,108.39,9355.0,D,,,,,,
723254,2016-07-28,CTAS,Adler Paul F.,,0001140361-16-073684,2016-07-26,F,176.0,108.39,9179.0,D,,,,,,
723254,2016-07-28,CTAS,FROOMAN THOMAS E,,0001140361-16-073683,2016-07-26,A,10236.0,108.39,75908.0,D,,,,,,
723254,2016-07-28,CTAS,FROOMAN THOMAS E,,0001140361-16-073683,2016-07-26,F,2757.0,108.39,73151.0,D,,,,,,
723254,2016-07-28,CTAS,Hansen J. Michael,,0001140361-16-073682,2016-07-26,A,8790.0,108.39,41153.0,D,,,,,,
723254,2016-07-28,CTAS,Hansen J. Michael,,0001140361-16-073682,2016-07-26,F,1002.0,108.39,40151.0,D,,,,,,
723254,2016-08-02,CTAS,Holloman James Phillip,,0001140361-16-074374,2016-08-01,A,42282.0,107.41,133831.0,D,,,,,,
723254,2016-08-02,CTAS,Coletti Robert E.,,0001140361-16-074372,2016-08-01,A,104.0,107.41,1004.0,D,,,,,,
723254,2016-08-02,CTAS,FARMER SCOTT D,,0001140361-16-074371,2016-08-01,A,46550.0,107.41,868659.0,D,,,,,,
723254,2016-08-02,CTAS,FARMER SCOTT D,,0001140361-16-074371,2016-07-29,F,12898.0,107.27,855761.0,D,,,,,,
723254,2016-10-17,CTAS,Hansen J. Michael,,0001140361-16-082830,2016-10-13,A,515.0,109.33,40666.0,D,,,,,,
723254,2016-10-20,CTAS,JOHNSON JAMES J,,0001140361-16-083171,2016-10-18,A,545.0,0.0,8809.0,D,,,,,,
723254,2016-10-20,CTAS,Adolph Gerald S,,0001140361-16-083169,2016-10-18,A,545.0,0.0,11135.0,D,,,,,,
723254,2016-10-20,CTAS,Barstad Melanie W.,,0001140361-16-083167,2016-10-18,A,545.0,0.0,5032.0,D,,,,,,
723254,2016-10-20,CTAS,BARRETT JOHN F,,0001140361-16-083165,2016-10-18,A,545.0,0.0,5101.0,D,,,,,,
723254,2016-10-20,CTAS,SCAMINACE JOSEPH,,0001140361-16-083163,2016-10-18,A,545.0,0.0,7188.0,D,,,,,,
723254,2016-10-20,CTAS,TYSOE RONALD W,,0001140361-16-083161,2016-10-18,A,545.0,0.0,7882.0,D,,,,,,
723254,2016-10-20,CTAS,Coletti Robert E.,,0001140361-16-083159,2016-10-18,A,545.0,0.0,1549.0,D,,,,,,
