cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1690820,2022-05-18,CVNA,MAROONE MICHAEL E,,0001690820-22-000178,2022-05-16,A,4168,38.4,54392,D,,,,,,
1690820,2022-05-18,CVNA,SULLIVAN GREGORY B,,0001690820-22-000177,2022-05-16,A,4168,38.4,9392,D,,,,,,
1690820,2022-05-18,CVNA,PARIKH NEHA,,0001690820-22-000176,2022-05-16,A,4168,38.4,12574,D,,,,,,
1690820,2022-05-18,CVNA,Palmer Stephen R,,0001690820-22-000175,2022-05-16,A,1123,38.4,7084,D,,,,,,
1690820,2022-05-18,CVNA,QUAYLE J DANFORTH,,0001690820-22-000174,2022-05-16,A,4168,38.4,4832,D,,,,,,
1690820,2022-05-18,CVNA,QUAYLE J DANFORTH,,0001690820-22-000174,2022-05-17,P,6250,39.14,10810,I,,,,,,
1690820,2022-05-18,CVNA,PLATT IRA J.,,0001690820-22-000173,2022-05-16,A,4168,38.4,9392,D,,,,,,
1690820,2022-05-23,CVNA,BREAUX PAUL W.,,0001690820-22-000180,2022-05-20,P,15000,32.57,49240,D,,,,,,
1690820,2022-05-26,CVNA,BREAUX PAUL W.,,0001690820-22-000182,2022-05-24,P,15000,27.59,64240,D,,,,,,
1690820,2022-06-02,CVNA,BREAUX PAUL W.,,0001690820-22-000184,2022-05-31,P,14000,31.09,78240,D,,,,,,
1690820,2022-06-03,CVNA,JENKINS MARK W.,,0001690820-22-000200,2022-06-01,F,119,26.49,28482,D,,,,,,
1690820,2022-06-03,CVNA,Taira Thomas,,0001690820-22-000199,2022-06-01,F,196,26.49,33673,D,,,,,,
1690820,2022-06-03,CVNA,GILL DANIEL J.,,0001690820-22-000198,2022-06-01,F,122,26.49,37023,D,,,,,,
1690820,2022-06-03,CVNA,BREAUX PAUL W.,,0001690820-22-000197,2022-06-01,F,91,26.49,78149,D,,,,,,
1690820,2022-06-03,CVNA,BREAUX PAUL W.,,0001690820-22-000197,2022-06-02,P,15000,26.24,93149,D,,,,,,
1690820,2022-06-03,CVNA,GARCIA ERNEST C. III,,0001690820-22-000196,2022-06-01,F,133,26.49,804543,D,,,,,,
1690820,2022-06-03,CVNA,Palmer Stephen R,,0001690820-22-000195,2022-06-01,F,63,26.49,7021,D,,,,,,
1690820,2022-06-03,CVNA,HUSTON BENJAMIN E.,,0001690820-22-000194,2022-06-01,F,119,26.49,28482,D,,,,,,
1690820,2022-06-03,CVNA,KEETON RYAN S.,,0001690820-22-000193,2022-06-01,F,64,26.49,34269,D,,,,,,
1690820,2022-06-08,CVNA,KEETON RYAN S.,,0001690820-22-000202,2022-06-06,P,20000,25.02,54269,D,,,,,,
1690820,2022-06-08,CVNA,KEETON RYAN S.,,0001690820-22-000202,2022-06-07,P,20000,24.47,74269,D,,,,,,
1690820,2022-06-13,CVNA,KEETON RYAN S.,,0001690820-22-000208,2022-06-09,P,20000,23.74,94269,D,,,,,,
1690820,2022-06-13,CVNA,KEETON RYAN S.,,0001690820-22-000208,2022-06-10,P,12000,21.92,106269,D,,,,,,
1690820,2022-06-13,CVNA,BREAUX PAUL W.,,0001690820-22-000207,2022-06-10,P,10000,21.85,103149,D,,,,,,
1690820,2022-06-14,CVNA,GARCIA ERNEST C. II,,0001209191-22-036811,2022-06-10,P,793790,21.9471,1386846,I,,,,,,
1690820,2022-06-14,CVNA,GARCIA ERNEST C. II,,0001209191-22-036811,2022-06-13,P,759646,20.4958,2146492,I,,,,,,
1690820,2022-06-16,CVNA,GILL DANIEL J.,,0001690820-22-000210,2022-06-15,P,94000,21.77,131023,D,,,,,,
1690820,2022-06-22,CVNA,Palmer Stephen R,,0001690820-22-000212,2022-06-18,D,1509,0.0,5512,D,,,,,,
1690820,2022-06-22,CVNA,Palmer Stephen R,,0001690820-22-000212,2022-06-18,A,5049,0.0,10561,D,,,,,,
1690820,2022-07-06,CVNA,HUSTON BENJAMIN E.,,0001690820-22-000221,2022-07-01,F,119,21.87,28363,D,,,,,,
1690820,2022-07-06,CVNA,Palmer Stephen R,,0001690820-22-000224,2022-07-01,F,59,21.87,10502,D,,,,,,
1690820,2022-07-06,CVNA,JENKINS MARK W.,,0001690820-22-000226,2022-07-01,F,119,21.87,28363,D,,,,,,
1690820,2022-07-06,CVNA,Taira Thomas,,0001690820-22-000225,2022-07-01,F,195,21.87,33478,D,,,,,,
1690820,2022-07-06,CVNA,GARCIA ERNEST C. III,,0001690820-22-000227,2022-07-01,F,133,21.87,804410,D,,,,,,
1690820,2022-07-06,CVNA,BREAUX PAUL W.,,0001690820-22-000223,2022-07-01,F,91,21.87,103058,D,,,,,,
1690820,2022-07-06,CVNA,KEETON RYAN S.,,0001690820-22-000222,2022-07-01,F,64,21.87,106205,D,,,,,,
1690820,2022-07-06,CVNA,GILL DANIEL J.,,0001690820-22-000228,2022-07-01,F,104,21.87,130919,D,,,,,,
1690820,2022-07-07,CVNA,GARCIA ERNEST C. III,,0001690820-22-000230,2022-07-06,D,1771,0.0,802639,D,,,,,,
1690820,2022-08-03,CVNA,KEETON RYAN S.,,0001690820-22-000245,2022-08-01,F,64,30.17,106141,D,,,,,,
1690820,2022-08-03,CVNA,GARCIA ERNEST C. III,,0001690820-22-000246,2022-08-01,F,133,30.17,802506,D,,,,,,
1690820,2022-08-03,CVNA,Palmer Stephen R,,0001690820-22-000248,2022-08-01,F,59,30.17,10443,D,,,,,,
1690820,2022-08-03,CVNA,Taira Thomas,,0001690820-22-000247,2022-08-01,F,279,30.17,33199,D,,,,,,
1690820,2022-08-03,CVNA,HUSTON BENJAMIN E.,,0001690820-22-000243,2022-08-01,F,119,30.17,28244,D,,,,,,
1690820,2022-08-03,CVNA,GILL DANIEL J.,,0001690820-22-000241,2022-08-01,F,105,30.17,130814,D,,,,,,
1690820,2022-08-03,CVNA,JENKINS MARK W.,,0001690820-22-000244,2022-08-01,F,119,30.17,28244,D,,,,,,
1690820,2022-08-03,CVNA,BREAUX PAUL W.,,0001690820-22-000242,2022-08-01,F,91,30.17,102967,D,,,,,,
1690820,2022-09-06,CVNA,BREAUX PAUL W.,,0001690820-22-000272,2022-09-01,F,92,32.78,102875,D,,,,,,
1690820,2022-09-06,CVNA,GILL DANIEL J.,,0001690820-22-000271,2022-09-01,F,124,32.78,130690,D,,,,,,
1690820,2022-09-06,CVNA,Taira Thomas,,0001690820-22-000270,2022-09-01,F,278,32.78,32921,D,,,,,,
1690820,2022-09-06,CVNA,Palmer Stephen R,,0001690820-22-000269,2022-09-01,F,59,32.78,10384,D,,,,,,
1690820,2022-09-06,CVNA,JENKINS MARK W.,,0001690820-22-000268,2022-09-01,F,119,32.78,28125,D,,,,,,
1690820,2022-09-06,CVNA,KEETON RYAN S.,,0001690820-22-000267,2022-09-01,F,64,32.78,106077,D,,,,,,
1690820,2022-09-06,CVNA,GARCIA ERNEST C. III,,0001690820-22-000266,2022-09-01,F,133,32.78,802373,D,,,,,,
1690820,2022-09-06,CVNA,HUSTON BENJAMIN E.,,0001690820-22-000265,2022-09-01,F,119,32.78,28125,D,,,,,,
1690820,2022-10-04,CVNA,Taira Thomas,,0001690820-22-000291,2022-10-01,F,278,20.3,32643,D,,,,,,
1690820,2022-10-04,CVNA,BREAUX PAUL W.,,0001690820-22-000290,2022-10-01,F,91,20.3,102784,D,,,,,,
1690820,2022-10-04,CVNA,Palmer Stephen R,,0001690820-22-000289,2022-10-01,F,59,20.3,10325,D,,,,,,
1690820,2022-10-04,CVNA,GARCIA ERNEST C. III,,0001690820-22-000288,2022-10-01,F,133,20.3,802240,D,,,,,,
1690820,2022-10-04,CVNA,HUSTON BENJAMIN E.,,0001690820-22-000287,2022-10-01,F,119,20.3,28006,D,,,,,,
1690820,2022-10-04,CVNA,KEETON RYAN S.,,0001690820-22-000286,2022-10-01,F,64,20.3,106013,D,,,,,,
1690820,2022-10-04,CVNA,JENKINS MARK W.,,0001690820-22-000285,2022-10-01,F,119,20.3,28006,D,,,,,,
1690820,2022-10-04,CVNA,GILL DANIEL J.,,0001690820-22-000284,2022-10-01,F,138,20.3,130552,D,,,,,,
1690820,2022-10-06,CVNA,GARCIA ERNEST C. III,,0001690820-22-000293,2022-10-05,D,14099,0.0,788141,D,,,,,,
1690820,2022-11-03,CVNA,JENKINS MARK W.,,0001690820-22-000320,2022-11-01,F,119,15.28,27887,D,,,,,,
1690820,2022-11-03,CVNA,KEETON RYAN S.,,0001690820-22-000318,2022-11-01,F,64,15.28,105949,D,,,,,,
1690820,2022-11-03,CVNA,Taira Thomas,,0001690820-22-000319,2022-11-01,F,125,15.28,32518,D,,,,,,
1690820,2022-11-03,CVNA,BREAUX PAUL W.,,0001690820-22-000321,2022-11-01,F,91,15.28,102693,D,,,,,,
1690820,2022-11-03,CVNA,Palmer Stephen R,,0001690820-22-000317,2022-11-01,F,59,15.28,10266,D,,,,,,
1690820,2022-11-03,CVNA,HUSTON BENJAMIN E.,,0001690820-22-000314,2022-11-01,F,119,15.28,27887,D,,,,,,
1690820,2022-11-03,CVNA,GARCIA ERNEST C. III,,0001690820-22-000316,2022-11-01,F,133,15.28,788008,D,,,,,,
1690820,2022-11-03,CVNA,GILL DANIEL J.,,0001690820-22-000315,2022-11-01,F,137,15.28,130415,D,,,,,,
1690820,2022-11-08,CVNA,MAROONE MICHAEL E,,0001690820-22-000325,2022-11-07,P,100000,8.61,154392,D,,,,,,
1690820,2022-11-08,CVNA,PLATT IRA J.,,0001690820-22-000324,2022-11-07,P,50000,7.4,64999,I,,,,,,
1690820,2022-11-14,CVNA,Taira Thomas,,0001690820-22-000327,2022-11-11,P,10000,11.13,42518,D,,,,,,
1690820,2022-11-15,CVNA,SULLIVAN GREGORY B,,0001690820-22-000329,2022-11-14,P,8000,10.0,17392,D,,,,,,
1690820,2022-11-22,CVNA,GILL DANIEL J.,,0001690820-22-000334,2022-11-21,P,133000,7.62,263415,D,,,,,,
1690820,2022-11-23,CVNA,Taira Thomas,,0001690820-22-000336,2022-11-22,P,35000,6.86,77518,D,,,,,,
1690820,2022-12-05,CVNA,GARCIA ERNEST C. III,,0001690820-22-000351,2022-12-01,F,133,8.13,787875,D,,,,,,
1690820,2022-12-05,CVNA,HUSTON BENJAMIN E.,,0001690820-22-000350,2022-12-01,F,119,8.13,27768,D,,,,,,
1690820,2022-12-05,CVNA,BREAUX PAUL W.,,0001690820-22-000349,2022-12-01,F,91,8.13,102602,D,,,,,,
1690820,2022-12-05,CVNA,Palmer Stephen R,,0001690820-22-000352,2022-12-01,F,59,8.13,10207,D,,,,,,
1690820,2022-12-05,CVNA,GILL DANIEL J.,,0001690820-22-000348,2022-12-01,F,137,8.13,263278,D,,,,,,
1690820,2022-12-05,CVNA,KEETON RYAN S.,,0001690820-22-000347,2022-12-01,F,64,8.13,105885,D,,,,,,
1690820,2022-12-05,CVNA,JENKINS MARK W.,,0001690820-22-000346,2022-12-01,F,119,8.13,27768,D,,,,,,
1690820,2022-12-05,CVNA,Taira Thomas,,0001690820-22-000345,2022-12-01,F,107,8.13,77411,D,,,,,,
1690820,2023-01-04,CVNA,GARCIA ERNEST C. III,,0001690820-23-000016,2022-12-30,D,14927,0.0,772948,D,,,,,,
1690820,2023-01-04,CVNA,GARCIA ERNEST C. III,,0001690820-23-000016,2023-01-01,F,164,4.74,772784,D,,,,,,
1690820,2023-01-04,CVNA,KEETON RYAN S.,,0001690820-23-000015,2023-01-01,F,79,4.74,105806,D,,,,,,
1690820,2023-01-04,CVNA,Taira Thomas,,0001690820-23-000014,2023-01-01,F,123,4.74,77288,D,,,,,,
1690820,2023-01-04,CVNA,GILL DANIEL J.,,0001690820-23-000013,2023-01-01,F,158,4.74,263120,D,,,,,,
1690820,2023-01-04,CVNA,HUSTON BENJAMIN E.,,0001690820-23-000012,2023-01-01,F,146,4.74,27622,D,,,,,,
1690820,2023-01-04,CVNA,JENKINS MARK W.,,0001690820-23-000011,2023-01-01,F,146,4.74,27622,D,,,,,,
1690820,2023-01-04,CVNA,Palmer Stephen R,,0001690820-23-000010,2023-01-01,F,71,4.74,10136,D,,,,,,
1690820,2023-01-04,CVNA,BREAUX PAUL W.,,0001690820-23-000009,2023-01-01,F,113,4.74,102489,D,,,,,,
1690820,2023-02-02,CVNA,HUSTON BENJAMIN E.,,0001690820-23-000037,2023-02-01,F,139,13.56,27483,D,,,,,,
1690820,2023-02-02,CVNA,Palmer Stephen R,,0001690820-23-000036,2023-02-01,F,70,13.56,10066,D,,,,,,
1690820,2023-02-02,CVNA,GILL DANIEL J.,,0001690820-23-000035,2023-02-01,F,154,13.56,262966,D,,,,,,
1690820,2023-02-02,CVNA,BREAUX PAUL W.,,0001690820-23-000034,2023-02-01,F,107,13.56,102382,D,,,,,,
1690820,2023-02-02,CVNA,GARCIA ERNEST C. III,,0001690820-23-000033,2023-02-01,F,155,13.56,772629,D,,,,,,
1690820,2023-02-02,CVNA,JENKINS MARK W.,,0001690820-23-000030,2023-02-01,F,139,13.56,27483,D,,,,,,
1690820,2023-02-02,CVNA,KEETON RYAN S.,,0001690820-23-000032,2023-02-01,F,75,13.56,105731,D,,,,,,
1690820,2023-02-02,CVNA,Taira Thomas,,0001690820-23-000031,2023-02-01,F,80,13.56,77208,D,,,,,,
1690820,2023-02-08,CVNA,Palmer Stephen R,,0001690820-23-000039,2023-02-07,A,64378,0.0,74444,D,,,,,,
1690820,2023-02-24,CVNA,GARCIA ERNEST C. III,,0001690820-23-000060,2023-02-22,A,99549,0.0,872178,D,,,,,,
1690820,2023-02-24,CVNA,Taira Thomas,,0001690820-23-000062,2023-02-22,A,53444,0.0,130652,D,,,,,,
1690820,2023-02-24,CVNA,BREAUX PAUL W.,,0001690820-23-000063,2023-02-22,A,62608,0.0,164990,D,,,,,,
1690820,2023-02-24,CVNA,KEETON RYAN S.,,0001690820-23-000061,2023-02-22,A,39641,0.0,145372,D,,,,,,
1690820,2023-02-24,CVNA,GILL DANIEL J.,,0001690820-23-000065,2023-02-22,A,88292,0.0,351258,D,,,,,,
1690820,2023-02-24,CVNA,JENKINS MARK W.,,0001690820-23-000066,2023-02-22,A,98736,0.0,126219,D,,,,,,
1690820,2023-02-24,CVNA,HUSTON BENJAMIN E.,,0001690820-23-000064,2023-02-22,A,98736,0.0,126219,D,,,,,,
1690820,2023-03-03,CVNA,GILL DANIEL J.,,0001690820-23-000081,2023-03-01,F,123,8.91,351135,D,,,,,,
1690820,2023-03-03,CVNA,GARCIA ERNEST C. III,,0001690820-23-000077,2023-03-01,F,156,8.91,872022,D,,,,,,
1690820,2023-03-03,CVNA,HUSTON BENJAMIN E.,,0001690820-23-000078,2023-03-01,F,139,8.91,126080,D,,,,,,
1690820,2023-03-03,CVNA,JENKINS MARK W.,,0001690820-23-000079,2023-03-01,F,139,8.91,126080,D,,,,,,
1690820,2023-03-03,CVNA,KEETON RYAN S.,,0001690820-23-000080,2023-03-01,F,75,8.91,145297,D,,,,,,
1690820,2023-03-03,CVNA,Taira Thomas,,0001690820-23-000084,2023-03-01,F,70,8.91,130582,D,,,,,,
1690820,2023-03-03,CVNA,BREAUX PAUL W.,,0001690820-23-000082,2023-03-01,F,107,8.91,164883,D,,,,,,
1690820,2023-03-03,CVNA,Palmer Stephen R,,0001690820-23-000083,2023-03-01,F,70,8.91,74374,D,,,,,,
1690820,2023-04-04,CVNA,KEETON RYAN S.,,0001690820-23-000114,2023-04-01,F,341,9.79,144956,D,,,,,,
1690820,2023-04-04,CVNA,Taira Thomas,,0001690820-23-000110,2023-04-01,F,445,9.79,130137,D,,,,,,
1690820,2023-04-04,CVNA,BREAUX PAUL W.,,0001690820-23-000116,2023-04-01,F,627,9.79,164256,D,,,,,,
1690820,2023-04-04,CVNA,Palmer Stephen R,,0001690820-23-000113,2023-04-01,F,70,9.79,74304,D,,,,,,
1690820,2023-04-04,CVNA,HUSTON BENJAMIN E.,,0001690820-23-000115,2023-04-01,F,797,9.79,125283,D,,,,,,
1690820,2023-04-04,CVNA,GARCIA ERNEST C. III,,0001690820-23-000109,2023-04-04,D,15847,0.0,855359,D,,,,,,
1690820,2023-04-04,CVNA,GARCIA ERNEST C. III,,0001690820-23-000109,2023-04-01,F,816,9.79,871206,D,,,,,,
1690820,2023-04-04,CVNA,JENKINS MARK W.,,0001690820-23-000112,2023-04-01,F,797,9.79,125283,D,,,,,,
1690820,2023-04-04,CVNA,GILL DANIEL J.,,0001690820-23-000111,2023-04-01,F,933,9.79,350202,D,,,,,,
1690820,2023-04-25,CVNA,MAROONE MICHAEL E,,0001690820-23-000132,2023-04-21,A,19956,0.0,174348,D,,,,,,
1690820,2023-04-25,CVNA,PARIKH NEHA,,0001690820-23-000131,2023-04-21,A,19956,0.0,32530,D,,,,,,
1690820,2023-04-25,CVNA,SULLIVAN GREGORY B,,0001690820-23-000130,2023-04-21,A,19956,0.0,37348,D,,,,,,
1690820,2023-04-25,CVNA,PLATT IRA J.,,0001690820-23-000129,2023-04-21,A,19956,0.0,29348,D,,,,,,
1690820,2023-04-25,CVNA,QUAYLE J DANFORTH,,0001690820-23-000128,2023-04-21,A,19956,0.0,24788,D,,,,,,
1690820,2023-05-03,CVNA,BREAUX PAUL W.,,0001690820-23-000155,2023-05-01,F,76,6.93,164180,D,,,,,,
1690820,2023-05-03,CVNA,JENKINS MARK W.,,0001690820-23-000153,2023-05-01,F,110,6.93,125173,D,,,,,,
1690820,2023-05-03,CVNA,Palmer Stephen R,,0001690820-23-000154,2023-05-01,F,70,6.93,74234,D,,,,,,
1690820,2023-05-03,CVNA,HUSTON BENJAMIN E.,,0001690820-23-000156,2023-05-01,F,110,6.93,125173,D,,,,,,
1690820,2023-05-03,CVNA,GARCIA ERNEST C. III,,0001690820-23-000149,2023-05-01,F,113,6.93,855246,D,,,,,,
1690820,2023-05-03,CVNA,GILL DANIEL J.,,0001690820-23-000151,2023-05-01,F,129,6.93,350073,D,,,,,,
1690820,2023-05-03,CVNA,KEETON RYAN S.,,0001690820-23-000152,2023-05-01,F,50,6.93,144906,D,,,,,,
1690820,2023-05-03,CVNA,Taira Thomas,,0001690820-23-000150,2023-05-01,F,63,6.93,130074,D,,,,,,
1690820,2023-06-02,CVNA,Taira Thomas,,0001690820-23-000190,2023-06-01,F,62,15.8,130012,D,,,,,,
1690820,2023-06-02,CVNA,Palmer Stephen R,,0001690820-23-000192,2023-06-01,F,419,15.8,73815,D,,,,,,
1690820,2023-06-02,CVNA,JENKINS MARK W.,,0001690820-23-000189,2023-06-01,F,110,15.8,125063,D,,,,,,
1690820,2023-06-02,CVNA,HUSTON BENJAMIN E.,,0001690820-23-000191,2023-06-01,F,110,15.8,125063,D,,,,,,
1690820,2023-06-02,CVNA,BREAUX PAUL W.,,0001690820-23-000186,2023-06-01,F,77,15.8,164103,D,,,,,,
1690820,2023-06-02,CVNA,KEETON RYAN S.,,0001690820-23-000185,2023-06-01,F,50,15.8,144856,D,,,,,,
1690820,2023-06-02,CVNA,GARCIA ERNEST C. III,,0001690820-23-000187,2023-06-01,F,113,15.8,855133,D,,,,,,
1690820,2023-06-02,CVNA,GILL DANIEL J.,,0001690820-23-000188,2023-06-01,F,130,15.8,349943,D,,,,,,
1690820,2023-07-05,CVNA,KEETON RYAN S.,,0001690820-23-000212,2023-07-01,F,50,25.92,144806,D,,,,,,
1690820,2023-07-05,CVNA,GARCIA ERNEST C. III,,0001690820-23-000211,2023-06-30,D,15778,0.0,839355,D,,,,,,
1690820,2023-07-05,CVNA,GARCIA ERNEST C. III,,0001690820-23-000211,2023-07-01,F,112,25.92,839243,D,,,,,,
1690820,2023-07-05,CVNA,GILL DANIEL J.,,0001690820-23-000210,2023-07-01,F,128,25.92,349815,D,,,,,,
1690820,2023-07-05,CVNA,HUSTON BENJAMIN E.,,0001690820-23-000209,2023-07-01,F,110,25.92,124953,D,,,,,,
1690820,2023-07-05,CVNA,Palmer Stephen R,,0001690820-23-000208,2023-07-01,F,32,25.92,73783,D,,,,,,
1690820,2023-07-05,CVNA,BREAUX PAUL W.,,0001690820-23-000207,2023-07-01,F,77,25.92,164026,D,,,,,,
1690820,2023-07-05,CVNA,Taira Thomas,,0001690820-23-000205,2023-07-01,F,63,25.92,129949,D,,,,,,
1690820,2023-07-05,CVNA,JENKINS MARK W.,,0001690820-23-000204,2023-07-01,F,110,25.92,124953,D,,,,,,
1690820,2023-07-21,CVNA,BREAUX PAUL W.,,0001690820-23-000233,2023-07-19,A,33391,55.8,197417,D,,,,,,
1690820,2023-07-21,CVNA,BREAUX PAUL W.,,0001690820-23-000233,2023-07-19,F,12007,55.8,185410,D,,,,,,
