cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
64803,2017-09-12,CVS,Denton David M,,0001127602-17-027344,2017-09-11,S,23855.0,79.61,141096.399,D,,,,,,
64803,2017-09-12,CVS,Denton David M,,0001127602-17-027344,2017-09-11,M,108183.0,54.53,144239.399,D,,,,,,
64803,2017-09-12,CVS,Moriarty Thomas M,,0001127602-17-027343,2017-09-11,M,41093.0,48.67,70102.1134,D,,,,,,
64803,2017-09-12,CVS,Moriarty Thomas M,,0001127602-17-027343,2017-09-11,S,41093.0,79.61,29009.1134,D,,,,,,
64803,2017-09-15,CVS,MERLO LARRY J,,0001127602-17-027494,2017-08-23,G,14163.0,77.61,299254.5612,D,,,,,,
64803,2017-09-15,CVS,MERLO LARRY J,,0001127602-17-027494,2017-09-13,M,241150.0,34.96,540404.5612,D,,,,,,
64803,2017-09-15,CVS,MERLO LARRY J,,0001127602-17-027494,2017-09-13,S,241150.0,83.07,299254.5612,D,,,,,,
64803,2017-09-19,CVS,Foulkes Helena,,0001127602-17-027733,2017-09-15,M,39340.0,54.53,84336.6533,D,,,,,,
64803,2017-09-19,CVS,Foulkes Helena,,0001127602-17-027733,2017-09-15,S,39340.0,81.88,44996.6533,D,,,,,,
64803,2017-09-19,CVS,Roberts Jonathan C,,0001127602-17-027732,2017-09-18,M,85743.0,34.96,119555.1293,D,,,,,,
64803,2017-09-19,CVS,Roberts Jonathan C,,0001127602-17-027732,2017-09-18,S,85743.0,83.14,33812.1293,D,,,,,,
64803,2017-10-03,CVS,Moriarty Thomas M,,0001127602-17-028904,2017-10-02,M,20547.0,0.0,43177.9183,D,,,,,,
64803,2017-10-03,CVS,Moriarty Thomas M,,0001127602-17-028904,2017-10-02,S,20547.0,81.1686,22630.9183,D,,,,,,
64803,2017-11-09,CVS,WHITE TONY L,,0001127602-17-031771,2017-11-08,A,1521.0,68.99,24520.0,D,,,,,,
64803,2017-11-09,CVS,MILLON JEAN PIERRE,,0001127602-17-031769,2017-11-08,A,1521.0,68.99,1521.0,D,,,,,,
64803,2017-11-09,CVS,DORMAN DAVID W,,0001127602-17-031767,2017-11-08,A,4131.0,68.99,80338.0,D,,,,,,
64803,2017-11-09,CVS,DEPARLE NANCY ANN,,0001127602-17-031764,2017-11-08,A,1521.0,68.99,9413.0,D,,,,,,
64803,2017-11-09,CVS,BRACKEN RICHARD M,,0001127602-17-031759,2017-11-08,A,1630.0,68.99,8263.0,D,,,,,,
64803,2017-12-22,CVS,Bisaccia Lisa,,0001127602-17-035452,2017-12-21,S,29445.0,75.0,15556.0,D,,,,,,
64803,2018-02-21,CVS,Denton David M,,0001127602-18-007534,2018-02-20,J,38836.0,0.0,114041.0,D,,,,,,
64803,2018-02-21,CVS,Foulkes Helena,,0001127602-18-007529,2018-02-16,M,19965.0,45.07,65072.3477,D,,,,,,
64803,2018-02-21,CVS,Foulkes Helena,,0001127602-18-007529,2018-02-16,S,19965.0,71.04,45107.3477,D,,,,,,
64803,2018-03-01,CVS,Boratto Eva C,,0001127602-18-009370,2018-02-27,F,197.0,68.25,39276.9749,D,,,,,,
64803,2018-03-01,CVS,Boratto Eva C,,0001127602-18-009370,2018-02-28,F,275.0,67.73,39934.9749,D,,,,,,
