cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
93410,2017-10-18,CVX,Pate R. Hewitt,,0001127602-17-030012,2017-10-16,M,25500,73.7,25500,D,,,,,,
93410,2017-10-18,CVX,Pate R. Hewitt,,0001127602-17-030012,2017-10-16,S,25500,120.0,0,D,,,,,,
93410,2017-11-03,CVX,Frank John,,0001127602-17-031279,2017-11-02,A,1120,0.0,1370,D,,,,,,
93410,2017-11-09,CVX,Wirth Michael K,,0001127602-17-031775,2017-11-07,M,1229,84.96,1229,D,,,,,,
93410,2017-11-09,CVX,Wirth Michael K,,0001127602-17-031775,2017-11-07,S,1229,118.0,0,D,,,,,,
93410,2017-11-13,CVX,Ourada Jeanette L,,0001127602-17-031970,2017-11-09,M,6200,84.96,6200,D,,,,,,
93410,2017-11-13,CVX,Ourada Jeanette L,,0001127602-17-031970,2017-11-09,D,6200,116.0,0,D,,,,,,
93410,2017-11-15,CVX,Breber Pierre R,,0001127602-17-032261,2017-11-13,M,23250,73.7,42182,D,,,,,,
93410,2017-11-15,CVX,Breber Pierre R,,0001127602-17-032261,2017-11-13,S,23250,116.8469,18932,D,,,,,,
93410,2017-11-17,CVX,Yarrington Patricia E,,0001127602-17-032736,2017-11-16,M,13143,69.7,17981,D,,,,,,
93410,2017-11-17,CVX,Yarrington Patricia E,,0001127602-17-032736,2017-11-16,S,13143,115.0059,4838,D,,,,,,
93410,2017-11-17,CVX,Deily Linnet F,,0001127602-17-032711,2017-11-15,G,1810,0.0,19400,D,,,,,,
93410,2017-11-22,CVX,Yarrington Patricia E,,0001127602-17-033208,2017-11-20,S,34668,115.0031,4838,D,,,,,,
93410,2017-11-22,CVX,Yarrington Patricia E,,0001127602-17-033208,2017-11-20,M,34668,69.7,39506,D,,,,,,
93410,2017-11-22,CVX,Yarrington Patricia E,,0001127602-17-033208,2017-11-21,S,82189,115.4155,4838,D,,,,,,
93410,2017-11-22,CVX,Yarrington Patricia E,,0001127602-17-033208,2017-11-21,M,82189,69.7,87027,D,,,,,,
93410,2017-11-27,CVX,Wirth Michael K,,0001127602-17-033289,2017-11-22,M,110771,84.96,110771,D,,,,,,
93410,2017-11-27,CVX,Wirth Michael K,,0001127602-17-033289,2017-11-22,S,110771,116.1681,0,D,,,,,,
93410,2017-12-04,CVX,Breber Pierre R,,0001127602-17-033811,2017-11-30,M,23250,73.7,42182,D,,,,,,
93410,2017-12-04,CVX,Breber Pierre R,,0001127602-17-033811,2017-11-30,S,23250,119.0,18932,D,,,,,,
93410,2018-01-30,CVX,JOHNSON JAMES WILLIAM,,0001127602-18-003019,2018-01-28,M,14700,0.0,14700,D,,,,,,
93410,2018-01-30,CVX,JOHNSON JAMES WILLIAM,,0001127602-18-003019,2018-01-28,D,14700,131.19,0,D,,,,,,
93410,2018-01-30,CVX,Breber Pierre R,,0001127602-18-003023,2018-01-28,M,7700,0.0,26638,D,,,,,,
93410,2018-01-30,CVX,Ourada Jeanette L,,0001127602-18-003015,2018-01-28,M,2280,0.0,2280,D,,,,,,
93410,2018-01-30,CVX,Breber Pierre R,,0001127602-18-003023,2018-01-28,D,7700,131.19,18938,D,,,,,,
93410,2018-01-30,CVX,Wirth Michael K,,0001127602-18-003003,2018-01-28,D,14700,131.19,0,D,,,,,,
93410,2018-01-30,CVX,Wirth Michael K,,0001127602-18-003003,2018-01-28,M,14700,0.0,14700,D,,,,,,
93410,2018-01-30,CVX,Ourada Jeanette L,,0001127602-18-003015,2018-01-28,D,2280,131.19,0,D,,,,,,
93410,2018-01-30,CVX,Pate R. Hewitt,,0001127602-18-003009,2018-01-28,M,11180,0.0,11180,D,,,,,,
93410,2018-01-30,CVX,Pate R. Hewitt,,0001127602-18-003009,2018-01-28,D,11180,131.19,0,D,,,,,,
93410,2018-03-02,CVX,Umpleby III Donald J,,0001127602-18-009703,2018-03-01,A,496,0.0,496,D,,,,,,
93410,2018-04-19,CVX,Pate R. Hewitt,,0001127602-18-014961,2018-04-17,M,25500,73.7,25500,D,,,,,,
93410,2018-04-19,CVX,Pate R. Hewitt,,0001127602-18-014961,2018-04-17,S,25500,121.97,0,D,,,,,,
93410,2018-05-07,CVX,Pate R. Hewitt,,0001127602-18-016542,2018-05-03,G,1000,0.0,17708,I,,,,,,
93410,2018-05-09,CVX,Geagea Joseph C,,0001127602-18-016764,2018-05-07,M,12000,69.7,13233,D,,,,,,
93410,2018-05-09,CVX,Geagea Joseph C,,0001127602-18-016764,2018-05-07,S,12000,128.0444,1233,D,,,,,,
93410,2018-05-09,CVX,Wirth Michael K,,0001127602-18-016756,2018-05-07,M,130000,69.7,130000,D,,,,,,
93410,2018-05-09,CVX,Wirth Michael K,,0001127602-18-016756,2018-05-07,S,130000,128.0,0,D,,,,,,
93410,2018-05-11,CVX,Pate R. Hewitt,,0001127602-18-017210,2018-05-09,M,25500,73.7,25500,D,,,,,,
93410,2018-05-11,CVX,Pate R. Hewitt,,0001127602-18-017210,2018-05-09,S,25500,129.97,0,D,,,,,,
93410,2018-05-11,CVX,Geagea Joseph C,,0001127602-18-017212,2018-05-09,M,12000,69.7,13233,D,,,,,,
93410,2018-05-11,CVX,Geagea Joseph C,,0001127602-18-017212,2018-05-09,S,12000,129.0003,1233,D,,,,,,
93410,2018-05-15,CVX,Yarrington Patricia E,,0001127602-18-017548,2018-05-11,M,135000,73.7,139838,D,,,,,,
93410,2018-05-15,CVX,Yarrington Patricia E,,0001127602-18-017548,2018-05-11,S,135000,130.0,4838,D,,,,,,
93410,2018-05-15,CVX,Geagea Joseph C,,0001127602-18-017546,2018-05-11,M,12000,69.7,13233,D,,,,,,
93410,2018-05-15,CVX,Geagea Joseph C,,0001127602-18-017546,2018-05-11,S,12000,130.0005,1233,D,,,,,,
93410,2018-05-16,CVX,Breber Pierre R,,0001127602-18-017733,2018-05-14,M,25000,94.64,43943,D,,,,,,
93410,2018-05-16,CVX,Breber Pierre R,,0001127602-18-017733,2018-05-14,S,25000,130.4121,18943,D,,,,,,
93410,2018-05-24,CVX,Deily Linnet F,,0001127602-18-018840,2018-05-17,G,1800,0.0,17708,D,,,,,,
93410,2018-05-24,CVX,JOHNSON JAMES WILLIAM,,0001127602-18-018836,2018-05-22,M,9500,69.7,9500,D,,,,,,
