cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1590895,2016-01-22,ERI,Billhimer Joseph L. Jr.,,0001179110-16-017975,2016-01-05,M,37758.0,,85966.0,D,,,,,,
1590895,2016-01-22,ERI,Billhimer Joseph L. Jr.,,0001179110-16-017975,2016-01-05,F,11988.0,11.09,73978.0,D,,,,,,
1590895,2016-01-26,ERI,Wagner Roger P,,0001179110-16-018016,2016-01-22,M,6984.0,,136984.0,D,,,,,,
1590895,2016-03-16,ERI,HAWKINS JAMES B,,0001179110-16-021741,2016-03-15,P,10000.0,10.8017,50000.0,D,,,,,,
1590895,2016-03-16,ERI,Reeg Thomas,,0001179110-16-021739,2016-03-15,P,6300.0,10.8,35000.0,D,,,,,,
1590895,2016-03-16,ERI,Wagner Roger P,,0001179110-16-021737,2016-03-15,S,6984.0,10.8274,130000.0,D,,,,,,
1590895,2016-03-17,ERI,Jones Robert McDonald,,0001104659-16-105978,2016-03-15,M,28768.0,,28768.0,D,,,,,,
1590895,2016-03-17,ERI,Jones Robert McDonald,,0001104659-16-105978,2016-03-15,F,21548.0,10.18,57231.0,D,,,,,,
1590895,2016-03-21,ERI,Pegram Michael E,,0001179110-16-022011,2016-03-17,P,10000.0,11.0,46697.0,D,,,,,,
1590895,2016-05-10,ERI,Reeg Thomas,,0001179110-16-024229,2016-05-10,P,4500.0,13.75,39500.0,D,,,,,,
1590895,2016-05-18,ERI,Carano Gary L.,,0001179110-16-024980,2016-05-17,P,7500.0,13.34,34220.0,D,,,,,,
1590895,2016-05-24,ERI,TOMICK DAVID P,,0001179110-16-025415,2016-05-24,P,7400.0,13.55,7400.0,I,,,,,,
1590895,2016-06-16,ERI,HAWKINS JAMES B,,0001179110-16-026514,2016-06-14,P,2000.0,14.75,52000.0,D,,,,,,
1590895,2016-06-16,ERI,HAWKINS JAMES B,,0001179110-16-026514,2016-06-15,P,100.0,14.75,52100.0,D,,,,,,
1590895,2016-06-20,ERI,Carano Anthony L.,,0001179110-16-026651,2016-06-17,P,3000.0,14.54,8500.0,D,,,,,,
1590895,2016-11-08,ERI,Wagner Roger P,,0001179110-16-031323,2016-11-08,P,1000.0,11.0349,131000.0,D,,,,,,
1590895,2016-11-08,ERI,HAWKINS JAMES B,,0001179110-16-031322,2016-11-08,P,10000.0,10.99,65000.0,D,,,,,,
1590895,2016-11-14,ERI,Reeg Thomas,,0001179110-16-031476,2016-11-11,P,4200.0,12.05,43700.0,D,,,,,,
1590895,2016-11-14,ERI,Pegram Michael E,,0001179110-16-031475,2016-11-09,P,5000.0,10.95,51697.0,D,,,,,,
1590895,2016-11-17,ERI,TOMICK DAVID P,,0001179110-16-031763,2016-11-16,P,3000.0,13.07,10400.0,I,,,,,,
1590895,2016-12-07,ERI,"Hotel Casino Management, Inc.",,0001179110-16-032518,2016-11-28,S,85446.0,13.2075,5783015.0,D,,,,,,
1590895,2016-12-07,ERI,"Hotel Casino Management, Inc.",,0001179110-16-032518,2016-11-29,S,102233.0,13.4718,5680782.0,D,,,,,,
1590895,2016-12-07,ERI,"Hotel Casino Management, Inc.",,0001179110-16-032518,2016-11-30,S,162321.0,13.4932,5518461.0,D,,,,,,
1590895,2017-02-03,ERI,Wagner Roger P,,0001209191-17-007837,2017-02-03,M,9256.0,,140256.0,I,,,,,,
1590895,2017-03-07,ERI,TOMICK DAVID P,,0001209191-17-019102,2016-11-16,P,3000.0,13.12,3000.0,I,,,,,,
1590895,2017-03-14,ERI,Wagner Roger P,,0001209191-17-020441,2017-03-14,P,1744.0,18.7,142000.0,I,,,,,,
1590895,2017-03-17,ERI,"Hotel Casino Management, Inc.",,0001683168-17-000604,2017-03-15,S,400000.0,19.1502,5118461.0,D,,,,,,
1590895,2017-05-03,ERI,Quatmann Edmund L Jr,,0000899243-17-011774,2017-05-03,M,4287.0,,43634.0,D,,,,,,
1590895,2017-05-03,ERI,Quatmann Edmund L Jr,,0000899243-17-011774,2017-05-01,M,4285.0,,37316.0,D,,,,,,
1590895,2017-05-03,ERI,Quatmann Edmund L Jr,,0000899243-17-011774,2017-05-01,A,33031.0,,33031.0,D,,,,,,
1590895,2017-05-03,ERI,Biumi Bonnie,,0000899243-17-011741,2017-05-01,A,19757.0,,19757.0,D,,,,,,
1590895,2017-05-03,ERI,Quatmann Edmund L Jr,,0000899243-17-011774,2017-05-03,F,30638.0,19.3,79561.0,D,,,,,,
1590895,2017-05-03,ERI,Quatmann Edmund L Jr,,0000899243-17-011774,2017-05-01,F,2249.0,19.05,39349.0,D,,,,,,
1590895,2017-05-03,ERI,Kozicz Gregory J.,,0000899243-17-011744,2017-05-01,A,3528.0,,3528.0,D,,,,,,
1590895,2017-05-24,ERI,"Hotel Casino Management, Inc.",,0001683168-17-001403,2017-05-22,S,20864.0,20.51,5097594.0,D,,,,,,
1590895,2017-05-24,ERI,"Hotel Casino Management, Inc.",,0001683168-17-001403,2017-05-23,S,729136.0,20.66,4368461.0,D,,,,,,
1590895,2017-06-19,ERI,Reeg Thomas,,0001209191-17-040738,2017-06-16,P,2500.0,20.03,46200.0,D,,,,,,
1590895,2017-08-23,ERI,Reeg Thomas,,0001209191-17-049916,2017-08-23,P,1000.0,23.2,47200.0,D,,,,,,
1590895,2017-11-13,ERI,TOMICK DAVID P,,0001209191-17-060191,2017-11-09,P,1700.0,28.6999,4700.0,I,,,,,,
1590895,2017-11-17,ERI,Biumi Bonnie,,0001209191-17-061478,2017-11-16,S,13079.0,29.5,10000.0,D,,,,,,
1590895,2018-01-03,ERI,Lepori Stephanie,,0001209191-18-001505,2018-01-01,M,15778.0,31.65,15778.0,D,,,,,,
1590895,2018-01-03,ERI,Reeg Thomas,,0001209191-18-001520,2018-01-01,F,18997.0,31.65,81604.0,D,,,,,,
1590895,2018-01-03,ERI,Quatmann Edmund L Jr,,0001209191-18-001515,2018-01-01,M,10558.0,31.65,89598.0,D,,,,,,
1590895,2018-01-03,ERI,Quatmann Edmund L Jr,,0001209191-18-001515,2018-01-01,F,3083.0,31.65,86515.0,D,,,,,,
1590895,2018-01-03,ERI,Reeg Thomas,,0001209191-18-001520,2018-01-01,M,53401.0,31.65,100601.0,D,,,,,,
1590895,2018-01-03,ERI,Lepori Stephanie,,0001209191-18-001505,2018-01-01,F,4511.0,31.65,11267.0,D,,,,,,
1590895,2018-01-03,ERI,Carano Gary L.,,0001209191-18-001492,2018-01-01,M,101948.0,31.65,318519.0,D,,,,,,
1590895,2018-01-03,ERI,Carano Gary L.,,0001209191-18-001492,2018-01-01,F,36520.0,31.65,281999.0,D,,,,,,
1590895,2018-01-03,ERI,Carano Anthony L.,,0001209191-18-001481,2018-01-01,F,12502.0,31.65,32894.0,D,,,,,,
1590895,2018-01-03,ERI,Carano Anthony L.,,0001209191-18-001481,2018-01-01,M,36896.0,31.65,45396.0,D,,,,,,
1590895,2018-01-25,ERI,Lepori Stephanie,,0001209191-18-005488,2018-01-23,F,1971.0,34.0,17387.0,D,,,,,,
1590895,2018-01-25,ERI,Carano Gary L.,,0001209191-18-005484,2018-01-23,F,29716.0,34.0,327800.0,D,,,,,,
1590895,2018-01-25,ERI,Carano Gary L.,,0001209191-18-005484,2018-01-23,M,75517.0,34.0,357516.0,D,,,,,,
1590895,2018-01-25,ERI,Lepori Stephanie,,0001209191-18-005488,2018-01-23,M,8091.0,34.0,19358.0,D,,,,,,
1590895,2018-01-25,ERI,Carano Anthony L.,,0001209191-18-005482,2018-01-23,M,21576.0,34.0,54470.0,D,,,,,,
1590895,2018-01-25,ERI,Reeg Thomas,,0001209191-18-005480,2018-01-23,F,15566.0,34.0,105594.0,D,,,,,,
1590895,2018-01-25,ERI,Carano Anthony L.,,0001209191-18-005482,2018-01-23,F,8491.0,34.0,45979.0,D,,,,,,
1590895,2018-01-25,ERI,Reeg Thomas,,0001209191-18-005480,2018-01-23,M,39556.0,34.0,121160.0,D,,,,,,
1590895,2018-01-30,ERI,Wagner Roger P,,0001209191-18-006130,2018-01-26,M,4612.0,,146612.0,I,,,,,,
1590895,2018-01-30,ERI,TOMICK DAVID P,,0001209191-18-006128,2018-01-26,M,4612.0,,15012.0,D,,,,,,
1590895,2018-01-30,ERI,Pegram Michael E,,0001209191-18-006122,2018-01-26,M,4612.0,,56309.0,D,,,,,,
1590895,2018-01-30,ERI,Kozicz Gregory J.,,0001209191-18-006118,2018-01-26,M,4612.0,,8140.0,D,,,,,,
1590895,2018-05-10,ERI,Carano Anthony L.,,0001209191-18-029240,2018-05-08,S,20000.0,42.31,25979.0,D,,,,,,
1590895,2018-05-11,ERI,Wagner Roger P,,0000899243-18-012533,2018-05-10,S,6612.0,43.0,140000.0,D,,,,,,
