cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
27904,2015-12-23,DAL,Meynard Craig M,,0001019687-15-004612,2015-12-22,S,7112,51.798,14708,D,,,,,,
27904,2015-12-24,DAL,Jacobson Paul A,,0001019687-15-004629,2015-12-23,M,7000,7.99,267322,D,,,,,,
27904,2015-12-24,DAL,Jacobson Paul A,,0001019687-15-004629,2015-12-23,S,7000,51.74,260322,D,,,,,,
27904,2016-01-08,DAL,BRINZO JOHN S,,0001019687-16-004756,2016-01-07,S,2480,48.37,58213,D,,,,,,
27904,2016-01-25,DAL,Jacobson Paul A,,0001019687-16-004921,2016-01-22,M,7000,7.99,267322,D,,,,,,
27904,2016-01-25,DAL,Jacobson Paul A,,0001019687-16-004921,2016-01-22,S,7000,47.01,260322,D,,,,,,
27904,2016-01-26,DAL,West W Gilbert,,0001019687-16-004930,2016-01-25,S,4365,46.646,88910,D,,,,,,
27904,2016-02-03,DAL,Jacobson Paul A,,0001019687-16-005010,2016-02-01,F,10073,45.21,250249,D,,,,,,
27904,2016-02-03,DAL,West W Gilbert,,0001019687-16-005013,2016-02-01,F,9950,45.21,78960,D,,,,,,
27904,2016-02-03,DAL,Smith Joanne D,,0001019687-16-005012,2016-02-01,F,2993,45.21,55318,D,,,,,,
27904,2016-02-03,DAL,HAUENSTEIN GLEN W,,0001019687-16-005009,2016-02-01,F,11625,45.21,121753,D,,,,,,
27904,2016-02-03,DAL,Bastian Edward H,,0001019687-16-005008,2016-02-01,F,19000,45.21,205621,D,,,,,,
27904,2016-02-03,DAL,ANDERSON RICHARD H,,0001019687-16-005007,2016-02-01,F,38038,45.21,343848,D,,,,,,
27904,2016-02-03,DAL,Meynard Craig M,,0001019687-16-005011,2016-02-01,F,863,45.21,12445,D,,,,,,
27904,2016-02-04,DAL,Jacobson Paul A,,0001019687-16-005049,2016-02-02,F,18881,43.61,257761,D,,,,,,
27904,2016-02-04,DAL,Meynard Craig M,,0001019687-16-005050,2016-02-02,A,2870,,14577,D,,,,,,
