cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1022079,2016-01-05,DGX,BRITELL JENNE K,,0001022079-16-000169,2016-01-04,A,169,71.38,17660,D,,,,,,
1022079,2016-01-05,DGX,Gregg Vicky B,,0001022079-16-000167,2016-01-04,A,61,71.38,4684,D,,,,,,
1022079,2016-01-05,DGX,PFEIFFER GARY M,,0001022079-16-000165,2016-01-04,A,494,71.38,19685,D,,,,,,
1022079,2016-01-05,DGX,RING TIMOTHY M,,0001022079-16-000163,2016-01-04,A,417,71.38,10454,D,,,,,,
1022079,2016-01-05,DGX,ZIEGLER JOHN B,,0001022079-16-000161,2016-01-04,A,337,71.38,17302,D,,,,,,
1022079,2016-02-18,DGX,Cohen Jon R,,0001022079-16-000185,2016-02-16,F,657,61.95,61672,D,,,,,,
1022079,2016-02-18,DGX,Cunningham Everett,,0001022079-16-000186,2016-02-16,F,663,61.95,27218,D,,,,,,
1022079,2016-02-18,DGX,Davis J. E.,,0001022079-16-000187,2016-02-16,F,595,61.95,25022,D,,,,,,
1022079,2016-02-18,DGX,Doherty Catherine T.,,0001022079-16-000188,2016-02-16,F,609,61.95,78072,D,,,,,,
1022079,2016-02-18,DGX,Klug Robert A,,0001022079-16-000190,2016-02-16,F,61,61.95,1897,D,,,,,,
1022079,2016-02-18,DGX,PREVOZNIK MICHAEL E,,0001022079-16-000191,2016-02-16,F,471,61.95,41722,D,,,,,,
1022079,2016-02-18,DGX,RUSCKOWSKI STEPHEN H,,0001022079-16-000192,2016-02-16,F,2386,61.95,120057,D,,,,,,
1022079,2016-02-18,DGX,GUINAN MARK,,0001022079-16-000189,2016-02-16,F,739,61.95,41937,D,,,,,,
1022079,2016-02-29,DGX,Cunningham Everett,,0001022079-16-000207,2016-02-25,F,457,66.44,31272,D,,,,,,
1022079,2016-02-29,DGX,Cunningham Everett,,0001022079-16-000207,2016-02-25,A,4511,0.0,31729,D,,,,,,
1022079,2016-02-29,DGX,Doherty Catherine T.,,0001022079-16-000208,2016-02-25,F,422,66.44,82161,D,,,,,,
1022079,2016-02-29,DGX,Doherty Catherine T.,,0001022079-16-000208,2016-02-25,A,4511,0.0,82583,D,,,,,,
1022079,2016-02-29,DGX,Davis J. E.,,0001022079-16-000209,2016-02-25,F,459,66.44,30578,D,,,,,,
1022079,2016-02-29,DGX,Cohen Jon R,,0001022079-16-000206,2016-02-25,A,4511,0.0,66183,D,,,,,,
1022079,2016-02-29,DGX,Davis J. E.,,0001022079-16-000209,2016-02-25,A,6015,0.0,31037,D,,,,,,
1022079,2016-02-29,DGX,Cohen Jon R,,0001022079-16-000206,2016-02-25,F,458,66.44,65725,D,,,,,,
1022079,2016-02-29,DGX,GUINAN MARK,,0001022079-16-000210,2016-02-25,A,6315,0.0,48252,D,,,,,,
1022079,2016-02-29,DGX,RUSCKOWSKI STEPHEN H,,0001022079-16-000213,2016-02-25,F,1832,66.44,140778,D,,,,,,
1022079,2016-02-29,DGX,RUSCKOWSKI STEPHEN H,,0001022079-16-000213,2016-02-25,A,22553,0.0,142610,D,,,,,,
1022079,2016-02-29,DGX,Klug Robert A,,0001022079-16-000211,2016-02-25,F,48,66.44,2646,D,,,,,,
1022079,2016-02-29,DGX,Klug Robert A,,0001022079-16-000211,2016-02-25,A,797,0.0,2694,D,,,,,,
1022079,2016-02-29,DGX,PREVOZNIK MICHAEL E,,0001022079-16-000212,2016-02-25,F,309,66.44,45323,D,,,,,,
1022079,2016-02-29,DGX,PREVOZNIK MICHAEL E,,0001022079-16-000212,2016-02-25,A,3910,0.0,45632,D,,,,,,
1022079,2016-02-29,DGX,GUINAN MARK,,0001022079-16-000210,2016-02-25,F,550,66.44,47702,D,,,,,,
1022079,2016-03-03,DGX,Cunningham Everett,,0001022079-16-000226,2016-03-01,F,1000,67.01,32956,D,,,,,,
1022079,2016-03-03,DGX,Cunningham Everett,,0001022079-16-000226,2016-03-01,A,2684,67.01,33956,D,,,,,,
1022079,2016-03-03,DGX,Klug Robert A,,0001022079-16-000227,2016-03-01,F,72,67.01,2797,D,,,,,,
1022079,2016-03-03,DGX,Klug Robert A,,0001022079-16-000227,2016-03-01,A,184,67.01,2830,D,,,,,,
1022079,2016-03-03,DGX,Doherty Catherine T.,,0001022079-16-000228,2016-03-01,F,922,67.01,83923,D,,,,,,
1022079,2016-03-03,DGX,PREVOZNIK MICHAEL E,,0001022079-16-000229,2016-03-01,F,685,67.01,46632,D,,,,,,
1022079,2016-03-03,DGX,Doherty Catherine T.,,0001022079-16-000228,2016-03-01,A,2684,67.01,84845,D,,,,,,
1022079,2016-03-03,DGX,RUSCKOWSKI STEPHEN H,,0001022079-16-000225,2016-03-01,A,10273,67.01,151051,D,,,,,,
1022079,2016-03-03,DGX,Cohen Jon R,,0001022079-16-000232,2016-03-01,A,2684,67.01,68409,D,,,,,,
1022079,2016-03-03,DGX,PREVOZNIK MICHAEL E,,0001022079-16-000229,2016-03-01,A,1994,67.01,47317,D,,,,,,
1022079,2016-03-03,DGX,RUSCKOWSKI STEPHEN H,,0001022079-16-000225,2016-03-01,F,4811,67.01,146240,D,,,,,,
1022079,2016-03-03,DGX,PREVOZNIK MICHAEL E,,0001022079-16-000229,2016-03-01,S,3532,68.1894,42181,D,,,,,,
1022079,2016-03-03,DGX,Davis J. E.,,0001022079-16-000230,2016-03-01,F,655,67.01,31861,D,,,,,,
1022079,2016-03-03,DGX,Davis J. E.,,0001022079-16-000230,2016-03-01,A,1870,67.01,32448,D,,,,,,
1022079,2016-03-03,DGX,GUINAN MARK,,0001022079-16-000231,2016-03-01,F,966,67.01,49327,D,,,,,,
1022079,2016-03-03,DGX,GUINAN MARK,,0001022079-16-000231,2016-03-01,A,2591,67.01,50293,D,,,,,,
