cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
29534,2016-02-02,DG,CALBERT MICHAEL M,,0000029534-16-000061,2015-09-30,A,15.4126,0.0,55194.3815,D,,,,,,
29534,2016-02-02,DG,CALBERT MICHAEL M,,0000029534-16-000061,2016-02-01,A,2814.0,0.0,58023.7834,D,,,,,,
29534,2016-02-02,DG,DREILING RICHARD W,,0000029534-16-000060,2015-01-29,F,4049.0,75.06,89934.0,D,,,,,,
29534,2016-03-10,DG,ELLIOTT ANITA C,,0000029534-16-000067,2016-03-08,A,1261.0,0.0,18135.0,D,,,,,,
29534,2016-03-10,DG,TAYLOR RHONDA,,0000029534-16-000066,2016-03-08,A,4143.0,0.0,12272.0,D,,,,,,
29534,2016-03-10,DG,Ravener Robert D,,0000029534-16-000065,2016-03-08,A,4143.0,0.0,27284.0,D,,,,,,
29534,2016-03-10,DG,Flanigan John W,,0000029534-16-000064,2016-03-08,A,4143.0,0.0,32488.0,D,,,,,,
29534,2016-03-10,DG,Garratt John W,,0000029534-16-000063,2016-03-08,A,1261.0,0.0,2468.0,D,,,,,,
29534,2016-03-10,DG,VASOS TODD J,,0000029534-16-000062,2016-03-08,A,5650.0,0.0,66920.0,D,,,,,,
29534,2016-03-15,DG,Flanigan John W,,0000029534-16-000073,2016-03-11,S,53038.0,84.5362,21276.0,D,,,,,,
29534,2016-03-15,DG,Flanigan John W,,0000029534-16-000073,2016-03-11,M,28080.0,45.25,60568.0,D,,,,,,
29534,2016-03-15,DG,ELLIOTT ANITA C,,0000029534-16-000074,2016-03-14,M,7981.0,45.25,26116.0,D,,,,,,
29534,2016-03-15,DG,ELLIOTT ANITA C,,0000029534-16-000074,2016-03-14,S,7981.0,84.9645,18135.0,D,,,,,,
