cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
882184,2016-01-25,DHI,Hewatt Michael W,,0000882184-16-000119,2016-01-24,M,3334.0,,10000.0,D,,,,,,
882184,2016-01-25,DHI,BUCHANAN MICHAEL R,,0000882184-16-000118,2016-01-24,M,3334.0,,10000.0,D,,,,,,
882184,2016-01-25,DHI,ANDERSON BRADLEY S,,0000882184-16-000117,2016-01-24,M,3334.0,,20948.0,D,,,,,,
882184,2016-01-25,DHI,Allen Barbara K,,0000882184-16-000116,2016-01-23,M,2222.0,,7872.0,D,,,,,,
882184,2016-02-16,DHI,Allen Barbara K,,0000882184-16-000128,2016-02-16,S,2222.0,24.577,5650.0,D,,,,,,
882184,2016-03-08,DHI,HORTON DONALD R,,0000882184-16-000144,2016-03-05,M,31334.0,,24839961.0,D,,,,,,
882184,2016-03-08,DHI,Auld David V,,0000882184-16-000145,2016-03-05,M,12534.0,,51287.0,D,,,,,,
882184,2016-03-08,DHI,Murray Michael J,,0000882184-16-000146,2016-03-07,S,2849.0,28.125,10344.0,D,,,,,,
882184,2016-03-08,DHI,Murray Michael J,,0000882184-16-000146,2016-03-05,M,6580.0,,13193.0,D,,,,,,
882184,2016-03-08,DHI,WHEAT BILL W,,0000882184-16-000147,2016-03-05,M,6580.0,,70852.0,D,,,,,,
882184,2016-03-08,DHI,WHEAT BILL W,,0000882184-16-000147,2016-03-07,S,2838.0,28.1733,68014.0,D,,,,,,
882184,2016-03-08,DHI,Allen Barbara K,,0000882184-16-000148,2016-03-05,M,940.0,,6590.0,D,,,,,,
882184,2016-03-08,DHI,ANDERSON BRADLEY S,,0000882184-16-000149,2016-03-05,M,940.0,,21888.0,D,,,,,,
882184,2016-03-08,DHI,BUCHANAN MICHAEL R,,0000882184-16-000150,2016-03-05,M,940.0,,10940.0,D,,,,,,
882184,2016-03-08,DHI,Hewatt Michael W,,0000882184-16-000151,2016-03-05,M,940.0,,10940.0,D,,,,,,
882184,2016-03-08,DHI,HORTON DONALD R,,0000882184-16-000144,2016-03-07,S,12614.0,28.0136,24827347.0,D,,,,,,
882184,2016-03-14,DHI,Hewatt Michael W,,0000882184-16-000155,2016-03-14,S,940.0,29.247,10000.0,D,,,,,,
882184,2016-03-14,DHI,Allen Barbara K,,0000882184-16-000154,2016-03-11,S,940.0,29.321,5650.0,D,,,,,,
882184,2016-04-22,DHI,Auld David V,,0000882184-16-000161,2016-04-22,M,30000.0,29.44,81287.0,D,,,,,,
882184,2016-05-03,DHI,WHEAT BILL W,,0000882184-16-000169,2016-05-02,S,40000.0,30.3663,68014.0,D,,,,,,
882184,2016-05-03,DHI,HORTON DONALD R,,0000882184-16-000168,2016-04-29,S,149035.0,29.8775,24828312.0,D,,,,,,
882184,2016-05-03,DHI,HORTON DONALD R,,0000882184-16-000168,2016-04-29,M,150000.0,29.44,24977347.0,D,,,,,,
882184,2016-05-03,DHI,Murray Michael J,,0000882184-16-000170,2016-05-02,M,3000.0,29.44,13344.0,D,,,,,,
882184,2016-05-03,DHI,WHEAT BILL W,,0000882184-16-000169,2016-05-02,M,40000.0,29.44,108014.0,D,,,,,,
882184,2016-05-03,DHI,Murray Michael J,,0000882184-16-000170,2016-05-02,S,2944.0,30.3355,10400.0,D,,,,,,
882184,2016-07-26,DHI,BUCHANAN MICHAEL R,,0000882184-16-000182,2016-07-25,M,2000.0,14.5,12940.0,D,,,,,,
882184,2016-07-26,DHI,BUCHANAN MICHAEL R,,0000882184-16-000182,2016-07-25,S,12000.0,33.7961,10940.0,D,,,,,,
882184,2016-07-26,DHI,Allen Barbara K,,0000882184-16-000181,2016-07-22,M,3333.0,23.11,8983.0,D,,,,,,
882184,2016-07-26,DHI,Allen Barbara K,,0000882184-16-000181,2016-07-22,S,3333.0,33.954,5650.0,D,,,,,,
882184,2016-09-02,DHI,Hewatt Michael W,,0000882184-16-000184,2016-08-31,S,5000.0,31.868,5000.0,D,,,,,,
882184,2016-11-04,DHI,HORTON DONALD R,,0000882184-16-000191,2016-11-02,M,325000.0,0.0,25149217.0,D,,,,,,
882184,2016-11-04,DHI,HORTON DONALD R,,0000882184-16-000191,2015-12-18,G,4095.0,0.0,24824217.0,D,,,,,,
882184,2016-11-04,DHI,WHEAT BILL W,,0000882184-16-000192,2016-11-04,M,10000.0,0.0,81509.0,D,,,,,,
882184,2016-11-04,DHI,WHEAT BILL W,,0000882184-16-000192,2016-11-02,A,3495.0,0.0,71509.0,D,,,,,,
882184,2016-11-08,DHI,WHEAT BILL W,,0000882184-16-000198,2016-11-05,M,10000.0,0.0,91509.0,D,,,,,,
