cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
313616,2019-11-15,DHR,RALES STEVEN M,,0000899243-19-027366,2019-11-14,J,1818024.0,0.0,7196716.0,D,,,,,,
313616,2019-11-18,DHR,Weidemanis Joakim,,0000313616-19-000168,2019-11-15,F,1877.0,142.99,65432.0,D,,,,,,
313616,2019-11-18,DHR,McGrew Matthew,,0000313616-19-000167,2019-11-15,F,2128.0,142.99,24730.0,D,,,,,,
313616,2019-11-18,DHR,Blair Rainer,,0000313616-19-000166,2019-11-15,F,1047.0,142.99,30286.0,D,,,,,,
313616,2019-11-18,DHR,Sabeti Pardis C,,0000313616-19-000165,2019-11-15,A,330.0,0.0,330.0,D,,,,,,
313616,2019-11-18,DHR,Mega Jessica L,,0000313616-19-000164,2019-11-15,A,330.0,0.0,330.0,D,,,,,,
313616,2019-12-18,NVST,DANAHER CORP /DE/,,0000899243-19-029511,2019-12-18,J,127868000.0,,0.0,D,,,,,,
313616,2020-01-27,DHR,COMAS DANIEL L,,0000313616-20-000003,2020-01-24,J,1000.0,0.0,1000.0,I,,,,,,
313616,2020-02-04,DHR,COMAS DANIEL L,,0000313616-20-000014,2020-01-31,M,5800.0,57.9,121242.0,D,,,,,,
313616,2020-02-04,DHR,Joyce Thomas Patrick JR,,0000313616-20-000017,2020-02-03,F,17422.0,161.0,178186.0,D,,,,,,
313616,2020-02-04,DHR,Blair Rainer,,0000313616-20-000013,2020-01-31,M,11028.0,57.9,38341.0,D,,,,,,
313616,2020-02-04,DHR,Joyce Thomas Patrick JR,,0000313616-20-000017,2020-01-31,S,21342.0,163.031,224685.0,D,,,,,,
313616,2020-02-04,DHR,COMAS DANIEL L,,0000313616-20-000014,2020-02-03,S,2100.0,161.508,106479.0,D,,,,,,
