cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1297996,2017-04-07,DLR,Mills Joshua A.,,0001297996-17-000043,2017-04-05,M,4217.0,,8383.0,D,,,,,,
1297996,2017-04-07,DLR,Mills Joshua A.,,0001297996-17-000043,2017-04-05,S,4217.0,107.0,4166.0,D,,,,,,
1297996,2017-04-14,DLR,Mills Joshua A.,,0001297996-17-000045,2017-04-12,M,120.0,0.0,4286.0,D,,,,,,
1297996,2017-04-14,DLR,Mills Joshua A.,,0001297996-17-000045,2017-04-13,M,4069.0,0.0,8355.0,D,,,,,,
1297996,2017-04-14,DLR,Mills Joshua A.,,0001297996-17-000045,2017-04-12,S,120.0,110.0,8235.0,D,,,,,,
1297996,2017-04-14,DLR,Mills Joshua A.,,0001297996-17-000045,2017-04-13,S,4069.0,110.0,4166.0,D,,,,,,
1297996,2017-05-02,DLR,Mills Joshua A.,,0001297996-17-000051,2017-04-28,M,4217.0,0.0,8383.0,D,,,,,,
1297996,2017-05-02,DLR,Mills Joshua A.,,0001297996-17-000051,2017-04-28,S,4217.0,115.0,4166.0,D,,,,,,
1297996,2017-06-08,DLR,Mills Joshua A.,,0001297996-17-000085,2017-06-06,S,9211.0,120.0,4166.0,D,,,,,,
1297996,2017-06-08,DLR,Mills Joshua A.,,0001297996-17-000085,2017-06-06,M,9211.0,0.0,13377.0,D,,,,,,
1297996,2017-08-09,DLR,LAPERCH WILLIAM G,,0001297996-17-000103,2017-08-07,P,1200.0,25.0,1200.0,D,,,,,,
1297996,2017-08-18,DLR,Sharp Christopher,,0001297996-17-000115,2017-08-16,M,25733.0,0.0,25733.0,D,,,,,,
1297996,2017-08-18,DLR,Sharp Christopher,,0001297996-17-000115,2017-08-16,S,25733.0,116.44,0.0,D,,,,,,
1297996,2017-09-18,DLR,COKE MICHAEL A,,0001297996-17-000142,2017-09-14,A,11040.0,0.0,11040.0,D,,,,,,
1297996,2017-09-18,DLR,ROBERTS JOHN T JR,,0001297996-17-000138,2017-09-14,A,12382.0,0.0,12382.0,D,,,,,,
1297996,2017-11-24,DLR,CHAPMAN LAURENCE A,,0001297996-17-000157,2017-11-21,M,5621.0,0.0,58421.0,D,,,,,,
1297996,2018-03-05,DLR,Kenney Christopher,,0001297996-18-000032,2017-03-09,M,10000.0,41.73,10000.0,D,,,,,,
1297996,2018-03-05,DLR,Kenney Christopher,,0001297996-18-000032,2017-03-09,S,10000.0,103.47,0.0,D,,,,,,
1297996,2018-06-20,DLR,Sharp Christopher,,0001297996-18-000107,2017-08-31,A,234.0,69.47,719.0,D,,,,,,
1297996,2018-06-20,DLR,Sharp Christopher,,0001297996-18-000107,2018-02-28,A,264.0,69.47,983.0,D,,,,,,
1297996,2018-06-27,DLR,Mills Joshua A.,,0001297996-18-000109,2018-06-26,S,5000.0,110.0,4166.0,D,,,,,,
1297996,2018-06-27,DLR,Mills Joshua A.,,0001297996-18-000109,2018-06-26,M,5000.0,0.0,9166.0,D,,,,,,
1297996,2018-07-03,DLR,Mills Joshua A.,,0001297996-18-000112,2018-07-02,M,2500.0,0.0,6666.0,D,,,,,,
