cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
29905,2016-01-13,DOV,STUBBS MICHAEL B,,0000900549-16-000007,2016-01-05,G,129000,0.0,125727,D,,,,,,
29905,2016-02-01,DOV,STUBBS MICHAEL B,,0000900549-16-000008,2016-01-21,G,150000,0.0,199488,I,,,,,,
29905,2016-02-12,DOV,Cerepak Brad M,,0001333585-16-000005,2016-02-10,F,18227,57.96,44797,D,,,,,,
29905,2016-02-16,DOV,Fincher C. Anderson,,0001541620-16-000006,2016-02-11,M,864,,25161,D,,,,,,
29905,2016-02-16,DOV,Cabrera Ivonne M,,0001512696-16-000007,2016-02-11,M,1210,,7980,D,,,,,,
29905,2016-02-16,DOV,Fincher C. Anderson,,0001541620-16-000006,2016-02-11,F,298,57.25,24863,D,,,,,,
29905,2016-02-16,DOV,Cabrera Ivonne M,,0001512696-16-000007,2016-02-12,F,220,58.465,10145,D,,,,,,
29905,2016-02-16,DOV,Cerepak Brad M,,0001333585-16-000006,2016-02-11,A,6463,0.0,53285,D,,,,,,
29905,2016-02-16,DOV,Cabrera Ivonne M,,0001512696-16-000007,2016-02-11,A,2795,0.0,10365,D,,,,,,
29905,2016-02-16,DOV,Kloosterboer Jay L,,0001348875-16-000005,2016-02-11,M,1383,,19071,D,,,,,,
29905,2016-02-16,DOV,Kloosterboer Jay L,,0001348875-16-000005,2016-02-11,F,474,57.25,18597,D,,,,,,
29905,2016-02-16,DOV,Kloosterboer Jay L,,0001348875-16-000005,2016-02-11,A,2795,0.0,21392,D,,,,,,
29905,2016-02-16,DOV,Kloosterboer Jay L,,0001348875-16-000005,2016-02-12,F,226,58.465,21166,D,,,,,,
29905,2016-02-16,DOV,Goldberg Paul,,0001352017-16-000004,2016-02-11,M,345,,3093,D,,,,,,
29905,2016-02-16,DOV,Fincher C. Anderson,,0001541620-16-000006,2016-02-11,A,3843,0.0,28706,D,,,,,,
29905,2016-02-16,DOV,Livingston Robert,,0001302675-16-000009,2016-02-12,F,2047,58.465,194907,D,,,,,,
29905,2016-02-16,DOV,Spurgeon William,,0001302644-16-000005,2016-02-11,M,1729,,8861,D,,,,,,
29905,2016-02-16,DOV,Spurgeon William,,0001302644-16-000005,2016-02-11,A,3843,0.0,12169,D,,,,,,
