cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1751788,2019-04-03,DOW,Carter Karen S,,0000899243-19-009941,2019-04-01,A,4507.0,0.0,5740.0,D,,,,,,
1751788,2019-04-03,DOW,DowDuPont Inc.,,0001225208-19-006408,2019-04-01,J,100.0,0.0,0.0,D,,,,,,
1751788,2019-04-03,DOW,BELL JAMES A,,0001225208-19-006410,2019-04-01,J,12778.0,0.0,12778.0,D,,,,,,
1751788,2019-04-03,DOW,Yohannes Daniel,,0001225208-19-006411,2019-04-01,J,723.0,0.0,723.0,D,,,,,,
1751788,2019-04-03,DOW,SHAW RUTH G,,0001225208-19-006412,2019-04-01,J,15022.0,0.0,15022.0,D,,,,,,
1751788,2019-04-03,DOW,Hinman Jacqueline C.,,0001225208-19-006413,2019-04-01,J,723.0,0.0,723.0,D,,,,,,
1751788,2019-04-03,DOW,BANGA AJAY,,0001225208-19-006409,2019-04-01,J,5831.0,0.0,5831.0,D,,,,,,
1751788,2019-04-03,DOW,DAVIS RICHARD K,,0001225208-19-006415,2019-04-01,J,3833.8474,0.0,3833.8474,D,,,,,,
1751788,2019-04-03,DOW,BUSH WESLEY G,,0001225208-19-006416,2019-04-01,J,643.0,0.0,643.0,D,,,,,,
1751788,2019-04-03,DOW,BARTON JACQUELINE K,,0001225208-19-006417,2019-04-01,J,16717.0,0.0,16717.0,D,,,,,,
1751788,2019-04-03,DOW,Ungerleider Howard I,,0000899243-19-009936,2019-04-01,A,127224.0,0.0,127224.0,D,,,,,,
1751788,2019-04-03,DOW,Fitterling James R,,0000899243-19-009938,2019-04-01,A,66425.0,0.0,72180.0,D,,,,,,
1751788,2019-04-03,DOW,FETTIG JEFF M,,0001225208-19-006414,2019-04-01,J,15336.0,0.0,15336.0,D,,,,,,
1751788,2019-04-04,DOW,Edmonds Ronald C,,0000899243-19-009953,2019-04-01,A,16792.0,0.0,41455.0,D,,,,,,
1751788,2019-04-04,DOW,Sreeram Attiganal N,,0000899243-19-009955,2019-04-01,A,54953.0,0.0,98631.0,D,,,,,,
1751788,2019-04-04,DOW,Wilson Amy E,,0000899243-19-009958,2019-04-01,A,4136.0,0.0,6846.0,D,,,,,,
1751788,2019-04-04,DOW,HOLICKI PETER,,0000899243-19-009956,2019-04-01,A,23784.0,0.0,50330.0,D,,,,,,
1751788,2019-04-15,DOW,BUSH WESLEY G,,0001225208-19-006754,2019-04-11,A,3380.0,0.0,4023.0,D,,,,,,
1751788,2019-04-15,DOW,Sreeram Attiganal N,,0001225208-19-006748,2019-04-11,A,7110.0,0.0,112721.0,D,,,,,,
1751788,2019-04-15,DOW,Ungerleider Howard I,,0001225208-19-006749,2019-04-11,A,11350.0,0.0,159513.0,D,,,,,,
1751788,2019-04-15,DOW,Wilson Amy E,,0001225208-19-006750,2019-04-11,A,6150.0,0.0,12996.0,D,,,,,,
1751788,2019-04-15,DOW,BANGA AJAY,,0001225208-19-006751,2019-04-11,A,3380.0,0.0,9211.0,D,,,,,,
1751788,2019-04-15,DOW,BARTON JACQUELINE K,,0001225208-19-006752,2019-04-11,A,3380.0,0.0,20097.0,D,,,,,,
1751788,2019-04-15,DOW,Carter Karen S,,0001225208-19-006755,2019-04-11,A,4100.0,0.0,9840.0,D,,,,,,
1751788,2019-04-15,DOW,BELL JAMES A,,0001225208-19-006753,2019-04-11,A,3380.0,0.0,16158.0,D,,,,,,
1751788,2019-04-15,DOW,Edmonds Ronald C,,0001225208-19-006757,2019-04-11,A,3280.0,0.0,44735.0,D,,,,,,
1751788,2019-04-15,DOW,FETTIG JEFF M,,0001225208-19-006758,2019-04-11,A,3380.0,0.0,18716.0,D,,,,,,
1751788,2019-04-15,DOW,Hinman Jacqueline C.,,0001225208-19-006759,2019-04-11,A,3380.0,0.0,4103.0,D,,,,,,
1751788,2019-04-15,DOW,SHAW RUTH G,,0001225208-19-006760,2019-04-11,A,3380.0,0.0,18402.0,D,,,,,,
1751788,2019-04-15,DOW,Yohannes Daniel,,0001225208-19-006761,2019-04-11,A,3380.0,0.0,4103.0,D,,,,,,
1751788,2019-04-15,DOW,Fitterling James R,,0001225208-19-006762,2019-04-11,A,28700.0,0.0,121819.0,D,,,,,,
1751788,2019-04-15,DOW,HOLICKI PETER,,0001225208-19-006763,2019-04-11,A,5330.0,0.0,69620.0,D,,,,,,
1751788,2019-04-15,DOW,DAVIS RICHARD K,,0001225208-19-006756,2019-04-11,A,3380.0,0.0,7213.8474,D,,,,,,
1751788,2019-06-04,DOW,HOLICKI PETER,,0001225208-19-008804,2019-06-04,A,1593.0,0.0,71213.0,D,,,,,,
1751788,2019-06-04,DOW,Sreeram Attiganal N,,0001225208-19-008803,2019-06-01,A,797.0,0.0,113518.0,D,,,,,,
1751788,2019-06-04,DOW,Ungerleider Howard I,,0001225208-19-008802,2019-06-01,A,2389.0,0.0,161902.0,D,,,,,,
1751788,2019-06-04,DOW,Fitterling James R,,0001225208-19-008801,2019-06-01,A,2389.0,0.0,124208.0,D,,,,,,
1751788,2019-08-01,DOW,Sreeram Attiganal N,,0001225208-19-010798,2019-07-30,G,41296.0,0.0,72222.0,D,,,,,,
1751788,2019-08-06,DOW,FETTIG JEFF M,,0001225208-19-010924,2019-08-02,P,15000.0,45.9985,15000.0,I,,,,,,
1751788,2019-08-12,DOW,Yohannes Daniel,,0001225208-19-011132,2019-08-08,P,1000.0,46.7072,5103.0,D,,,,,,
1751788,2019-08-12,DOW,BUSH WESLEY G,,0001225208-19-011133,2019-08-08,P,5000.0,46.6447,5000.0,I,,,,,,
1751788,2019-09-05,DOW,Sreeram Attiganal N,,0001225208-19-012197,2019-09-03,D,3392.0,41.8,68831.0,D,,,,,,
1751788,2019-09-05,DOW,HOLICKI PETER,,0001225208-19-012196,2019-09-03,D,6416.0,41.8,64797.0,D,,,,,,
1751788,2019-09-05,DOW,Fitterling James R,,0001225208-19-012195,2019-09-03,D,10172.0,41.8,114036.0,D,,,,,,
1751788,2019-09-05,DOW,Ungerleider Howard I,,0001225208-19-012194,2019-09-03,D,10172.0,41.8,151730.0,D,,,,,,
1751788,2019-09-12,DOW,Ungerleider Howard I,,0001225208-19-012384,2019-09-10,G,13156.0,0.0,138574.0,D,,,,,,
1751788,2019-10-15,DOW,ALLEN SAMUEL R,,0001225208-19-013330,2019-10-10,A,2745.0,0.0,2745.0,D,,,,,,
1751788,2019-11-27,DOW,Edmonds Ronald C,,0001225208-19-014976,2019-11-26,S,10000.0,55.639,34735.0,D,,,,,,
