cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1286681,2016-02-16,DPZ,DOYLE J PATRICK,,0001209191-16-098716,2015-05-01,G,2300.0,108.34,86158.016,D,,,,,,
1286681,2016-02-16,DPZ,DOYLE J PATRICK,,0001209191-16-098716,2016-02-11,F,1570.0,106.9,84816.891,D,,,,,,
1286681,2016-02-16,DPZ,DOYLE J PATRICK,,0001209191-16-098716,2016-02-12,F,1812.0,109.5,83004.891,D,,,,,,
1286681,2016-02-18,DPZ,DOYLE J PATRICK,,0001209191-16-099894,2016-02-16,F,2225.0,111.08,80779.891,D,,,,,,
1286681,2016-02-26,DPZ,BALLARD ANDY,,0001209191-16-102934,2016-02-24,A,940.0,0.0,1861.0,D,,,,,,
1286681,2016-02-26,DPZ,BRANDON DAVID,,0001209191-16-102939,2016-02-24,A,1280.0,0.0,16047.709,D,,,,,,
1286681,2016-02-26,DPZ,Cantor Diana F,,0001209191-16-102941,2016-02-24,A,940.0,0.0,11950.0,D,,,,,,
1286681,2016-02-26,DPZ,FEDERICO RICHARD L,,0001209191-16-102946,2016-02-24,A,940.0,0.0,8800.0,D,,,,,,
1286681,2016-02-26,DPZ,BALSON ANDREW,,0001209191-16-102937,2016-02-24,A,940.0,0.0,20643.0,D,,,,,,
1286681,2016-02-26,DPZ,GOLDMAN JAMES A,,0001209191-16-102949,2015-11-30,G,1200.0,0.0,17322.0,D,,,,,,
1286681,2016-02-26,DPZ,DOYLE J PATRICK,,0001209191-16-102952,2016-02-24,A,10460.0,0.0,91239.891,D,,,,,,
1286681,2016-02-26,DPZ,Trojan Greg,,0001209191-16-102955,2016-02-24,A,940.0,0.0,5950.0,D,,,,,,
1286681,2016-02-26,DPZ,GOLDMAN JAMES A,,0001209191-16-102949,2016-02-24,A,940.0,0.0,18262.0,D,,,,,,
1286681,2016-03-02,DPZ,ALLISON RICHARD E JR,,0001209191-16-104465,2016-03-01,S,1063.0,132.528,29689.489,D,,,,,,
1286681,2016-03-02,DPZ,DOYLE J PATRICK,,0001209191-16-104488,2016-02-29,F,5125.0,133.04,86114.891,D,,,,,,
1286681,2016-03-02,DPZ,DOYLE J PATRICK,,0001209191-16-104488,2016-02-29,S,13400.0,132.097,72714.891,D,,,,,,
1286681,2016-03-02,DPZ,WEINER RUSSELL J,,0001209191-16-104484,2016-02-29,F,924.0,133.04,33220.649,D,,,,,,
1286681,2016-03-02,DPZ,LAWRENCE JEFFREY D,,0001209191-16-104478,2016-02-29,F,168.0,133.04,15773.581,D,,,,,,
1286681,2016-03-02,DPZ,Hamilton Vernon O,,0001209191-16-104472,2016-02-29,M,9000.0,10.06,44756.6394,D,,,,,,
1286681,2016-03-02,DPZ,Hamilton Vernon O,,0001209191-16-104472,2016-02-29,S,9000.0,133.5,35756.6394,D,,,,,,
1286681,2016-03-02,DPZ,ALLISON RICHARD E JR,,0001209191-16-104465,2015-11-10,G,250.0,0.0,31215.614,D,,,,,,
1286681,2016-03-02,DPZ,ALLISON RICHARD E JR,,0001209191-16-104465,2015-11-12,G,200.0,0.0,31015.614,D,,,,,,
1286681,2016-03-02,DPZ,ALLISON RICHARD E JR,,0001209191-16-104465,2016-02-29,F,492.0,133.04,30752.489,D,,,,,,
1286681,2016-03-02,DPZ,ALLISON RICHARD E JR,,0001209191-16-104465,2016-03-02,G,190.0,0.0,20499.489,D,,,,,,
1286681,2016-03-03,DPZ,BRANDON DAVID,,0001209191-16-105605,2016-03-01,S,7200.0,134.472,8847.709,D,,,,,,
1286681,2016-03-07,DPZ,LAWRENCE JEFFREY D,,0001209191-16-106564,2016-03-04,M,10800.0,10.06,26595.009,D,,,,,,
1286681,2016-03-07,DPZ,LAWRENCE JEFFREY D,,0001209191-16-106564,2016-03-04,S,10800.0,133.665,15795.009,D,,,,,,
1286681,2016-03-07,DPZ,WEINER RUSSELL J,,0001209191-16-106563,2016-03-03,M,22785.0,10.06,56005.649,D,,,,,,
1286681,2016-03-07,DPZ,WEINER RUSSELL J,,0001209191-16-106563,2016-03-03,S,22785.0,133.06,33220.649,D,,,,,,
1286681,2016-03-07,DPZ,WEINER RUSSELL J,,0001209191-16-106563,2016-03-04,M,37215.0,10.06,62036.649,D,,,,,,
1286681,2016-03-07,DPZ,WEINER RUSSELL J,,0001209191-16-106563,2016-03-04,S,37215.0,133.139,24821.649,D,,,,,,
1286681,2016-03-09,DPZ,WEINER RUSSELL J,,0001209191-16-107360,2016-03-07,M,60000.0,10.06,84821.649,D,,,,,,
1286681,2016-03-09,DPZ,WEINER RUSSELL J,,0001209191-16-107360,2016-03-07,S,31721.0,133.737,53100.649,D,,,,,,
1286681,2016-03-11,DPZ,DOYLE J PATRICK,,0001209191-16-107943,2016-03-10,S,4985.0,133.593,52997.891,D,,,,,,
1286681,2016-03-11,DPZ,DOYLE J PATRICK,,0001209191-16-107943,2016-03-11,S,33884.0,131.885,62126.891,D,,,,,,
1286681,2016-03-11,DPZ,DOYLE J PATRICK,,0001209191-16-107943,2016-03-11,M,45413.0,10.88,96010.891,D,,,,,,
1286681,2016-03-11,DPZ,DOYLE J PATRICK,,0001209191-16-107943,2016-03-09,M,60979.0,10.88,111576.891,D,,,,,,
1286681,2016-03-11,DPZ,DOYLE J PATRICK,,0001209191-16-107943,2016-03-10,M,7385.0,10.88,57982.891,D,,,,,,
1286681,2016-03-11,DPZ,DOYLE J PATRICK,,0001209191-16-107943,2016-03-09,S,23792.0,133.972,87784.891,D,,,,,,
1286681,2016-07-19,DPZ,ALLISON RICHARD E JR,,0001209191-16-133353,2016-07-15,F,218.0,135.7,20281.489,D,,,,,,
1286681,2016-07-19,DPZ,ALLISON RICHARD E JR,,0001209191-16-133353,2016-07-17,F,417.0,135.55,19520.489,D,,,,,,
1286681,2016-07-19,DPZ,WEINER RUSSELL J,,0001209191-16-133356,2016-07-17,F,596.0,135.55,23377.649,D,,,,,,
1286681,2016-07-19,DPZ,WEINER RUSSELL J,,0001209191-16-133356,2016-07-15,F,318.0,135.7,24503.649,D,,,,,,
1286681,2016-07-19,DPZ,WEINER RUSSELL J,,0001209191-16-133356,2016-07-16,F,530.0,135.55,23973.649,D,,,,,,
1286681,2016-07-19,DPZ,ALLISON RICHARD E JR,,0001209191-16-133353,2016-07-16,F,344.0,135.55,19937.489,D,,,,,,
1286681,2016-07-19,DPZ,LAWRENCE JEFFREY D,,0001209191-16-133354,2016-07-15,F,355.0,135.7,15482.095,D,,,,,,
1286681,2016-07-19,DPZ,LAWRENCE JEFFREY D,,0001209191-16-133354,2016-07-16,F,175.0,135.55,15307.095,D,,,,,,
1286681,2016-07-19,DPZ,LAWRENCE JEFFREY D,,0001209191-16-133354,2016-07-17,F,206.0,135.55,15101.095,D,,,,,,
1286681,2016-07-22,DPZ,ALLISON RICHARD E JR,,0001209191-16-133711,2016-07-20,A,2560.0,0.0,22080.489,D,,,,,,
1286681,2016-07-22,DPZ,WEINER RUSSELL J,,0001209191-16-133715,2016-07-20,A,2560.0,0.0,25937.649,D,,,,,,
1286681,2016-07-22,DPZ,LAWRENCE JEFFREY D,,0001209191-16-133713,2016-07-20,A,1740.0,0.0,16841.095,D,,,,,,
1286681,2016-07-27,DPZ,Hamilton Vernon O,,0001209191-16-134103,2016-07-25,S,1600.0,148.13,34207.8014,D,,,,,,
1286681,2016-07-27,DPZ,GOLDMAN JAMES A,,0001209191-16-134102,2016-07-25,S,3095.0,147.661,15167.0,D,,,,,,
1286681,2016-07-27,DPZ,GOLDMAN JAMES A,,0001209191-16-134102,2016-07-25,G,405.0,0.0,14762.0,D,,,,,,
1286681,2016-08-23,DPZ,ALLISON RICHARD E JR,,0001209191-16-138352,2016-08-19,M,20000.0,14.53,42080.489,D,,,,,,
1286681,2016-08-23,DPZ,ALLISON RICHARD E JR,,0001209191-16-138352,2016-08-19,S,20000.0,146.916,22080.489,D,,,,,,
1286681,2016-10-24,DPZ,Hamilton Vernon O,,0001209191-16-146765,2016-10-21,S,4000.0,165.284,30229.8931,D,,,,,,
1286681,2016-10-24,DPZ,ALLISON RICHARD E JR,,0001209191-16-146763,2016-10-20,M,20000.0,14.53,42080.489,D,,,,,,
1286681,2016-10-24,DPZ,ALLISON RICHARD E JR,,0001209191-16-146763,2016-10-20,S,20000.0,164.878,22080.489,D,,,,,,
1286681,2017-02-15,DPZ,DOYLE J PATRICK,,0001209191-17-011137,2017-02-13,F,1570.0,183.8,49185.759,D,,,,,,
1286681,2017-02-17,DPZ,Trojan Greg,,0001209191-17-012213,2017-02-15,A,600.0,0.0,6550.0,D,,,,,,
1286681,2017-02-17,DPZ,BALLARD ANDY,,0001209191-17-012202,2017-02-15,A,600.0,0.0,2461.0,D,,,,,,
