cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
712515,2020-02-05,EA,HOAG JAY C,,0001082906-20-000003,2020-02-03,M,223.0,105.04,223,D,,,,,,
712515,2020-02-05,EA,Ubinas Luis A,,0001127602-20-003808,2020-02-03,M,275.0,105.04,883,D,,,,,,
712515,2020-02-05,EA,Simonson Richard A,,0001127602-20-003805,2020-02-03,M,235.0,105.04,38708,D,,,,,,
712515,2020-02-05,EA,Hoskins Roche L Talbott,,0001127602-20-003802,2020-02-03,M,197.0,105.04,10991,D,,,,,,
712515,2020-02-05,EA,Huber Jeff,,0001127602-20-003798,2020-02-03,M,196.0,105.04,82391,D,,,,,,
712515,2020-02-05,EA,Bilbey Matthew,,0001127602-20-003779,2020-02-03,S,600.0,107.55,7728,D,,,,,,
712515,2020-02-05,EA,Wilson Andrew,,0001127602-20-003795,2020-02-03,M,20000.0,26.25,20000,D,,,,,,
712515,2020-02-05,EA,Wilson Andrew,,0001127602-20-003795,2020-02-04,G,9340.0,0.0,105225,I,,,,,,
712515,2020-02-05,EA,Singh Vijayanthimala,,0001127602-20-003792,2020-02-03,S,500.0,107.55,16719,I,,,,,,
712515,2020-02-05,EA,Miele Laura,,0001127602-20-003788,2020-02-03,S,785.0,107.55,9963,D,,,,,,
712515,2020-02-05,EA,Bruzzo Chris,,0001127602-20-003782,2020-02-03,S,608.0,104.9247,27614,D,,,,,,
712515,2020-02-05,EA,Wilson Andrew,,0001127602-20-003795,2020-02-03,S,7983.0,104.9424,12017,D,,,,,,
712515,2020-02-07,EA,Bruzzo Chris,,0001127602-20-004437,2020-02-06,M,16000.0,37.02,41722,D,,,,,,
712515,2020-02-07,EA,Bruzzo Chris,,0001127602-20-004437,2020-02-06,S,16000.0,110.0891,25722,D,,,,,,
712515,2020-02-11,EA,COLEMAN LEONARD S JR,,0001127602-20-004893,2020-02-07,S,3000.0,110.5,34371,D,,,,,,
712515,2020-02-11,EA,LINZNER JOEL,,0001127602-20-004888,2020-02-07,M,2000.0,35.7,24679,D,,,,,,
712515,2020-02-11,EA,LINZNER JOEL,,0001127602-20-004888,2020-02-07,S,2000.0,110.94,22679,D,,,,,,
712515,2020-02-12,EA,Jorgensen Blake J,,0001127602-20-005099,2020-02-11,S,4271.0,108.77,75679,D,,,,,,
712515,2020-02-20,EA,PROBST LAWRENCE F III,,0001127602-20-006736,2019-12-13,G,1250.0,0.0,110608,D,,,,,,
712515,2020-02-20,EA,PROBST LAWRENCE F III,,0001127602-20-006736,2020-02-19,S,1363.0,110.0,109245,D,,,,,,
712515,2020-02-21,EA,HOAG JAY C,,0001082906-20-000005,2020-02-19,J,597499.0,0.0,0,I,,,,,,
712515,2020-03-04,EA,Wilson Andrew,,0001127602-20-009477,2020-03-02,M,20000.0,26.25,20000,D,,,,,,
712515,2020-03-04,EA,Wilson Andrew,,0001127602-20-009477,2020-03-02,S,14692.0,102.3446,5308,D,,,,,,
712515,2020-03-04,EA,Singh Vijayanthimala,,0001127602-20-009475,2020-03-02,S,500.0,101.92,16219,I,,,,,,
712515,2020-03-04,EA,Miele Laura,,0001127602-20-009473,2020-03-02,S,785.0,101.92,9462,D,,,,,,
712515,2020-03-04,EA,Bruzzo Chris,,0001127602-20-009470,2020-03-02,S,200.0,102.045,25806,D,,,,,,
712515,2020-03-04,EA,Bilbey Matthew,,0001127602-20-009467,2020-03-02,S,600.0,101.92,7128,D,,,,,,
712515,2020-03-11,EA,Jorgensen Blake J,,0001127602-20-010284,2020-03-10,S,500.0,97.44,74250,D,,,,,,
712515,2020-04-02,EA,Singh Vijayanthimala,,0001127602-20-012902,2020-04-01,S,500.0,98.38,15719,I,,,,,,
712515,2020-04-02,EA,Miele Laura,,0001127602-20-012900,2020-04-01,S,785.0,98.38,8677,D,,,,,,
712515,2020-04-02,EA,Bruzzo Chris,,0001127602-20-012897,2020-04-01,S,1180.0,98.0251,22326,D,,,,,,
712515,2020-04-02,EA,Bilbey Matthew,,0001127602-20-012895,2020-04-02,S,600.0,100.0,6528,D,,,,,,
712515,2020-04-03,EA,Wilson Andrew,,0001127602-20-013198,2020-04-01,S,2949.0,97.4413,93276,I,,,,,,
712515,2020-04-03,EA,Wilson Andrew,,0001127602-20-013198,2020-04-02,M,20000.0,26.25,20000,D,,,,,,
712515,2020-04-03,EA,Wilson Andrew,,0001127602-20-013198,2020-04-02,S,20000.0,100.233,0,D,,,,,,
712515,2020-04-07,EA,Bruzzo Chris,,0001127602-20-013394,2020-04-06,S,700.0,105.39,21006,D,,,,,,
712515,2020-04-15,EA,Jorgensen Blake J,,0001127602-20-013753,2020-04-14,S,1000.0,110.67,68550,D,,,,,,
712515,2020-05-04,EA,Wilson Andrew,,0001127602-20-015263,2020-05-01,M,20000.0,26.25,20000,D,,,,,,
712515,2020-05-04,EA,Wilson Andrew,,0001127602-20-015263,2020-05-01,S,9728.0,112.6884,10272,D,,,,,,
712515,2020-05-04,EA,Singh Vijayanthimala,,0001127602-20-015260,2020-05-01,S,500.0,113.13,15219,I,,,,,,
712515,2020-05-04,EA,Miele Laura,,0001127602-20-015257,2020-05-01,S,785.0,113.13,7892,D,,,,,,
712515,2020-05-04,EA,Bruzzo Chris,,0001127602-20-015254,2020-05-01,S,1581.0,112.2933,19425,D,,,,,,
712515,2020-05-04,EA,Bilbey Matthew,,0001127602-20-015251,2020-05-01,S,600.0,113.13,5928,D,,,,,,
712515,2020-05-05,EA,Simonson Richard A,,0001127602-20-015499,2020-05-01,M,219.0,113.27,38927,D,,,,,,
