cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
31462,2020-02-24,ECL,ZILLMER JOHN J,,0001179110-20-002172,2020-02-20,M,4500.0,47.475,34452.53,D,,,,,,
31462,2020-02-24,ECL,Inchaustegui Roberto,,0001179110-20-002167,2020-02-21,A,7312.0,,32866.0,D,,,,,,
31462,2020-02-24,ECL,ZILLMER JOHN J,,0001179110-20-002172,2020-02-20,F,1026.0,208.128,33426.53,D,,,,,,
31462,2020-02-24,ECL,McCormick Michael C.,,0001179110-20-002170,2020-02-20,M,4900.0,71.54,59430.162,D,,,,,,
31462,2020-02-24,ECL,McCormick Michael C.,,0001179110-20-002170,2020-02-20,S,2050.0,205.629,57380.162,D,,,,,,
31462,2020-02-24,ECL,Inchaustegui Roberto,,0001179110-20-002167,2020-02-21,I,808.16,380.22,846.21,I,,,,,,
31462,2020-02-24,ECL,Busch Angela M,,0001179110-20-002163,2020-02-20,M,5100.0,48.055,23293.0,D,,,,,,
31462,2020-02-24,ECL,Inchaustegui Roberto,,0001179110-20-002167,2020-02-20,M,18290.0,103.265,43844.0,D,,,,,,
31462,2020-02-24,ECL,Inchaustegui Roberto,,0001179110-20-002167,2020-02-20,S,1766.0,206.177,42078.0,D,,,,,,
31462,2020-02-24,ECL,Busch Angela M,,0001179110-20-002163,2020-02-20,S,11672.0,205.977,11621.0,D,,,,,,
31462,2020-02-24,ECL,BAKER DOUGLAS M JR,,0001179110-20-002161,2020-02-20,M,195800.0,71.54,750104.0,D,,,,,,
31462,2020-02-24,ECL,BAKER DOUGLAS M JR,,0001179110-20-002161,2020-02-20,S,41963.0,205.762,708141.0,D,,,,,,
31462,2020-02-24,ECL,BAKER DOUGLAS M JR,,0001179110-20-002161,2020-02-02,S,9233.0,207.655,596409.0,D,,,,,,
31462,2020-02-24,ECL,Inchaustegui Roberto,,0001179110-20-002167,2020-02-21,F,3287.0,207.21,29579.0,D,,,,,,
31462,2020-02-25,ECL,Berger Larry L,,0001179110-20-002273,2020-02-21,M,4000.0,103.265,33432.0,D,,,,,,
31462,2020-02-25,ECL,Berger Larry L,,0001179110-20-002273,2020-02-21,S,16235.0,207.748,29432.0,D,,,,,,
31462,2020-02-26,ECL,Wyant Jill S,,0001179110-20-002423,2020-02-26,M,2237.0,119.12,11010.0,D,,,,,,
31462,2020-02-26,ECL,Wyant Jill S,,0001179110-20-002423,2020-02-26,S,10209.0,194.541,22648.0,D,,,,,,
31462,2020-02-26,ECL,Wyant Jill S,,0001179110-20-002423,2020-02-25,S,5201.0,200.772,8773.0,D,,,,,,
31462,2020-02-26,ECL,Wyant Jill S,,0001179110-20-002423,2020-02-24,S,53684.0,203.784,27695.0,D,,,,,,
31462,2020-02-26,ECL,Wyant Jill S,,0001179110-20-002423,2020-02-24,M,16300.0,71.54,34018.0,D,,,,,,
31462,2020-02-26,ECL,Wyant Jill S,,0001179110-20-002423,2020-02-25,M,5201.0,119.12,13974.0,D,,,,,,
31462,2020-02-28,ECL,Inchaustegui Roberto,,0001179110-20-002622,2020-02-26,F,1964.0,195.74,31984.0,D,,,,,,
31462,2020-02-28,ECL,BAKER DOUGLAS M JR,,0001179110-20-002609,2020-02-26,F,18929.0,195.74,600728.0,D,,,,,,
31462,2020-02-28,ECL,Beck Christophe,,0001179110-20-002612,2020-02-26,F,1626.0,195.74,32283.0,D,,,,,,
31462,2020-02-28,ECL,Beck Christophe,,0001179110-20-002612,2020-02-26,A,5243.0,0.0,33909.0,D,,,,,,
31462,2020-02-28,ECL,Berger Larry L,,0001179110-20-002614,2020-02-26,F,1595.0,195.74,31333.0,D,,,,,,
31462,2020-02-28,ECL,Berger Larry L,,0001179110-20-002614,2020-02-26,A,3496.0,0.0,32928.0,D,,,,,,
31462,2020-02-28,ECL,Brown Darrell R,,0001179110-20-002616,2020-02-26,F,1134.0,195.74,10745.0,D,,,,,,
31462,2020-02-28,ECL,Brown Darrell R,,0001179110-20-002616,2020-02-26,A,3496.0,0.0,11879.0,D,,,,,,
31462,2020-02-28,ECL,Bryant Deric D.,,0001179110-20-002618,2020-02-26,F,417.0,195.74,3434.0,D,,,,,,
31462,2020-02-28,ECL,Bryant Deric D.,,0001179110-20-002618,2020-02-26,A,1595.0,0.0,3851.0,D,,,,,,
31462,2020-02-28,ECL,Busch Angela M,,0001179110-20-002620,2020-02-26,F,657.0,195.74,12712.0,D,,,,,,
31462,2020-02-28,ECL,Busch Angela M,,0001179110-20-002620,2020-02-26,A,1748.0,0.0,13369.0,D,,,,,,
31462,2020-02-28,ECL,Inchaustegui Roberto,,0001179110-20-002622,2020-02-26,A,4369.0,0.0,33948.0,D,,,,,,
31462,2020-02-28,ECL,BAKER DOUGLAS M JR,,0001179110-20-002609,2020-02-26,A,41509.0,0.0,619657.0,D,,,,,,
31462,2020-02-28,ECL,Kirkland Scott D,,0001179110-20-002624,2020-02-26,A,874.0,0.0,3110.0,D,,,,,,
31462,2020-02-28,ECL,Wyant Jill S,,0001179110-20-002636,2020-02-26,A,4806.0,0.0,13579.0,D,,,,,,
31462,2020-02-28,ECL,Kirkland Scott D,,0001179110-20-002624,2020-02-26,F,287.0,195.74,2823.0,D,,,,,,
31462,2020-02-28,ECL,Wyant Jill S,,0001179110-20-002636,2020-02-26,F,2271.0,195.74,11308.0,D,,,,,,
31462,2020-02-28,ECL,Simermeyer Elizabeth A,,0001179110-20-002634,2020-02-26,F,814.0,195.74,8354.0,D,,,,,,
31462,2020-02-28,ECL,SCHMECHEL DANIEL J,,0001179110-20-002632,2020-02-26,A,7865.0,0.0,166727.871,D,,,,,,
31462,2020-02-28,ECL,SCHMECHEL DANIEL J,,0001179110-20-002632,2020-02-26,F,2825.0,195.74,163902.871,D,,,,,,
31462,2020-02-28,ECL,Simermeyer Elizabeth A,,0001179110-20-002634,2020-02-26,A,2622.0,0.0,9168.0,D,,,,,,
