cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1047862,2019-09-05,ED,Sanchez Robert,,0001047862-19-000156,2019-08-31,P,26.55,87.05,2592.748,D,,,,,,
1047862,2019-09-05,ED,Cawley Timothy,,0001047862-19-000149,2019-08-31,P,26.601,87.05,14937.74,D,,,,,,
1047862,2019-09-05,ED,HOGLUND ROBERT N,,0001047862-19-000150,2019-08-31,P,26.593,87.05,39377.994,D,,,,,,
1047862,2019-09-05,ED,McAvoy John,,0001047862-19-000151,2019-08-31,P,26.601,87.05,127434.536,D,,,,,,
1047862,2019-09-05,ED,de la Bastide Lore,,0001047862-19-000148,2019-08-31,P,3.829,87.05,613.564,D,,,,,,
1047862,2019-09-05,ED,Muccilo Robert,,0001047862-19-000153,2019-08-31,P,22.976,87.05,7058.176,D,,,,,,
1047862,2019-09-05,ED,Nadkarni Gurudatta D,,0001047862-19-000154,2019-08-31,P,23.882,87.05,7043.31,D,,,,,,
1047862,2019-09-05,ED,OATES JOSEPH P,,0001047862-19-000155,2019-08-31,P,6.382,87.05,24223.819,D,,,,,,
1047862,2019-09-05,ED,Moore Elizabeth D,,0001047862-19-000152,2019-08-31,P,25.529,87.05,41611.324,D,,,,,,
1047862,2019-10-01,ED,RANGER MICHAEL W,,0001047862-19-000159,2019-09-30,A,475.587,94.62,56577.248,D,,,,,,
1047862,2019-10-01,ED,Stanley Deirdre,,0001047862-19-000158,2019-09-30,A,303.847,94.62,7431.371,D,,,,,,
1047862,2019-10-01,ED,SUTHERLAND L FREDERICK,,0001047862-19-000157,2019-09-30,A,383.111,94.62,61204.856,D,,,,,,
1047862,2019-10-03,ED,de la Bastide Lore,,0001047862-19-000160,2019-09-30,P,9.206,90.66,622.77,D,,,,,,
1047862,2019-10-03,ED,HOGLUND ROBERT N,,0001047862-19-000162,2019-09-30,P,109.998,90.66,39487.992,D,,,,,,
1047862,2019-10-03,ED,McAvoy John,,0001047862-19-000163,2019-09-30,P,58.246,90.66,128504.225,D,,,,,,
1047862,2019-10-03,ED,Moore Elizabeth D,,0001047862-19-000164,2019-09-30,P,52.261,90.66,41981.044,D,,,,,,
1047862,2019-10-03,ED,Cawley Timothy,,0001047862-19-000161,2019-09-30,P,53.576,90.66,15088.684,D,,,,,,
1047862,2019-10-03,ED,RESHESKE FRANCES,,0001047862-19-000168,2019-09-30,P,1.02,90.66,51061.061,D,,,,,,
1047862,2019-10-03,ED,Muccilo Robert,,0001047862-19-000165,2019-09-30,P,85.861,90.66,7144.037,D,,,,,,
1047862,2019-10-03,ED,Sanchez Robert,,0001047862-19-000169,2019-09-30,P,48.764,90.66,2641.512,D,,,,,,
1047862,2019-10-03,ED,Nadkarni Gurudatta D,,0001047862-19-000166,2019-09-30,P,86.589,90.66,7129.899,D,,,,,,
1047862,2019-10-03,ED,OATES JOSEPH P,,0001047862-19-000167,2019-09-30,P,9.314,90.66,24429.863,D,,,,,,
1047862,2019-11-05,ED,Cawley Timothy,,0001047862-19-000185,2019-10-31,P,24.907,92.97,15113.591,D,,,,,,
1047862,2019-11-05,ED,de la Bastide Lore,,0001047862-19-000184,2019-10-31,P,3.586,92.97,626.356,D,,,,,,
1047862,2019-11-05,ED,McAvoy John,,0001047862-19-000187,2019-10-31,P,24.907,92.97,128529.132,D,,,,,,
1047862,2019-11-05,ED,HOGLUND ROBERT N,,0001047862-19-000186,2019-10-31,P,24.899,92.97,39512.891,D,,,,,,
1047862,2019-11-05,ED,Nadkarni Gurudatta D,,0001047862-19-000189,2019-10-31,P,22.361,92.97,7152.26,D,,,,,,
1047862,2019-11-05,ED,OATES JOSEPH P,,0001047862-19-000190,2019-10-31,P,5.976,92.97,24435.839,D,,,,,,
1047862,2019-11-05,ED,Sanchez Robert,,0001047862-19-000191,2019-10-31,P,24.859,92.97,2666.371,D,,,,,,
1047862,2019-11-05,ED,Muccilo Robert,,0001047862-19-000188,2019-10-31,P,21.513,92.97,7165.55,D,,,,,,
1047862,2019-12-05,ED,Sanchez Robert,,0001047862-19-000202,2019-11-30,P,26.526,87.13,2692.897,D,,,,,,
1047862,2019-12-05,ED,OATES JOSEPH P,,0001047862-19-000201,2019-11-30,P,6.377,87.13,24442.216,D,,,,,,
1047862,2019-12-05,ED,Nadkarni Gurudatta D,,0001047862-19-000200,2019-11-30,P,23.861,87.13,7176.121,D,,,,,,
1047862,2019-12-05,ED,Muccilo Robert,,0001047862-19-000199,2019-11-30,P,22.955,87.13,7188.505,D,,,,,,
1047862,2019-12-05,ED,McAvoy John,,0001047862-19-000198,2019-11-30,P,26.577,87.13,128555.709,D,,,,,,
1047862,2019-12-05,ED,HOGLUND ROBERT N,,0001047862-19-000197,2019-11-30,P,26.568,87.13,39539.459,D,,,,,,
1047862,2019-12-05,ED,Cawley Timothy,,0001047862-19-000196,2019-11-30,P,26.577,87.13,15140.168,D,,,,,,
1047862,2019-12-05,ED,de la Bastide Lore,,0001047862-19-000195,2019-11-30,P,3.826,87.13,630.182,D,,,,,,
1047862,2019-12-18,ED,CAMPBELL GEORGE JR,,0001047862-19-000203,2019-12-17,G,433.0,0.0,44687.171,D,,,,,,
1047862,2019-12-31,ED,RANGER MICHAEL W,,0001047862-19-000205,2019-12-31,A,498.947,90.19,57561.985,D,,,,,,
1047862,2019-12-31,ED,Stanley Deirdre,,0001047862-19-000206,2019-12-31,A,318.771,90.19,7812.754,D,,,,,,
