cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
33185,2016-01-08,EFX,DRIVER WALTER W JR,,0001225208-16-023947,2016-01-07,M,470.0,0.0,25979.0,D,,,,,,
33185,2016-01-21,EFX,KELLEY JOHN J III,,0001225208-16-024596,2016-01-02,F,9288.0,111.37,33384.0,D,,,,,,
33185,2016-02-09,EFX,Ploder Rodolfo O,,0001225208-16-025875,2016-02-08,F,2554.0,93.9,38354.0,D,,,,,,
33185,2016-02-09,EFX,KELLEY JOHN J III,,0001225208-16-025874,2016-02-08,F,4714.0,93.9,28670.0,D,,,,,,
33185,2016-02-09,EFX,Rushing Coretha M,,0001225208-16-025873,2016-02-08,F,2306.0,93.9,12979.0,D,,,,,,
33185,2016-02-09,EFX,Smith Richard F,,0001225208-16-025872,2016-02-08,F,21618.0,93.9,208958.0,D,,,,,,
33185,2016-02-09,EFX,Webb David,,0001225208-16-025871,2016-02-08,F,2013.0,93.9,23185.0,D,,,,,,
33185,2016-02-09,EFX,Barros Paulino R,,0001225208-16-025870,2016-02-08,F,2473.0,93.9,22942.0,D,,,,,,
33185,2016-02-10,EFX,Loughran Joseph Michael III,,0001225208-16-025953,2016-02-08,F,218.0,93.9,33379.0,D,,,,,,
33185,2016-02-10,EFX,Hartman John T.,,0001225208-16-025952,2016-02-08,F,331.0,93.9,17969.0,D,,,,,,
33185,2016-02-10,EFX,Adams J Dann,,0001225208-16-025951,2016-02-08,F,1737.0,93.9,58443.0,D,,,,,,
33185,2016-02-12,EFX,Webb David,,0001225208-16-026301,2016-02-12,S,3983.0,96.61,19202.0,D,,,,,,
33185,2016-02-12,EFX,KELLEY JOHN J III,,0001225208-16-026300,2016-02-12,S,17827.0,96.94,10843.0,D,,,,,,
33185,2016-02-18,EFX,Barros Paulino R,,0001225208-16-027007,2016-02-17,A,7152.0,0.0,30094.0,D,,,,,,
33185,2016-02-18,EFX,KELLEY JOHN J III,,0001225208-16-027005,2016-02-18,S,8946.0,102.03,10843.0,D,,,,,,
33185,2016-02-18,EFX,Adams J Dann,,0001225208-16-027006,2016-02-17,S,3349.0,101.37,62017.0,D,,,,,,
33185,2016-02-18,EFX,Adams J Dann,,0001225208-16-027006,2016-02-17,A,6923.0,0.0,65366.0,D,,,,,,
33185,2016-02-18,EFX,Loughran Joseph Michael III,,0001225208-16-027009,2016-02-17,A,6015.0,0.0,39394.0,D,,,,,,
33185,2016-02-18,EFX,Hartman John T.,,0001225208-16-027008,2016-02-17,A,3550.0,0.0,21519.0,D,,,,,,
33185,2016-02-18,EFX,Ploder Rodolfo O,,0001225208-16-027010,2016-02-17,A,7341.0,0.0,45695.0,D,,,,,,
33185,2016-02-18,EFX,Rushing Coretha M,,0001225208-16-027011,2016-02-17,A,6770.0,0.0,19749.0,D,,,,,,
33185,2016-02-18,EFX,Smith Richard F,,0001225208-16-027012,2016-02-17,A,58104.0,0.0,267062.0,D,,,,,,
33185,2016-02-18,EFX,KELLEY JOHN J III,,0001225208-16-027005,2016-02-17,A,8946.0,0.0,19789.0,D,,,,,,
