cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
827052,2016-01-05,EIX,SCILACCI W JAMES,,0000827052-16-000209,2015-12-31,M,6554.2308,,19728.2308,D,,,,,,
827052,2016-01-05,EIX,Clarke Mark,,0000827052-16-000199,2015-12-31,F,624.0,59.21,800.03,D,,,,,,
827052,2016-01-05,EIX,Clarke Mark,,0000827052-16-000199,2015-12-31,M,1424.03,,1424.03,D,,,,,,
827052,2016-01-05,EIX,Clayton Janet,,0000827052-16-000201,2015-12-31,D,0.2886,59.21,3528.0,D,,,,,,
827052,2016-01-05,EIX,Clayton Janet,,0000827052-16-000201,2015-12-31,F,625.0,59.21,3528.2886,D,,,,,,
827052,2016-01-05,EIX,Clayton Janet,,0000827052-16-000201,2015-12-31,M,1427.2886,,4153.2886,D,,,,,,
827052,2016-01-05,EIX,Litzinger Ronald L,,0000827052-16-000203,2015-12-31,D,0.2121,59.21,3878.0,D,,,,,,
827052,2016-01-05,EIX,Litzinger Ronald L,,0000827052-16-000203,2015-12-31,F,2512.0,59.21,3878.2121,D,,,,,,
827052,2016-01-05,EIX,Clarke Mark,,0000827052-16-000199,2015-12-31,D,0.03,59.21,800.0,D,,,,,,
827052,2016-01-05,EIX,Litzinger Ronald L,,0000827052-16-000203,2015-12-31,M,6390.2121,,6390.2121,D,,,,,,
827052,2016-01-05,EIX,Vasquez Gaddi H.,,0000827052-16-000205,2015-12-31,F,452.0,59.21,2346.8197,D,,,,,,
827052,2016-01-05,EIX,Vasquez Gaddi H.,,0000827052-16-000205,2015-12-31,M,1030.8197,,2798.8197,D,,,,,,
827052,2016-01-05,EIX,CRAVER THEODORE F JR,,0000827052-16-000207,2015-12-31,D,0.8724,59.21,17640.0,D,,,,,,
827052,2016-01-05,EIX,CRAVER THEODORE F JR,,0000827052-16-000207,2015-12-31,F,12607.0,59.21,17640.8724,D,,,,,,
827052,2016-01-05,EIX,CRAVER THEODORE F JR,,0000827052-16-000207,2015-12-31,M,30247.8724,,30247.8724,D,,,,,,
