cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
32604,2016-02-04,EMR,Turley James S,,0000950138-16-000824,2016-02-02,A,3042,,8659.0,D,,,,,,
32604,2016-02-04,EMR,STEPHENSON RANDALL L,,0000950138-16-000822,2016-02-02,A,3042,,37122.0,D,,,,,,
32604,2016-02-04,EMR,PRUEHER JOSEPH W,,0000950138-16-000820,2016-02-02,A,3042,,36763.0,D,,,,,,
32604,2016-02-04,EMR,LEVATICH MATTHEW S,,0000950138-16-000818,2016-02-02,A,3042,,10826.0,D,,,,,,
32604,2016-02-04,EMR,KENDLE CANDACE B,,0000950138-16-000816,2016-02-02,A,3042,,7387.0,D,,,,,,
32604,2016-02-04,EMR,JOHNSON WILLIAM R,,0000950138-16-000814,2016-02-02,A,3042,,23536.0,D,,,,,,
32604,2016-02-04,EMR,GOLDEN ARTHUR F,,0000950138-16-000812,2016-02-02,A,3042,,61316.0,D,,,,,,
32604,2016-02-04,EMR,BOLTEN JOSHUA B.,,0000950138-16-000810,2016-02-02,A,3042,,11995.0,D,,,,,,
32604,2016-02-04,EMR,BOERSIG CLEMENS A H,,0000950138-16-000808,2016-02-02,A,3042,,19963.0,D,,,,,,
32604,2016-03-23,EMR,Pelch Steven J.,,0000950138-16-001051,2016-03-21,G,300,,47268.0,D,,,,,,
32604,2016-09-28,EMR,Purvis Edgar M Jr,,0000950138-16-001363,2016-09-07,G,1400,,115612.0,D,,,,,,
32604,2016-10-05,EMR,MONSER EDWARD L,,0000950138-16-001387,2016-10-03,F,834,53.82,141279.0,D,,,,,,
32604,2016-10-05,EMR,DELLAQUILA FRANK J,,0000950138-16-001385,2016-10-03,M,5003,53.82,104552.0,D,,,,,,
32604,2016-11-03,EMR,Purvis Edgar M Jr,,0000950138-16-001455,2016-11-01,A,26857,,142469.0,D,,,,,,
