cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1463101,2016-01-19,ENPH,NAHI PAUL B,,0001209191-16-092206,2016-01-14,M,100000,0.27,832012,D,,,,,,
1463101,2016-01-19,ENPH,NAHI PAUL B,,0001209191-16-092206,2016-01-15,M,100000,0.27,932012,D,,,,,,
1463101,2016-02-01,ENPH,NAHI PAUL B,,0001209191-16-094367,2016-01-28,M,102090,0.27,1034102,D,,,,,,
1463101,2016-02-11,ENPH,Kortlang Benjamin John,,0001209191-16-097722,2015-11-05,P,100000,2.09,102614,D,,,,,,
1463101,2016-02-11,ENPH,Kortlang Benjamin John,,0001209191-16-097722,2015-11-06,P,150000,2.09,252614,D,,,,,,
1463101,2016-02-29,ENPH,Sennesael Kris,,0001209191-16-103552,2016-02-26,P,100000,1.97,314924,D,,,,,,
1463101,2016-08-11,ENPH,Garcia Humberto,,0001209191-16-136685,2016-08-09,A,50000,0.0,68127,D,,,,,,
1463101,2016-08-16,ENPH,Garcia Humberto,,0001209191-16-137402,2016-08-16,S,1036,1.7843,67091,D,,,,,,
1463101,2016-08-16,ENPH,NAHI PAUL B,,0001209191-16-137401,2016-08-16,S,7596,1.7851,526684,D,,,,,,
1463101,2016-09-23,ENPH,Kortlang Benjamin John,,0001209191-16-142682,2016-09-23,P,600000,1.2,852614,D,,,,,,
1463101,2016-11-17,ENPH,NAHI PAUL B,,0001209191-16-151065,2016-11-16,S,3176,1.05,524241,D,,,,,,
1463101,2016-11-17,ENPH,Garcia Humberto,,0001209191-16-151014,2016-11-16,S,384,1.05,66125,D,,,,,,
1463101,2017-03-03,ENPH,NAHI PAUL B,,0001463101-17-000020,2017-02-15,F,8209,1.6,514798,D,,,,,,
1463101,2017-03-03,ENPH,Garcia Humberto,,0001463101-17-000018,2017-02-15,F,958,1.6,65167,D,,,,,,
1463101,2017-05-17,ENPH,Garcia Humberto,,0001682076-17-000002,2017-05-15,F,449,0.76,62123,D,,,,,,
1463101,2017-05-17,ENPH,NAHI PAUL B,,0001544025-17-000003,2017-05-15,F,3254,0.76,512175,D,,,,,,
1463101,2017-05-24,ENPH,NAHI PAUL B,,0001463101-17-000071,2017-05-01,A,50959,,561881,D,,,,,,
1463101,2017-05-24,ENPH,Garcia Humberto,,0001463101-17-000070,2017-05-01,A,528,,63100,D,,,,,,
1463101,2017-06-01,ENPH,Garcia Humberto,,0001463101-17-000077,2017-05-30,A,300000,0.0,376976,D,,,,,,
1463101,2017-06-01,ENPH,NAHI PAUL B,,0001463101-17-000075,2017-05-30,A,750000,0.0,1367880,D,,,,,,
1463101,2017-08-17,ENPH,Garcia Humberto,,0001463101-17-000093,2017-08-16,F,2510,0.77,374466,D,,,,,,
1463101,2017-09-28,ENPH,Garcia Humberto,,0001463101-17-000101,2017-09-28,A,200000,0.0,557811,D,,,,,,
1463101,2017-11-09,ENPH,Kothandaraman Badrinarayanan,,0001463101-17-000112,2017-11-09,P,40677,1.78,40677,D,,,,,,
1463101,2017-11-17,ENPH,Garcia Humberto,,0001463101-17-000114,2017-11-15,S,142,2.6,557669,D,,,,,,
1463101,2017-11-17,ENPH,Garcia Humberto,,0001463101-17-000114,2017-11-15,A,9559,2.6,550110,D,,,,,,
