cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1101239,2018-06-01,EQIX,HROMADKO GARY,,0001645635-18-000037,2018-05-31,M,566.0,0.0,169193.0,D,,,,,,
1101239,2018-06-01,EQIX,Bartlett Thomas A,,0001645635-18-000036,2018-05-31,M,566.0,0.0,5113.0,D,,,,,,
1101239,2018-06-01,EQIX,PAISLEY CHRISTOPHER B,,0001645635-18-000035,2018-05-31,M,566.0,0.0,18438.0,I,,,,,,
1101239,2018-06-18,EQIX,Meyers Charles J,,0001645635-18-000046,2018-06-15,S,400.0,397.49,4116.0,D,,,,,,
1101239,2018-06-22,EQIX,Campbell Michael Earl,,0001645635-18-000047,2018-06-21,S,500.0,420.0,1927.0,D,,,,,,
1101239,2018-06-28,EQIX,TAYLOR KEITH D,,0001645635-18-000048,2018-06-27,S,300.0,425.98,24141.0,D,,,,,,
1101239,2018-07-17,EQIX,Meyers Charles J,,0001645635-18-000050,2018-07-16,S,280.0,443.14,3836.0,D,,,,,,
1101239,2018-07-17,EQIX,Campbell Michael Earl,,0001645635-18-000049,2018-07-16,S,250.0,443.14,1677.0,D,,,,,,
1101239,2018-07-30,EQIX,TAYLOR KEITH D,,0001645635-18-000051,2018-07-27,S,200.0,436.89,22741.0,D,,,,,,
1101239,2018-08-16,EQIX,Campbell Michael Earl,,0001645635-18-000052,2018-08-15,S,250.0,433.24,1427.0,D,,,,,,
1101239,2018-08-28,EQIX,TAYLOR KEITH D,,0001645635-18-000053,2018-08-27,S,300.0,430.2267,21141.0,D,,,,,,
1101239,2018-09-06,EQIX,Campbell Michael Earl,,0001645635-18-000054,2018-09-04,M,2527.0,0.0,3954.0,D,,,,,,
1101239,2018-09-06,EQIX,Campbell Michael Earl,,0001645635-18-000054,2018-09-05,S,600.0,422.4838,3604.0,D,,,,,,
1101239,2018-11-16,EQIX,Lee Yau Tat,,0001645635-18-000057,2018-11-15,S,2792.0,382.8639,2182.0,D,,,,,,
1101239,2018-12-06,EQIX,Campbell Michael Earl,,0001645635-18-000058,2018-12-04,S,1500.0,395.0,1388.0,D,,,,,,
1101239,2019-01-17,EQIX,TAYLOR KEITH D,,0001645635-19-000007,2019-01-15,M,1914.0,0.0,21355.0,D,,,,,,
1101239,2019-01-17,EQIX,TAYLOR KEITH D,,0001645635-19-000007,2019-01-16,S,1335.0,380.3915,23697.0,D,,,,,,
1101239,2019-01-17,EQIX,STROHMEYER KARL,,0001645635-19-000006,2019-01-15,M,1361.0,0.0,2659.0,D,,,,,,
1101239,2019-01-17,EQIX,STROHMEYER KARL,,0001645635-19-000006,2019-01-16,S,1000.0,380.268,4165.0,D,,,,,,
1101239,2019-01-17,EQIX,Schwartz Eric,,0001645635-19-000005,2019-01-15,M,1234.0,0.0,4668.0,D,,,,,,
1101239,2019-01-17,EQIX,Schwartz Eric,,0001645635-19-000005,2019-01-16,S,1680.0,380.3549,5305.0,D,,,,,,
1101239,2019-01-17,EQIX,VAN CAMP PETER,,0001645635-19-000004,2018-05-17,G,517.0,0.0,6454.0,D,,,,,,
