cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1707753,2018-10-10,ESTC,Viswanathan Ravi,,0001209191-18-054723,2018-10-10,C,4155995,,4155995,I,,,,,,
1707753,2018-10-10,ESTC,SANDELL SCOTT D,,0001209191-18-054722,2018-10-10,C,4155995,,4155995,I,,,,,,
1707753,2018-10-10,ESTC,MOTT DAVID M,,0001209191-18-054721,2018-10-10,C,4155995,,4155995,I,,,,,,
1707753,2018-10-10,ESTC,BASKETT FOREST,,0001209191-18-054720,2018-10-10,C,4155995,,4155995,I,,,,,,
1707753,2018-10-10,ESTC,BARRIS PETER J,,0001209191-18-054719,2018-10-10,C,4155995,,4155995,I,,,,,,
1707753,2018-10-10,ESTC,Volpi Michelangelo,,0000899243-18-026517,2018-10-10,C,6571709,,6571709,I,,,,,,
1707753,2018-10-10,ESTC,Hexavest Sarl,,0000899243-18-026515,2018-10-10,C,6571709,,6571709,D,,,,,,
1707753,2018-10-10,ESTC,FENTON PETER H,,0000899243-18-026513,2018-10-10,C,11083407,,11083407,I,,,,,,
1707753,2018-10-10,ESTC,SPURLOCK STEVEN M,,0000899243-18-026508,2018-10-10,C,11083407,,11083407,I,,,,,,
1707753,2018-10-10,ESTC,"Benchmark Capital Management Co. VII, L.L.C.",,0000899243-18-026506,2018-10-10,C,11083407,,11083407,I,,,,,,
1707753,2018-12-19,ESTC,Kluge Kevin,,0000899243-18-031405,2018-12-17,M,2750,5.46,474750,D,,,,,,
1707753,2019-03-08,ESTC,Schuurman Steven,,0000899243-19-006886,2019-03-07,S,650000,82.45,5911000,I,,,,,,
1707753,2019-03-11,ESTC,Kluge Kevin,,0000899243-19-007175,2019-03-08,S,5700,82.9012,509550,D,,,,,,
1707753,2019-03-11,ESTC,Kluge Kevin,,0000899243-19-007175,2019-03-08,M,40500,1.08,515250,D,,,,,,
1707753,2019-03-11,ESTC,Kluge Kevin,,0000899243-19-007175,2019-03-11,S,12837,84.7023,491413,D,,,,,,
1707753,2019-03-11,ESTC,Kluge Kevin,,0000899243-19-007175,2019-03-11,M,29500,1.08,504250,D,,,,,,
1707753,2019-03-13,ESTC,SPURLOCK STEVEN M,,0001209191-19-019319,2019-03-11,J,2000000,0.0,9091250,I,,,,,,
1707753,2019-03-13,ESTC,SPURLOCK STEVEN M,,0001209191-19-019319,2019-03-12,S,104,81.0338,27962,I,,,,,,
1707753,2019-03-13,ESTC,"Benchmark Capital Management Co. VII, L.L.C.",,0001209191-19-019318,2019-03-12,S,348,81.0338,90054,I,,,,,,
1707753,2019-03-13,ESTC,Katz Aaron,,0000899243-19-007614,2019-03-12,S,1500,81.3487,265160,D,,,,,,
1707753,2019-03-13,ESTC,FENTON PETER H,,0001209191-19-019317,2019-03-11,J,2000000,0.0,9091250,I,,,,,,
