cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
72741,2016-01-20,ES,WRAASE DENNIS R,,0001127602-16-037453,2016-01-15,A,2637.0,0.0,24549,D,,,,,,
72741,2016-01-20,ES,Williams Frederica M,,0001127602-16-037450,2016-01-15,A,2637.0,0.0,11385,D,,,,,,
72741,2016-01-20,ES,VAN FAASEN WILLIAM C,,0001127602-16-037447,2016-01-15,A,2637.0,0.0,11385,D,,,,,,
72741,2016-01-20,ES,Leibler Kenneth R,,0001127602-16-037443,2016-01-15,A,2637.0,0.0,30157,D,,,,,,
72741,2016-01-20,ES,LACAMERA PAUL A,,0001127602-16-037440,2016-01-15,A,2637.0,0.0,9925,D,,,,,,
72741,2016-01-20,ES,GIFFORD CHARLES K,,0001127602-16-037437,2016-01-15,A,2637.0,0.0,17578,D,,,,,,
72741,2016-01-20,ES,DOYLE FRANCIS A,,0001127602-16-037434,2016-01-15,A,2637.0,0.0,15816,D,,,,,,
72741,2016-01-20,ES,DiStasio James S,,0001127602-16-037431,2016-01-15,A,2637.0,0.0,11385,D,,,,,,
72741,2016-01-20,ES,CLOUD SANFORD JR,,0001127602-16-037430,2016-01-15,A,2637.0,0.0,38993,D,,,,,,
72741,2016-01-20,ES,CLEVELAND COTTON M,,0001127602-16-037429,2016-01-15,A,2637.0,0.0,58774,D,,,,,,
72741,2016-01-20,ES,CLARKESON JOHN S,,0001127602-16-037428,2016-01-15,A,2637.0,0.0,26913,D,,,,,,
72741,2016-02-01,ES,SCHWEIGER WERNER J,,0001127602-16-038739,2016-01-29,F,2484.0,52.15,146415,D,,,,,,
72741,2016-02-05,ES,SCHWEIGER WERNER J,,0001127602-16-039897,2016-02-03,A,11733.0,0.0,158148,D,,,,,,
72741,2016-02-05,ES,Olivier Leon J,,0001127602-16-039896,2016-02-03,A,17410.0,0.0,140868,D,,,,,,
72741,2016-02-05,ES,NOLAN JOSEPH R JR,,0001127602-16-039895,2016-02-03,A,6434.0,0.0,15666,D,,,,,,
72741,2016-02-05,ES,McHale David R,,0001127602-16-039894,2016-02-03,A,16527.0,0.0,118073,D,,,,,,
72741,2016-02-05,ES,MAY THOMAS J,,0001127602-16-039893,2016-02-03,A,65603.0,0.0,377844,D,,,,,,
72741,2016-02-05,ES,JUDGE JAMES J,,0001127602-16-039892,2016-02-03,A,16527.0,0.0,146843,D,,,,,,
72741,2016-02-05,ES,Carmody Christine M,,0001127602-16-039891,2016-02-03,A,5677.0,0.0,58039,D,,,,,,
72741,2016-02-05,ES,BUTLER GREGORY B,,0001127602-16-039890,2016-02-03,A,11481.0,0.0,69672,D,,,,,,
72741,2016-02-05,ES,BUTH JAY S.,,0001127602-16-039889,2016-02-03,A,2902.0,0.0,11217,D,,,,,,
72741,2016-02-23,ES,SCHWEIGER WERNER J,,0001127602-16-042986,2016-02-19,F,1006.0,53.51,168947,D,,,,,,
72741,2016-02-23,ES,SCHWEIGER WERNER J,,0001127602-16-042986,2016-02-22,F,4777.0,54.67,163084,D,,,,,,
