cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1711269,2018-06-06,EVRG,Humphrey Heather A,,0001127602-18-020262,2018-06-04,A,36613,0.0,36613,D,,,,,,
1711269,2018-06-06,EVRG,Caisley Charles A.,,0001127602-18-020258,2018-06-04,A,19890,0.0,19890,D,,,,,,
1711269,2018-06-06,EVRG,BUSSER STEVEN P,,0001127602-18-020253,2018-06-04,A,7180,0.0,7180,D,,,,,,
1711269,2018-06-06,EVRG,Bryant Kevin E.,,0001127602-18-020249,2018-06-04,A,29343,0.0,29343,D,,,,,,
1711269,2018-06-06,EVRG,BASSHAM TERRY D,,0001127602-18-020245,2018-06-04,A,184776,0.0,184776,D,,,,,,
1711269,2018-06-06,EVRG,SOMMA ANTHONY D,,0001127602-18-020239,2018-06-04,A,57445,0.0,57445,D,,,,,,
1711269,2018-06-06,EVRG,GREENWOOD GREG A,,0001127602-18-020235,2018-06-04,A,48005,0.0,48005,D,,,,,,
1711269,2018-06-06,EVRG,Banning Jerl L.,,0001127602-18-020231,2018-06-04,A,34473,0.0,34473,D,,,,,,
1711269,2018-06-06,EVRG,SODERSTROM S CARL JR,,0001127602-18-020227,2018-06-04,A,15472,,15472,D,,,,,,
1711269,2018-06-06,EVRG,RUELLE MARK A,,0001127602-18-020225,2018-06-04,A,193250,,193250,D,,,,,,
1711269,2018-06-06,EVRG,Lawrence Sandra AJ,,0001127602-18-020223,2018-06-04,A,472,,472,D,,,,,,
1711269,2018-06-06,EVRG,ISAAC B ANTHONY,,0001127602-18-020221,2018-06-04,A,30850,,30850,D,,,,,,
1711269,2018-06-06,EVRG,SHERMAN JOHN J,,0001127602-18-020214,2018-06-04,A,36845,,36845,D,,,,,,
1711269,2018-06-06,EVRG,HAWLEY RICHARD L,,0001127602-18-020212,2018-06-04,A,17171,,17171,D,,,,,,
1711269,2018-06-06,EVRG,CHANDLER CHARLES Q IV,,0001127602-18-020209,2018-06-04,A,5767,,5767,I,,,,,,
1711269,2018-06-06,EVRG,Murtlow Ann D.,,0001127602-18-020202,2018-06-04,A,3302,,3302,D,,,,,,
1711269,2018-06-06,EVRG,HYDE THOMAS D,,0001127602-18-020200,2018-06-04,A,2773,,2773,D,,,,,,
1711269,2018-06-06,EVRG,Grimes Scott D.,,0001127602-18-020198,2018-06-04,A,788,,788,D,,,,,,
1711269,2018-06-06,EVRG,Forsee Gary D,,0001127602-18-020196,2018-06-04,A,3333,,3333,D,,,,,,
1711269,2018-06-19,EVRG,SHERMAN JOHN J,,0001127602-18-021478,2018-06-15,A,737,0.0,37582,D,,,,,,
1711269,2018-06-19,EVRG,SODERSTROM S CARL JR,,0001127602-18-021458,2018-06-15,A,829,0.0,16301,D,,,,,,
1711269,2018-06-19,EVRG,RUELLE MARK A,,0001127602-18-021455,2018-06-15,A,506,0.0,193756,D,,,,,,
1711269,2018-06-19,EVRG,ISAAC B ANTHONY,,0001127602-18-021450,2018-06-15,A,829,0.0,31679,D,,,,,,
1711269,2018-06-19,EVRG,HAWLEY RICHARD L,,0001127602-18-021448,2018-06-15,A,829,0.0,18000,D,,,,,,
1711269,2018-06-22,EVRG,BASSHAM TERRY D,,0001127602-18-021783,2018-06-20,A,317,0.0,185093,D,,,,,,
1711269,2018-06-22,EVRG,Bryant Kevin E.,,0001127602-18-021784,2018-06-20,A,108,0.0,29451,D,,,,,,
1711269,2018-06-22,EVRG,Caisley Charles A.,,0001127602-18-021786,2018-06-20,A,31,0.0,19921,D,,,,,,
1711269,2018-06-22,EVRG,Humphrey Heather A,,0001127602-18-021788,2018-06-20,A,69,0.0,36682,D,,,,,,
1711269,2018-06-22,EVRG,BUSSER STEVEN P,,0001127602-18-021785,2018-06-20,A,34,0.0,7214,D,,,,,,
1711269,2018-08-16,EVRG,RUELLE MARK A,,0001127602-18-025605,2018-08-14,S,16488,57.75,177268,D,,,,,,
1711269,2018-08-16,EVRG,RUELLE MARK A,,0001127602-18-025605,2018-08-15,S,34758,57.5,141506,D,,,,,,
1711269,2018-08-16,EVRG,RUELLE MARK A,,0001127602-18-025605,2018-08-15,G,17425,0.0,124081,D,,,,,,
1711269,2018-08-22,EVRG,RUELLE MARK A,,0001127602-18-026016,2018-08-21,S,100,57.58,123981,D,,,,,,
1711269,2018-08-24,EVRG,HAWLEY RICHARD L,,0001127602-18-026229,2018-08-24,S,2100,57.26,15900,D,,,,,,
1711269,2018-09-06,EVRG,BUSSER STEVEN P,,0001127602-18-026950,2018-09-04,F,168,57.355,7046,D,,,,,,
1711269,2018-09-06,EVRG,Bryant Kevin E.,,0001127602-18-026945,2018-09-04,F,1245,57.355,28206,D,,,,,,
1711269,2018-09-17,EVRG,Banning Jerl L.,,0001127602-18-027797,2018-09-14,S,8770,57.7461,25704,D,,,,,,
1711269,2018-09-24,EVRG,BUSSER STEVEN P,,0001127602-18-028284,2018-09-20,F,1,55.71,7077,D,,,,,,
1711269,2018-09-24,EVRG,Bryant Kevin E.,,0001127602-18-028281,2018-09-20,F,10,55.71,28301,D,,,,,,
1711269,2018-10-26,EVRG,SOMMA ANTHONY D,,0001127602-18-031063,2018-10-25,S,255,56.7,57190,D,,,,,,
1711269,2018-10-26,EVRG,SOMMA ANTHONY D,,0001127602-18-031063,2018-10-26,S,400,57.13,56545,D,,,,,,
1711269,2018-11-15,EVRG,GREENWOOD GREG A,,0001127602-18-033223,2018-11-13,S,4815,59.391,43190,D,,,,,,
1711269,2018-11-16,EVRG,SOMMA ANTHONY D,,0001127602-18-033460,2018-11-15,S,45,59.35,56400,D,,,,,,
1711269,2018-11-16,EVRG,SOMMA ANTHONY D,,0001127602-18-033460,2018-11-16,S,500,60.0527,55445,D,,,,,,
1711269,2018-12-07,EVRG,BASSHAM TERRY D,,0001127602-18-035574,2018-08-24,G,8685,0.0,176408,D,,,,,,
1711269,2018-12-07,EVRG,BASSHAM TERRY D,,0001127602-18-035574,2018-12-04,S,340,59.9326,176376,D,,,,,,
1711269,2018-12-14,EVRG,SOMMA ANTHONY D,,0001127602-18-036303,2018-11-27,G,350,0.0,55095,D,,,,,,
1711269,2018-12-14,EVRG,SOMMA ANTHONY D,,0001127602-18-036303,2018-12-13,S,500,59.79,54595,D,,,,,,
1711269,2018-12-14,EVRG,SOMMA ANTHONY D,,0001127602-18-036303,2018-12-14,S,500,60.5464,54095,D,,,,,,
1711269,2019-01-04,EVRG,SODERSTROM S CARL JR,,0001127602-19-001412,2019-01-02,A,2290,0.0,18591,D,,,,,,
1711269,2019-01-04,EVRG,ISAAC B ANTHONY,,0001127602-19-001401,2019-01-02,A,2290,0.0,34473,D,,,,,,
1711269,2019-01-04,EVRG,SHERMAN JOHN J,,0001127602-19-001411,2019-01-02,A,2290,0.0,40193,D,,,,,,
1711269,2019-01-04,EVRG,Lawrence Sandra AJ,,0001127602-19-001403,2019-01-02,A,2290,0.0,2762,D,,,,,,
1711269,2019-01-04,EVRG,HAWLEY RICHARD L,,0001127602-19-001382,2019-01-02,A,2290,0.0,18190,D,,,,,,
1711269,2019-01-25,EVRG,SOMMA ANTHONY D,,0001127602-19-002757,2019-01-24,S,500,56.8641,53595,D,,,,,,
1711269,2019-01-25,EVRG,SOMMA ANTHONY D,,0001127602-19-002757,2019-01-25,S,500,57.0915,53095,D,,,,,,
1711269,2019-02-21,EVRG,SOMMA ANTHONY D,,0001127602-19-007580,2019-02-19,S,500,58.97,52595,D,,,,,,
1711269,2019-02-21,EVRG,SOMMA ANTHONY D,,0001127602-19-007580,2019-02-20,S,500,59.1109,52095,D,,,,,,
1711269,2019-02-28,EVRG,HAWLEY RICHARD L,,0001127602-19-008956,2019-02-26,P,500,55.6287,18690,D,,,,,,
1711269,2019-03-05,EVRG,BUSSER STEVEN P,,0001127602-19-010093,2019-03-01,F,435,55.4,9201,D,,,,,,
1711269,2019-03-05,EVRG,BUSSER STEVEN P,,0001127602-19-010093,2019-03-01,A,955,0.0,8060,D,,,,,,
1711269,2019-03-05,EVRG,SOMMA ANTHONY D,,0001127602-19-010123,2019-03-01,A,3225,0.0,55320,D,,,,,,
1711269,2019-03-05,EVRG,GREENWOOD GREG A,,0001127602-19-010120,2019-03-01,A,3387,0.0,46577,D,,,,,,
1711269,2019-03-05,EVRG,Humphrey Heather A,,0001127602-19-010110,2019-03-01,A,2733,0.0,39548,D,,,,,,
1711269,2019-03-05,EVRG,Humphrey Heather A,,0001127602-19-010110,2019-03-01,F,1023,55.4,42759,D,,,,,,
1711269,2019-03-05,EVRG,Bryant Kevin E.,,0001127602-19-010088,2019-03-01,A,3387,0.0,31770,D,,,,,,
1711269,2019-03-05,EVRG,Bryant Kevin E.,,0001127602-19-010088,2019-03-01,F,1039,55.4,35062,D,,,,,,
1711269,2019-03-05,EVRG,BASSHAM TERRY D,,0001127602-19-010086,2019-03-01,A,16501,0.0,182580,D,,,,,,
1711269,2019-03-05,EVRG,BASSHAM TERRY D,,0001127602-19-010086,2019-03-01,F,5081,55.4,196891,D,,,,,,
1711269,2019-03-05,EVRG,Banning Jerl L.,,0001127602-19-010082,2019-03-01,A,1185,0.0,27031,D,,,,,,
1711269,2019-03-05,EVRG,Caisley Charles A.,,0001127602-19-010097,2019-03-01,F,508,55.4,22569,D,,,,,,
1711269,2019-03-05,EVRG,Caisley Charles A.,,0001127602-19-010097,2019-03-01,A,1171,0.0,21151,D,,,,,,
1711269,2019-03-12,EVRG,SOMMA ANTHONY D,,0001127602-19-011069,2019-03-11,S,500,55.963,54820,D,,,,,,
1711269,2019-03-12,EVRG,SOMMA ANTHONY D,,0001127602-19-011069,2019-03-12,S,500,56.4513,54320,D,,,,,,
1711269,2019-03-15,EVRG,GREENWOOD GREG A,,0001127602-19-011585,2019-03-13,S,5000,57.0,39577,D,,,,,,
1711269,2019-03-15,EVRG,GREENWOOD GREG A,,0001127602-19-011585,2019-03-15,S,3000,57.75,36577,D,,,,,,
1711269,2019-03-15,EVRG,GREENWOOD GREG A,,0001127602-19-011585,2019-03-11,G,2000,0.0,44577,D,,,,,,
1711269,2019-03-15,EVRG,Caisley Charles A.,,0001127602-19-011581,2019-03-15,S,2632,57.571,19566,D,,,,,,
1711269,2019-04-03,EVRG,STALL JOHN A,,0001127602-19-014717,2019-04-01,A,2240,0.0,2240,D,,,,,,
1711269,2019-04-10,EVRG,SOMMA ANTHONY D,,0001127602-19-015181,2019-04-08,S,1000,57.1527,50095,D,,,,,,
1711269,2019-04-10,EVRG,SOMMA ANTHONY D,,0001127602-19-015181,2019-04-09,S,1000,57.05,49095,D,,,,,,
1711269,2019-05-03,EVRG,Humphrey Heather A,,0001127602-19-017354,2019-05-01,S,1000,57.366,38252,D,,,,,,
1711269,2019-05-16,EVRG,SODERSTROM S CARL JR,,0001127602-19-018809,2019-05-15,S,4000,58.3013,14591,D,,,,,,
1711269,2019-06-05,EVRG,Humphrey Heather A,,0001127602-19-020924,2019-06-03,S,1000,58.244,37252,D,,,,,,
1711269,2019-06-06,EVRG,Banning Jerl L.,,0001127602-19-021034,2019-06-04,F,1234,58.56,29162,D,,,,,,
1711269,2019-06-06,EVRG,SOMMA ANTHONY D,,0001127602-19-021038,2019-06-04,M,5522,,54257,D,,,,,,
1711269,2019-06-06,EVRG,SOMMA ANTHONY D,,0001127602-19-021038,2019-06-04,F,1621,58.56,52636,D,,,,,,
1711269,2019-06-06,EVRG,GREENWOOD GREG A,,0001127602-19-021036,2019-06-04,F,1801,58.56,37524,D,,,,,,
1711269,2019-06-06,EVRG,Banning Jerl L.,,0001127602-19-021034,2019-06-04,M,4203,,30396,D,,,,,,
1711269,2019-06-06,EVRG,GREENWOOD GREG A,,0001127602-19-021036,2019-06-05,G,1000,0.0,36524,D,,,,,,
1711269,2019-06-06,EVRG,GREENWOOD GREG A,,0001127602-19-021036,2019-06-05,S,5000,59.322,31524,D,,,,,,
1711269,2019-06-06,EVRG,SOMMA ANTHONY D,,0001127602-19-021038,2019-05-14,G,360,0.0,48735,D,,,,,,
1711269,2019-06-06,EVRG,GREENWOOD GREG A,,0001127602-19-021036,2019-06-04,M,6135,,39325,D,,,,,,
1711269,2019-08-14,EVRG,GREENWOOD GREG A,,0001127602-19-026637,2019-08-12,G,600,0.0,30926,D,,,,,,
1711269,2019-08-14,EVRG,GREENWOOD GREG A,,0001127602-19-026637,2019-08-12,S,6000,63.233,24926,D,,,,,,
1711269,2019-08-21,EVRG,Bryant Kevin E.,,0001127602-19-027195,2019-08-19,S,4000,65.1796,26980,D,,,,,,
1711269,2019-09-05,EVRG,BUSSER STEVEN P,,0001127602-19-028017,2019-09-03,F,170,65.22,7766,D,,,,,,
1711269,2019-09-24,EVRG,BUSSER STEVEN P,,0001127602-19-029047,2019-09-20,F,1,65.72,7784,D,,,,,,
1711269,2019-10-03,EVRG,Humphrey Heather A,,0001127602-19-030049,2019-10-01,S,1000,66.2029,36337,D,,,,,,
1711269,2019-11-19,EVRG,SOMMA ANTHONY D,,0001127602-19-033275,2019-11-18,S,2000,64.96,50636,D,,,,,,
1711269,2019-11-19,EVRG,Bryant Kevin E.,,0001127602-19-033269,2019-11-15,S,4000,64.56,23532,D,,,,,,
1711269,2019-11-22,EVRG,GREENWOOD GREG A,,0001127602-19-033601,2019-11-20,G,500,0.0,24426,D,,,,,,
1711269,2019-11-22,EVRG,GREENWOOD GREG A,,0001127602-19-033601,2019-11-20,S,5000,64.75,19426,D,,,,,,
1711269,2019-12-04,EVRG,Humphrey Heather A,,0001127602-19-034272,2019-12-02,S,1000,62.8234,35337,D,,,,,,
1711269,2020-01-06,EVRG,STALL JOHN A,,0001127602-20-001237,2020-01-02,A,1998,0.0,4290,D,,,,,,
1711269,2020-01-06,EVRG,SODERSTROM S CARL JR,,0001127602-20-001233,2020-01-02,A,1998,0.0,16589,D,,,,,,
1711269,2020-01-06,EVRG,SHERMAN JOHN J,,0001127602-20-001232,2020-01-02,A,1998,0.0,42191,D,,,,,,
1711269,2020-01-06,EVRG,Lawrence Sandra AJ,,0001127602-20-001215,2020-01-02,A,1998,0.0,4760,D,,,,,,
1711269,2020-01-06,EVRG,ISAAC B ANTHONY,,0001127602-20-001209,2020-01-02,A,1998,0.0,37535,D,,,,,,
1711269,2020-01-06,EVRG,HAWLEY RICHARD L,,0001127602-20-001182,2020-01-02,A,1998,0.0,20713,D,,,,,,
1711269,2020-02-20,EVRG,Bryant Kevin E.,,0001127602-20-006726,2020-02-18,S,4000,72.61,19593,D,,,,,,
