cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
746515,2016-03-01,EXPD,ALGER EUGENE K,,0001127602-16-044137,2016-02-29,M,10000.0,43.88,22033.3248,D,,,,,,
746515,2016-03-01,EXPD,ALGER EUGENE K,,0001127602-16-044137,2016-02-29,S,10000.0,46.08,12033.3248,D,,,,,,
746515,2016-03-08,EXPD,Wall Daniel R,,0001127602-16-045418,2016-03-04,M,8000.0,43.88,48093.6138,D,,,,,,
746515,2016-03-08,EXPD,Wall Daniel R,,0001127602-16-045418,2016-03-04,S,8000.0,47.17,40093.6138,D,,,,,,
746515,2016-03-09,EXPD,COUGHLIN PHILIP M,,0001127602-16-045652,2016-03-07,M,10000.0,43.88,81487.7096,D,,,,,,
746515,2016-03-09,EXPD,COUGHLIN PHILIP M,,0001127602-16-045652,2016-03-07,S,9513.0,47.25,71974.7096,D,,,,,,
746515,2016-03-10,EXPD,Musser Jeffrey S,,0001127602-16-045982,2016-03-08,M,10000.0,43.88,14650.6904,D,,,,,,
746515,2016-03-10,EXPD,Musser Jeffrey S,,0001127602-16-045982,2016-03-08,S,9460.0,47.42,5190.6904,D,,,,,,
746515,2016-04-25,EXPD,McClincy Christopher J.,,0001127602-16-049799,2016-04-22,M,6000.0,43.88,15363.6721,D,,,,,,
746515,2016-04-28,EXPD,MEISENBACH JOHN W,,0001127602-16-050153,2016-04-27,M,32000.0,44.65,140328.0,D,,,,,,
746515,2016-05-24,EXPD,Emmert Mark A,,0001127602-16-053179,2016-05-20,A,4129.0,0.0,19978.0,D,,,,,,
746515,2016-05-24,EXPD,Gulyas Diane H.,,0001127602-16-053181,2016-05-23,G,4129.0,0.0,0.0,D,,,,,,
746515,2016-05-24,EXPD,MALONE MICHAEL J,,0001127602-16-053187,2016-05-20,A,4129.0,0.0,135432.0,D,,,,,,
746515,2016-05-24,EXPD,Gulyas Diane H.,,0001127602-16-053181,2016-05-20,A,4129.0,0.0,4129.0,D,,,,,,
746515,2016-05-24,EXPD,KOURKOUMELIS DAN,,0001127602-16-053184,2016-05-20,A,4129.0,0.0,55959.0,D,,,,,,
746515,2016-05-24,EXPD,DuBois James M.,,0001127602-16-053177,2016-05-20,A,4129.0,0.0,4129.0,D,,,,,,
746515,2016-05-24,EXPD,PELLETIER LIANE J,,0001127602-16-053197,2016-05-20,A,4129.0,0.0,17870.0,D,,,,,,
746515,2016-05-24,EXPD,WANG JAMES L K,,0001127602-16-053200,2016-05-20,A,4129.0,0.0,516375.0,D,,,,,,
746515,2016-05-24,EXPD,Wright Robert R,,0001127602-16-053202,2016-05-20,A,4129.0,0.0,33051.0,D,,,,,,
746515,2016-05-24,EXPD,Yoshitani Tay,,0001127602-16-053205,2016-05-20,A,4129.0,0.0,17870.0,D,,,,,,
746515,2016-05-24,EXPD,McCune Richard B.,,0001127602-16-053206,2016-05-20,A,4129.0,0.0,8360.0,D,,,,,,
746515,2016-05-27,EXPD,Wall Daniel R,,0001127602-16-053653,2016-05-26,S,10000.0,48.97,30093.6138,D,,,,,,
