cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1324424,2016-02-16,EXPE,Dzielak Robert J,,0001225208-16-026646,2016-02-15,M,2898.0,0.0,11437.0,D,,,,,,
1324424,2016-02-16,EXPE,Dzielak Robert J,,0001225208-16-026646,2016-02-15,F,813.0,102.25,10624.0,D,,,,,,
1324424,2016-02-19,EXPE,Dzielak Robert J,,0001225208-16-027155,2016-02-17,M,12500.0,41.14,23124.0,D,,,,,,
1324424,2016-02-19,EXPE,Dzielak Robert J,,0001225208-16-027155,2016-02-17,S,22302.0,111.0531,12437.0,D,,,,,,
1324424,2016-02-19,EXPE,Dzielak Robert J,,0001225208-16-027155,2016-02-18,M,5652.0,65.75,18089.0,D,,,,,,
1324424,2016-02-19,EXPE,Dzielak Robert J,,0001225208-16-027155,2016-02-18,S,5307.0,111.0,12782.0,D,,,,,,
1324424,2022-03-30,EXPE,KHOSROWSHAHI DARA,,0001225208-22-005245,2022-03-29,S,5000.0,200.0,282112.0,D,,,,,,
1324424,2022-04-04,EXPE,KHOSROWSHAHI DARA,,0001225208-22-005444,2022-04-01,S,2043.0,198.6057,280069.0,D,,,,,,
1324424,2022-04-05,EXPE,Menendez-Cambo Patricia,,0001225208-22-005548,2022-04-05,M,474.0,0.0,474.0,D,,,,,,
1324424,2022-05-03,EXPE,KHOSROWSHAHI DARA,,0001225208-22-006381,2022-05-02,S,200.0,177.25,261912.0,D,,,,,,
1324424,2022-05-17,EXPE,Soliday Lance A,,0001225208-22-007125,2022-05-16,S,376.0,124.1164,8949.0,D,,,,,,
1324424,2022-05-17,EXPE,Soliday Lance A,,0001225208-22-007125,2022-05-15,F,210.0,131.78,9325.0,D,,,,,,
1324424,2022-05-17,EXPE,Dzielak Robert J,,0001225208-22-007129,2022-05-15,M,1142.0,0.0,64413.0,D,,,,,,
