cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1289490,2016-01-07,EXR,Kirk Spencer,,0001179110-16-017486,2016-01-04,S,20000,87.4949,2312276,I,,,,,,
1289490,2016-02-01,EXR,Kirk Spencer,,0001179110-16-018221,2016-02-01,S,20000,90.159,2292276,I,,,,,,
1289490,2016-02-23,EXR,Sondhi Samrat,,0001179110-16-019968,2016-02-22,A,3460,0.0,59099,D,,,,,,
1289490,2016-02-23,EXR,OVERTURF JAMES,,0001179110-16-019966,2016-02-22,A,3810,0.0,93357,D,,,,,,
1289490,2016-02-23,EXR,McNeal Gwyn Goodson,,0001179110-16-019965,2016-02-22,A,3460,0.0,14984,D,,,,,,
1289490,2016-02-23,EXR,Margolis Joseph D,,0001179110-16-019963,2016-02-22,A,7910,0.0,94260,D,,,,,,
1289490,2016-02-23,EXR,Stubbs P Scott,,0001179110-16-019962,2016-02-22,A,7045,0.0,129855,D,,,,,,
1289490,2016-02-23,EXR,Woolley Kenneth M.,,0001179110-16-019961,2016-02-22,A,6675,0.0,844314,D,,,,,,
1289490,2016-02-23,EXR,Kirk Spencer,,0001179110-16-019959,2016-02-22,A,14830,0.0,734430,D,,,,,,
1289490,2016-03-01,EXR,Kirk Spencer,,0001179110-16-020588,2016-03-01,S,20000,83.6035,2272276,I,,,,,,
1289490,2016-03-10,EXR,Haas Karl,,0001179110-16-021513,2016-03-10,S,22486,84.9228,87793,D,,,,,,
1289490,2016-04-04,EXR,KUNDE GRACE,,0001179110-16-022671,2016-04-01,A,1035,93.51,8708,D,,,,,,
1289490,2016-04-04,EXR,Kirk Spencer,,0001179110-16-022670,2016-04-01,S,20000,93.3939,2252276,I,,,,,,
1289490,2016-04-04,EXR,SKOUSEN K FRED,,0001179110-16-022669,2016-03-17,G,1000,91.27,34400,D,,,,,,
1289490,2016-05-03,EXR,Kirk Spencer,,0001179110-16-023658,2016-05-02,S,20000,86.0572,2232276,I,,,,,,
1289490,2016-05-05,EXR,KUNDE GRACE,,0001179110-16-023874,2016-05-04,S,1700,89.4728,7008,D,,,,,,
1289490,2016-05-06,EXR,OVERTURF JAMES,,0001179110-16-024078,2016-05-05,M,2500,19.6,95857,D,,,,,,
1289490,2016-05-11,EXR,McNeal Gwyn Goodson,,0001179110-16-024332,2016-05-10,S,500,93.5,14484,D,,,,,,
1289490,2016-05-11,EXR,Sondhi Samrat,,0001179110-16-024331,2016-05-10,M,9250,6.22,68349,D,,,,,,
1289490,2016-05-11,EXR,Sondhi Samrat,,0001179110-16-024331,2016-05-10,S,5000,93.4001,63349,D,,,,,,
1289490,2016-05-16,EXR,Stubbs P Scott,,0001179110-16-024769,2016-05-12,S,6250,93.3113,129855,D,,,,,,
1289490,2016-05-16,EXR,Stubbs P Scott,,0001179110-16-024769,2016-05-12,M,6250,16.83,136105,D,,,,,,
1289490,2016-05-25,EXR,Olmstead Diane,,0001179110-16-025530,2016-05-24,A,1088,91.97,3933,D,,,,,,
1289490,2016-05-25,EXR,PORTER ROGER B,,0001179110-16-025529,2016-05-24,A,1088,91.97,123827,D,,,,,,
1289490,2016-05-25,EXR,SKOUSEN K FRED,,0001179110-16-025528,2016-05-24,A,1088,91.97,35488,D,,,,,,
1289490,2016-05-25,EXR,Haas Karl,,0001179110-16-025527,2016-05-24,A,1088,91.97,88881,D,,,,,,
1289490,2016-05-25,EXR,LETHAM DENNIS J,,0001179110-16-025526,2016-05-24,A,1088,91.97,1088,D,,,,,,
1289490,2016-06-02,EXR,Kirk Spencer,,0001179110-16-025888,2016-06-01,S,20000,93.0015,2212276,I,,,,,,
1289490,2016-07-01,EXR,Kirk Spencer,,0001179110-16-027254,2016-07-01,S,20000,91.5899,2192276,I,,,,,,
