cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
815556,2016-02-05,FAST,Singh Ashok,,0001179110-16-018708,2016-02-04,M,20000,22.5,20000,D,,,,,,
815556,2016-02-05,FAST,Singh Ashok,,0001179110-16-018708,2016-02-04,S,20000,42.5,0,D,,,,,,
815556,2016-02-05,FAST,Polipnick Gary A.,,0001179110-16-018660,2016-02-04,M,10000,22.5,69324,D,,,,,,
815556,2016-02-05,FAST,Polipnick Gary A.,,0001179110-16-018660,2016-02-04,S,10000,43.54,59324,D,,,,,,
815556,2016-02-05,FAST,Soderberg John Lewis,,0001179110-16-018659,2016-02-04,M,35000,22.5,35000,D,,,,,,
815556,2016-02-05,FAST,Soderberg John Lewis,,0001179110-16-018659,2016-02-04,S,35000,43.1143,0,D,,,,,,
815556,2016-02-09,FAST,Jansen James C,,0001179110-16-018854,2016-02-08,M,12500,22.5,25088,D,,,,,,
815556,2016-02-09,FAST,Jansen James C,,0001179110-16-018854,2016-02-08,S,12500,44.0014,12588,D,,,,,,
815556,2016-02-09,FAST,FLORNESS DANIEL L,,0001179110-16-018852,2016-02-05,M,60000,22.5,101845,D,,,,,,
815556,2016-02-09,FAST,FLORNESS DANIEL L,,0001179110-16-018852,2016-02-05,S,60000,43.166,41845,D,,,,,,
815556,2016-02-09,FAST,FLORNESS DANIEL L,,0001179110-16-018852,2016-02-09,M,30000,43.51,71845,D,,,,,,
815556,2016-02-10,FAST,Lisowski Sheryl Ann,,0001179110-16-018915,2016-02-09,S,10000,43.3914,300,D,,,,,,
815556,2016-02-10,FAST,Lisowski Sheryl Ann,,0001179110-16-018915,2016-02-09,M,10000,22.5,10300,D,,,,,,
815556,2016-02-12,FAST,SATTERLEE SCOTT,,0001179110-16-019137,2016-02-08,P,700,44.04,10700,D,,,,,,
815556,2016-02-18,FAST,Owen Terry Modock,,0001179110-16-019572,2016-02-16,M,10000,22.5,10000,D,,,,,,
815556,2016-02-18,FAST,Owen Terry Modock,,0001179110-16-019572,2016-02-16,S,10000,43.5859,0,D,,,,,,
815556,2016-02-22,FAST,Lisowski Sheryl Ann,,0001179110-16-019720,2016-02-18,M,5000,22.5,8000,D,,,,,,
815556,2016-02-22,FAST,Lisowski Sheryl Ann,,0001179110-16-019720,2016-02-18,S,5000,44.956,300,D,,,,,,
815556,2016-03-01,FAST,FLORNESS DANIEL L,,0001179110-16-020527,2016-02-26,M,80000,22.5,151845,D,,,,,,
815556,2016-03-01,FAST,FLORNESS DANIEL L,,0001179110-16-020527,2016-02-26,S,80000,45.1749,71845,D,,,,,,
815556,2016-03-01,FAST,FLORNESS DANIEL L,,0001179110-16-020527,2016-02-29,M,30000,22.5,101845,D,,,,,,
815556,2016-03-03,FAST,Lisowski Sheryl Ann,,0001179110-16-020848,2016-03-02,S,5000,46.6871,300,D,,,,,,
815556,2016-03-03,FAST,Jansen James C,,0001179110-16-020843,2016-03-01,M,25000,22.5,37588,D,,,,,,
815556,2016-03-03,FAST,Jansen James C,,0001179110-16-020843,2016-03-01,S,25000,46.5,12588,D,,,,,,
815556,2016-03-03,FAST,Lisowski Sheryl Ann,,0001179110-16-020848,2016-03-02,M,5000,22.5,5300,D,,,,,,
815556,2016-04-21,FAST,Hein LeLand J,,0001179110-16-023274,2016-04-20,G,1100,0.0,11290,D,,,,,,
815556,2016-09-13,FAST,Ancius Michael J,,0001179110-16-029589,2016-09-09,P,600,41.0,10050,D,,,,,,
815556,2016-10-17,FAST,Ancius Michael J,,0001179110-16-030728,2016-10-13,P,700,38.82,10750,D,,,,,,
815556,2016-11-28,FAST,Hein LeLand J,,0001179110-16-032121,2016-11-23,S,1000,46.15,7074,I,,,,,,
815556,2016-12-01,FAST,Hein LeLand J,,0001179110-16-032267,2016-11-30,S,2000,47.4,5074,I,,,,,,
815556,2016-12-13,FAST,WISECUP REYNE K,,0001179110-16-032895,2016-12-12,M,50000,35.0,60000,D,,,,,,
815556,2016-12-13,FAST,WISECUP REYNE K,,0001179110-16-032895,2016-12-12,S,50000,48.9797,10000,D,,,,,,
815556,2017-01-05,FAST,FLORNESS DANIEL L,,0001179110-17-000492,2016-12-20,G,4000,0.0,97845,D,,,,,,
815556,2017-03-01,FAST,OBERTON WILLARD D,,0001179110-17-003528,2017-02-27,S,4162,50.18,378454,D,,,,,,
815556,2017-04-18,FAST,Johnson Daniel L.,,0001179110-17-006034,2017-04-17,P,350,45.6667,850,D,,,,,,
815556,2017-04-25,FAST,Eastman Stephen L.,,0001179110-17-006185,2017-04-24,P,350,45.2757,1000,D,,,,,,
815556,2017-05-01,FAST,JACKSON DARREN R,,0001179110-17-006300,2017-04-28,P,5000,44.7473,15000,D,,,,,,
815556,2017-05-17,FAST,Miller Charles S.,,0001179110-17-007422,2017-05-16,I,5347,43.9,5589,I,,,,,,
815556,2017-05-23,FAST,Soderberg John Lewis,,0001179110-17-007808,2017-05-19,I,414,43.34,5308,I,,,,,,
815556,2017-05-23,FAST,Soderberg John Lewis,,0001179110-17-007808,2017-05-18,I,67,42.61,4894,I,,,,,,
815556,2017-05-26,FAST,Lewis Holden,,0001179110-17-008133,2017-05-25,P,1000,43.76,1000,D,,,,,,
815556,2017-07-18,FAST,Lewis Holden,,0001179110-17-010409,2017-07-17,P,1000,42.5069,2000,D,,,,,,
815556,2017-07-21,FAST,Drazkowski William Joseph,,0001179110-17-010606,2017-07-21,P,1000,42.359,1960,D,,,,,,
