cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
831259,2016-01-05,FCX,MATHER COURTNEY,isDirector,0001246360-16-004073,2016-01-01,A,3231,6.77,18431,D,,,,,,
831259,2016-01-05,FCX,LANGHAM ANDREW,isDirector,0001246360-16-004072,2016-01-01,A,1707,6.77,16907,D,,,,,,
831259,2016-01-05,FCX,FORD GERALD J,isDirector,0001246360-16-004070,2016-01-01,A,5631,6.77,230571,D,,,,,,
831259,2016-02-04,FCX,WHITMIRE C DONALD JR,isOfficer,0001246360-16-004364,2016-02-02,A,5500,0.0,76401,D,,,,,,
831259,2016-02-17,FCX,QUIRK KATHLEEN L,isOfficer,0001246360-16-004594,2016-02-15,D,20000,0.0,424563,D,,,,,,
831259,2016-02-17,FCX,QUIRK KATHLEEN L,isOfficer,0001246360-16-004594,2016-02-15,F,25475,5.53,399088,D,,,,,,
831259,2016-02-17,FCX,Conger Harry M. IV,isOfficer,0001246360-16-004593,2016-02-15,F,11748,5.53,41107,D,,,,,,
831259,2016-02-17,FCX,ARNOLD MICHAEL J,isOfficer,0001246360-16-004592,2016-02-15,D,10000,0.0,292551,D,,,,,,
831259,2016-02-17,FCX,WHITMIRE C DONALD JR,isOfficer,0001246360-16-004591,2016-02-15,F,5125,5.53,71276,D,,,,,,
831259,2016-02-17,FCX,ADKERSON RICHARD C,,0001209191-16-099408,2016-02-15,D,60000,0.0,1991467,D,,,,,,
831259,2016-02-17,FCX,ADKERSON RICHARD C,,0001209191-16-099408,2016-02-15,F,85175,5.53,1906292,D,,,,,,
831259,2016-02-25,FCX,WHITMIRE C DONALD JR,isOfficer,0001246360-16-004724,2016-02-24,G,3000,0.0,53276,D,,,,,,
831259,2016-04-04,FCX,LANGHAM ANDREW,isDirector,0001246360-16-005403,2016-04-01,A,1118,10.34,18025,D,,,,,,
831259,2016-04-04,FCX,MATHER COURTNEY,isDirector,0001246360-16-005402,2016-04-01,A,2115,10.34,20546,D,,,,,,
831259,2016-04-04,FCX,FORD GERALD J,isDirector,0001246360-16-005401,2016-04-01,A,3687,10.34,234258,D,,,,,,
831259,2016-04-04,FCX,FLORES JAMES C,,0001209191-16-112433,2016-03-31,F,7661,10.29,4325273,D,,,,,,
831259,2016-04-04,FCX,FLORES JAMES C,,0001209191-16-112433,2016-03-31,D,42906,10.086,4332934,D,,,,,,
831259,2016-04-04,FCX,FLORES JAMES C,,0001209191-16-112433,2016-03-31,M,42906,,4375840,D,,,,,,
831259,2016-06-03,FCX,TOWNSEND FRANCES F,isDirector,0001246360-16-006079,2016-06-01,A,16000,0.0,42670,D,,,,,,
831259,2016-06-03,FCX,LANGHAM ANDREW,isDirector,0001246360-16-006078,2016-06-01,A,16000,0.0,34025,D,,,,,,
831259,2016-06-03,FCX,MCCOY DUSTAN E,isDirector,0001246360-16-006077,2016-06-01,A,16000,0.0,68400,D,,,,,,
831259,2016-06-03,FCX,MATHER COURTNEY,isDirector,0001246360-16-006076,2016-06-01,A,16000,0.0,36546,D,,,,,,
831259,2016-06-03,FCX,FORD GERALD J,isDirector,0001246360-16-006075,2016-06-01,A,16000,0.0,250258,D,,,,,,
831259,2016-06-03,FCX,KENNARD LYDIA H,isDirector,0001246360-16-006074,2016-06-01,A,16000,0.0,41600,D,,,,,,
831259,2016-06-03,FCX,MADONNA JON C/,isDirector,0001246360-16-006080,2016-06-01,A,16000,0.0,75080,D,,,,,,
831259,2016-07-06,FCX,LANGHAM ANDREW,isDirector,0001246360-16-006286,2016-07-01,A,1037,11.14,35062,D,,,,,,
831259,2016-07-06,FCX,FORD GERALD J,isDirector,0001246360-16-006285,2016-07-01,A,3422,11.14,253680,D,,,,,,
831259,2016-07-06,FCX,MATHER COURTNEY,isDirector,0001246360-16-006287,2016-07-01,A,1963,11.14,38509,D,,,,,,
831259,2016-10-04,FCX,LANGHAM ANDREW,isDirector,0001246360-16-006916,2016-10-01,A,1064,10.86,36126,D,,,,,,
831259,2016-10-04,FCX,FORD GERALD J,isDirector,0001246360-16-006915,2016-10-01,A,3510,10.86,257190,D,,,,,,
831259,2016-10-04,FCX,MATHER COURTNEY,isDirector,0001246360-16-006914,2016-10-01,A,2014,10.86,40523,D,,,,,,
831259,2016-10-28,FCX,MATHER COURTNEY,isDirector,0001246360-16-007019,2016-10-27,P,25000,10.68,65523,D,,,,,,
831259,2017-01-03,FCX,LANGHAM ANDREW,isDirector,0001246360-17-000048,2017-01-01,A,876,13.19,37002,D,,,,,,
831259,2017-01-03,FCX,MATHER COURTNEY,isDirector,0001246360-17-000047,2017-01-01,A,1658,13.19,192181,D,,,,,,
831259,2017-01-03,FCX,FORD GERALD J,isDirector,0001246360-17-000046,2017-01-01,A,2890,13.19,260080,D,,,,,,
831259,2017-02-02,FCX,MADONNA JON C/,isDirector,0001246360-17-000415,2017-02-01,S,14000,16.607,61080,D,,,,,,
