cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1013237,2016-01-06,FDS,LAIRD JOSEPH E JR,,0001437749-16-023228,2016-01-04,M,3815.0,42.09,3815.0,D,,,,,,
1013237,2016-01-12,FDS,LAIRD JOSEPH E JR,,0001437749-16-023501,2016-01-08,M,1500.0,42.09,5315.0,D,,,,,,
1013237,2016-01-12,FDS,LAIRD JOSEPH E JR,,0001437749-16-023501,2016-01-08,S,1415.0,152.06,8400.0,D,,,,,,
1013237,2016-01-13,FDS,MCGONIGLE JAMES J,,0001437749-16-023588,2016-01-11,M,5315.0,42.09,16834.0,D,,,,,,
1013237,2016-01-13,FDS,MCGONIGLE JAMES J,,0001437749-16-023588,2016-01-11,S,1483.0,151.07,19851.0,D,,,,,,
1013237,2016-01-13,FDS,BILLEADEAU SCOTT A,,0001437749-16-023586,2016-01-11,M,5315.0,42.09,5365.0,D,,,,,,
1013237,2016-01-13,FDS,BILLEADEAU SCOTT A,,0001437749-16-023586,2016-01-11,S,5000.0,151.07,365.0,D,,,,,,
1013237,2016-01-15,FDS,SIEBECKER WALTER F,,0001437749-16-023719,2016-01-13,S,1611.0,147.15,39354.0,D,,,,,,
1013237,2016-01-15,FDS,SIEBECKER WALTER F,,0001437749-16-023719,2016-01-13,M,1611.0,91.06,27439.0,D,,,,,,
1013237,2016-01-19,FDS,LAIRD JOSEPH E JR,,0001437749-16-023797,2016-01-14,S,1000.0,147.5,7000.0,D,,,,,,
1013237,2016-04-14,FDS,LAIRD JOSEPH E JR,,0001437749-16-029521,2016-04-13,S,1000.0,150.0,6000.0,D,,,,,,
1013237,2016-04-14,FDS,LAIRD JOSEPH E JR,,0001437749-16-029521,2016-04-14,S,1000.0,153.0,4500.0,D,,,,,,
1013237,2016-04-14,FDS,Nicolelli Maurizio,,0001437749-16-029520,2016-04-13,M,367.0,66.46,4046.0,D,,,,,,
1013237,2016-04-14,FDS,Nicolelli Maurizio,,0001437749-16-029520,2016-04-13,S,367.0,150.53,3679.0,D,,,,,,
1013237,2016-04-14,FDS,Hale Mark J.,,0001437749-16-029518,2016-04-13,S,1823.0,150.05,4969.0,D,,,,,,
1013237,2016-04-15,FDS,Stern Rachel Rebecca,,0001437749-16-029562,2016-04-14,S,4583.0,153.37,1721.0,D,,,,,,
1013237,2016-04-15,FDS,Stern Rachel Rebecca,,0001437749-16-029562,2016-04-14,M,4583.0,66.46,6304.0,D,,,,,,
1013237,2016-04-15,FDS,McNulty Matthew J,,0001437749-16-029564,2016-04-15,S,1000.0,154.0,2016.0,D,,,,,,
1013237,2016-04-15,FDS,McNulty Matthew J,,0001437749-16-029564,2016-04-15,M,1000.0,66.46,3016.0,D,,,,,,
1013237,2016-07-06,FDS,LAIRD JOSEPH E JR,,0001437749-16-034962,2016-07-01,S,1000.0,161.0,3500.0,D,,,,,,
1013237,2016-07-13,FDS,McNulty Matthew J,,0001437749-16-035206,2016-07-12,M,1000.0,66.46,3016.0,D,,,,,,
1013237,2016-07-13,FDS,McNulty Matthew J,,0001437749-16-035206,2016-07-12,S,1000.0,164.63,2016.0,D,,,,,,
1013237,2016-07-13,FDS,LAIRD JOSEPH E JR,,0001437749-16-035205,2016-07-12,S,1000.0,165.0,2500.0,D,,,,,,
1013237,2016-07-18,FDS,McNulty Matthew J,,0001437749-16-035323,2016-07-15,M,1000.0,66.46,3016.0,D,,,,,,
1013237,2016-07-18,FDS,McNulty Matthew J,,0001437749-16-035323,2016-07-15,S,1000.0,167.5,2016.0,D,,,,,,
1013237,2016-10-07,FDS,HADLEY PHILIP A,,0001437749-16-039603,2016-10-05,M,33333.0,66.46,819931.0,D,,,,,,
1013237,2016-10-07,FDS,Snow Frederick Philip,,0001437749-16-039602,2016-10-05,M,6250.0,66.46,10551.0,D,,,,,,
1013237,2016-10-07,FDS,Snow Frederick Philip,,0001437749-16-039602,2016-10-05,S,6250.0,158.22,4301.0,D,,,,,,
1013237,2016-10-12,FDS,Stern Rachel Rebecca,,0001437749-16-039758,2016-10-10,S,1065.0,158.79,978.0,D,,,,,,
1013237,2016-10-20,FDS,McNulty Matthew J,,0001437749-16-040019,2016-10-18,M,33.0,66.46,2049.0,D,,,,,,
1013237,2016-10-20,FDS,McNulty Matthew J,,0001437749-16-040019,2016-10-18,F,21.0,155.29,2028.0,D,,,,,,
1013237,2016-11-03,FDS,Hale Mark J.,,0001437749-16-041026,2016-11-01,F,705.0,152.28,4417.0,D,,,,,,
1013237,2016-11-03,FDS,Nicolelli Maurizio,,0001437749-16-041028,2016-11-01,F,543.0,152.28,3306.0,D,,,,,,
1013237,2016-11-03,FDS,Stern Rachel Rebecca,,0001437749-16-041030,2016-11-01,F,217.0,152.28,761.0,D,,,,,,
1013237,2016-11-03,FDS,Snow Frederick Philip,,0001437749-16-041025,2016-11-01,F,521.0,152.28,3780.0,D,,,,,,
1013237,2016-11-03,FDS,HADLEY PHILIP A,,0001437749-16-041033,2016-11-03,F,1914.0,152.93,816436.0,D,,,,,,
1013237,2016-11-03,FDS,HADLEY PHILIP A,,0001437749-16-041033,2016-11-01,F,1581.0,152.28,818350.0,D,,,,,,
1013237,2016-11-03,FDS,McNulty Matthew J,,0001437749-16-041031,2016-11-01,F,181.0,152.28,1847.0,D,,,,,,
1013237,2016-12-30,FDS,HADLEY PHILIP A,,0001437749-16-043968,2016-12-28,G,5000.0,164.15,811436.0,D,,,,,,
1013237,2017-01-05,FDS,MCGONIGLE JAMES J,,0001437749-17-000256,2017-01-04,M,3085.0,66.81,21680.0,D,,,,,,
1013237,2017-01-05,FDS,MCGONIGLE JAMES J,,0001437749-17-000256,2017-01-04,S,1243.0,165.92,24937.0,D,,,,,,
1013237,2017-01-05,FDS,LAIRD JOSEPH E JR,,0001437749-17-000255,2017-01-03,M,3085.0,66.81,5585.0,D,,,,,,
1013237,2017-01-05,FDS,BILLEADEAU SCOTT A,,0001437749-17-000254,2017-01-03,M,3085.0,66.81,3450.0,D,,,,,,
1013237,2017-01-05,FDS,BILLEADEAU SCOTT A,,0001437749-17-000254,2017-01-03,S,1250.0,165.0,6700.0,D,,,,,,
1013237,2017-01-10,FDS,LAIRD JOSEPH E JR,,0001437749-17-000447,2017-01-10,M,4500.0,58.78,7000.0,D,,,,,,
1013237,2017-01-10,FDS,LAIRD JOSEPH E JR,,0001437749-17-000447,2017-01-06,S,3085.0,170.0,2500.0,D,,,,,,
1013237,2017-01-11,FDS,MCGONIGLE JAMES J,,0001437749-17-000544,2017-01-09,S,3000.0,170.2,20335.0,D,,,,,,
1013237,2017-01-13,FDS,Nicolelli Maurizio,,0001437749-17-000654,2017-01-12,M,11765.0,88.4,15071.0,D,,,,,,
1013237,2017-01-13,FDS,Nicolelli Maurizio,,0001437749-17-000654,2017-01-12,S,11765.0,167.75,11970.0,D,,,,,,
1013237,2017-01-30,FDS,LAIRD JOSEPH E JR,,0001437749-17-001332,2017-01-26,M,2146.0,91.06,9146.0,D,,,,,,
1013237,2017-02-01,FDS,LAIRD JOSEPH E JR,,0001437749-17-001465,2017-01-31,S,2146.0,171.89,7000.0,D,,,,,,
1013237,2017-02-08,FDS,LAIRD JOSEPH E JR,,0001437749-17-001925,2017-02-06,M,2419.0,95.05,9419.0,D,,,,,,
1013237,2017-02-14,FDS,LAIRD JOSEPH E JR,,0001437749-17-002449,2017-02-10,S,3407.0,177.41,7455.0,D,,,,,,
1013237,2017-02-14,FDS,LAIRD JOSEPH E JR,,0001437749-17-002450,2017-02-10,S,3407.0,177.41,7455.0,D,,,,,,
1013237,2017-02-17,FDS,LAIRD JOSEPH E JR,,0001437749-17-002781,2017-02-15,M,923.0,138.48,8378.0,D,,,,,,
1013237,2017-04-17,FDS,LAIRD JOSEPH E JR,,0001437749-17-006679,2017-04-17,S,1000.0,160.0,10000.0,D,,,,,,
1013237,2017-06-13,FDS,LAIRD JOSEPH E JR,,0001437749-17-011215,2017-06-13,S,1000.0,166.0,9000.0,D,,,,,,
1013237,2017-06-22,FDS,Miller Scott G.,,0001437749-17-011712,2017-06-21,M,15045.0,139.02,15045.0,D,,,,,,
1013237,2017-06-22,FDS,Miller Scott G.,,0001437749-17-011712,2017-06-21,S,15045.0,165.78,2029.0,D,,,,,,
1013237,2017-07-03,FDS,HADLEY PHILIP A,,0001437749-17-012170,2017-06-29,S,50000.0,170.55,761436.0,D,,,,,,
1013237,2017-07-03,FDS,HADLEY PHILIP A,,0001437749-17-012170,2017-06-30,S,25662.0,168.11,735774.0,D,,,,,,
1013237,2017-07-03,FDS,HADLEY PHILIP A,,0001437749-17-012170,2017-07-03,S,24355.0,166.72,711419.0,D,,,,,,
1013237,2017-07-07,FDS,HADLEY PHILIP A,,0001437749-17-012385,2017-07-05,S,5983.0,165.55,705436.0,D,,,,,,
1013237,2017-07-14,FDS,HADLEY PHILIP A,,0001437749-17-012637,2017-07-12,S,38942.0,163.83,666494.0,D,,,,,,
1013237,2017-07-14,FDS,HADLEY PHILIP A,,0001437749-17-012637,2017-07-13,S,4900.0,164.23,661594.0,D,,,,,,
1013237,2017-10-02,FDS,McNulty Matthew J,,0001437749-17-016636,2017-10-02,M,1049.0,94.84,2499.0,D,,,,,,
1013237,2017-10-02,FDS,McNulty Matthew J,,0001437749-17-016636,2017-10-02,S,1049.0,181.0,1450.0,D,,,,,,
1013237,2017-10-02,FDS,Hale Mark J.,,0001437749-17-016637,2017-09-29,S,9458.0,180.34,1856.0,D,,,,,,
1013237,2017-10-02,FDS,Hale Mark J.,,0001437749-17-016637,2017-09-29,M,9458.0,94.84,11314.0,D,,,,,,
1013237,2017-10-03,FDS,Snow Frederick Philip,,0001437749-17-016701,2017-10-02,M,7334.0,88.4,11262.0,D,,,,,,
