cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1031296,2016-08-05,FE,Reyes Luis A,,0001127602-16-059593,2016-08-03,A,90.0,33.03,120.542,D,,,,,,
1031296,2016-08-23,FE,Dowling Michael J,,0001127602-16-060961,2016-08-19,A,12195.0,32.8,33121.713,D,,,,,,
1031296,2016-09-01,FE,GAINES BENNETT L,,0001127602-16-061685,2016-08-31,F,1782.0,32.44,24276.143,D,,,,,,
1031296,2016-09-06,FE,GAINES BENNETT L,,0001127602-16-061872,2016-09-01,F,20.0,32.52,24315.143,D,,,,,,
1031296,2016-12-21,FE,SCHNEIDER DONALD R,,0001127602-16-070631,2016-12-20,S,6525.0,31.3605,22485.0,D,,,,,,
1031296,2016-12-21,FE,Lasky Charles D,,0001127602-16-070629,2016-12-20,S,5149.0,31.3605,61351.652,D,,,,,,
1031296,2017-03-01,FE,ONEIL JAMES F,,0001127602-17-009160,2017-02-27,A,865.0,32.06,865.0,D,,,,,,
1031296,2017-03-01,FE,DEMETRIOU STEVEN J.,,0001127602-17-009139,2017-02-27,A,865.0,32.06,865.0,D,,,,,,
1031296,2017-03-01,FE,COTTLE WILLIAM T,,0001127602-17-009137,2017-02-27,A,1052.0,32.06,6609.072,D,,,,,,
1031296,2017-03-03,FE,Benz Gary D,,0001127602-17-010092,2017-03-01,F,2632.0,31.74,10287.648,D,,,,,,
1031296,2017-03-03,FE,Chack Dennis M,,0001127602-17-010104,2017-03-01,F,2555.0,31.74,13501.992,D,,,,,,
1031296,2017-03-03,FE,JONES CHARLES E,,0001127602-17-010125,2017-03-01,F,24485.0,31.74,109509.462,D,,,,,,
1031296,2017-03-03,FE,Lash James H,,0001127602-17-010135,2017-03-01,F,16699.0,31.74,99623.675,D,,,,,,
1031296,2017-03-03,FE,GAINES BENNETT L,,0001127602-17-010118,2017-03-01,F,5241.0,31.74,35028.557,D,,,,,,
1031296,2017-03-03,FE,JONES CHARLES E,,0001127602-17-010125,2017-03-01,M,51329.0,,133994.462,D,,,,,,
1031296,2017-03-03,FE,Dowling Michael J,,0001127602-17-010111,2017-03-01,F,5007.0,31.74,43850.931,D,,,,,,
1031296,2017-03-03,FE,Dowling Michael J,,0001127602-17-010111,2017-03-01,M,15124.0,,48857.931,D,,,,,,
1031296,2017-03-03,FE,CAVALIER LYNNETTE M,,0001127602-17-010098,2017-03-01,M,24625.0,,77783.037,D,,,,,,
1031296,2017-03-03,FE,CAVALIER LYNNETTE M,,0001127602-17-010098,2017-03-01,F,9311.0,31.74,68472.037,D,,,,,,
1031296,2017-03-03,FE,Benz Gary D,,0001127602-17-010092,2017-03-01,M,7950.0,,12919.648,D,,,,,,
1031296,2017-03-03,FE,GAINES BENNETT L,,0001127602-17-010118,2017-03-01,M,15832.0,,40269.557,D,,,,,,
1031296,2017-03-03,FE,Chack Dennis M,,0001127602-17-010104,2017-03-01,M,7717.0,,16056.992,D,,,,,,
1031296,2017-03-03,FE,Lash James H,,0001127602-17-010135,2017-03-01,M,39156.0,,116322.675,D,,,,,,
1031296,2017-03-03,FE,Lasky Charles D,,0001127602-17-010174,2017-03-01,F,5942.0,31.74,73357.652,D,,,,,,
1031296,2017-03-03,FE,Lasky Charles D,,0001127602-17-010174,2017-03-01,M,17948.0,,79299.652,D,,,,,,
1031296,2017-03-03,FE,Pearson James F,,0001127602-17-010181,2017-03-01,M,55935.0,,118846.692,D,,,,,,
1031296,2017-03-03,FE,SCHNEIDER DONALD R,,0001127602-17-010202,2017-03-01,M,37019.0,,59504.0,D,,,,,,
1031296,2017-03-03,FE,Reffner Robert,,0001127602-17-010193,2017-03-01,M,15633.0,,40694.388,D,,,,,,
1031296,2017-03-03,FE,VESPOLI LEILA L,,0001127602-17-010218,2017-03-01,M,54501.0,,129126.75,D,,,,,,
1031296,2017-03-03,FE,K. Jon Taylor,,0001127602-17-010228,2017-03-01,M,14358.16,,21991.036,D,,,,,,
1031296,2017-03-03,FE,Strah Steven E,,0001127602-17-010211,2017-03-01,M,7413.0,,13731.848,D,,,,,,
1031296,2017-03-03,FE,K. Jon Taylor,,0001127602-17-010228,2017-03-01,D,13697.684,,8293.352,D,,,,,,
1031296,2017-03-03,FE,SCHNEIDER DONALD R,,0001127602-17-010202,2017-03-01,F,15643.0,31.74,43861.0,D,,,,,,
1031296,2017-03-03,FE,Strah Steven E,,0001127602-17-010211,2017-03-01,F,2454.0,31.74,11277.848,D,,,,,,
1031296,2017-03-03,FE,Reffner Robert,,0001127602-17-010193,2017-03-01,F,5175.0,31.74,35519.388,D,,,,,,
1031296,2017-03-03,FE,K. Jon Taylor,,0001127602-17-010228,2017-03-01,F,660.476,31.74,7632.876,D,,,,,,
1031296,2017-03-03,FE,Pearson James F,,0001127602-17-010181,2017-03-01,F,25092.0,31.74,93754.692,D,,,,,,
1031296,2017-03-03,FE,VESPOLI LEILA L,,0001127602-17-010218,2017-03-01,F,25803.0,31.74,103323.75,D,,,,,,
1031296,2017-05-05,FE,ONEIL JAMES F,,0001127602-17-016966,2017-05-03,A,1178.0,28.64,2043.0,D,,,,,,
1031296,2017-05-05,FE,DEMETRIOU STEVEN J.,,0001127602-17-016952,2017-05-03,A,1178.0,28.64,2043.0,D,,,,,,
1031296,2017-05-05,FE,COTTLE WILLIAM T,,0001127602-17-016950,2017-05-03,A,1178.0,28.64,7835.819,D,,,,,,
1031296,2017-08-04,FE,Reyes Luis A,,0001127602-17-024967,2017-08-02,A,93.0,31.96,219.208,D,,,,,,
1031296,2017-08-04,FE,ONEIL JAMES F,,0001127602-17-024963,2017-08-02,A,1056.0,31.96,3124.085,D,,,,,,
1031296,2017-08-04,FE,DEMETRIOU STEVEN J.,,0001127602-17-024953,2017-08-02,A,1056.0,31.96,3099.0,D,,,,,,
1031296,2017-08-04,FE,COTTLE WILLIAM T,,0001127602-17-024950,2017-08-02,A,1056.0,31.96,8959.802,D,,,,,,
1031296,2017-09-01,FE,GAINES BENNETT L,,0001127602-17-026815,2017-08-31,F,2318.0,32.62,32841.0,D,,,,,,
1031296,2017-09-13,FE,Misheff Donald T,,0001127602-17-027358,2017-09-11,P,100.0,32.5261,100.0,D,,,,,,
1031296,2017-11-03,FE,COTTLE WILLIAM T,,0001127602-17-031076,2017-11-01,A,1031.0,32.73,10064.222,D,,,,,,
