cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1048695,2019-02-05,FFIV,WHITE ANA MARIA,,0001209191-19-007477,2019-02-01,M,5729,0.0,5729,D,,,,,,
1048695,2019-02-05,FFIV,Kearny Ryan C.,,0001209191-19-007430,2019-02-01,M,1080,0.0,7333,D,,,,,,
1048695,2019-02-05,FFIV,Rogers Scot Frazier,,0001209191-19-007433,2019-02-01,S,2190,160.6511,9893,D,,,,,,
1048695,2019-02-05,FFIV,Rogers Scot Frazier,,0001209191-19-007433,2019-02-01,M,2234,0.0,12083,D,,,,,,
1048695,2019-02-05,FFIV,MCMILLAN STEPHEN,,0001209191-19-007439,2019-02-01,S,1971,160.7861,2358,D,,,,,,
1048695,2019-02-05,FFIV,MCMILLAN STEPHEN,,0001209191-19-007439,2019-02-01,M,2464,0.0,4329,D,,,,,,
1048695,2019-02-05,FFIV,FOUNTAIN THOMAS DEAN,,0001209191-19-007445,2019-02-04,S,3106,159.5,3212,D,,,,,,
1048695,2019-02-05,FFIV,FOUNTAIN THOMAS DEAN,,0001209191-19-007445,2019-02-01,M,6167,0.0,6318,D,,,,,,
1048695,2019-02-05,FFIV,Kearny Ryan C.,,0001209191-19-007430,2019-02-01,S,1036,160.7855,6297,D,,,,,,
1048695,2019-02-05,FFIV,Locoh-Donou Francois,,0001209191-19-007461,2019-02-01,M,8779,0.0,29639,D,,,,,,
1048695,2019-02-05,FFIV,Pelzer Francis J.,,0001209191-19-007467,2019-02-04,S,261,159.5,320,D,,,,,,
1048695,2019-02-05,FFIV,Pelzer Francis J.,,0001209191-19-007467,2019-02-01,M,581,0.0,581,D,,,,,,
1048695,2019-02-05,FFIV,SPRAGUE KARA LYNN,,0001209191-19-007471,2019-02-04,S,704,159.5,6393,D,,,,,,
1048695,2019-02-05,FFIV,SPRAGUE KARA LYNN,,0001209191-19-007471,2019-02-01,M,1708,0.0,7097,D,,,,,,
1048695,2019-02-05,FFIV,WHALEN CHAD MICHAEL,,0001209191-19-007474,2019-02-04,S,378,159.5,711,D,,,,,,
1048695,2019-02-05,FFIV,Locoh-Donou Francois,,0001209191-19-007461,2019-02-04,S,4024,159.5,25615,D,,,,,,
1048695,2019-02-05,FFIV,WHALEN CHAD MICHAEL,,0001209191-19-007474,2019-02-01,M,877,0.0,1089,D,,,,,,
1048695,2019-02-05,FFIV,WHITE ANA MARIA,,0001209191-19-007477,2019-02-04,S,2296,159.5,3433,D,,,,,,
1048695,2019-02-07,FFIV,Locoh-Donou Francois,,0001209191-19-008161,2019-02-06,S,819,162.5181,24784,D,,,,,,
1048695,2019-02-07,FFIV,FOUNTAIN THOMAS DEAN,,0001209191-19-008156,2019-02-05,S,675,162.96,2528,D,,,,,,
1048695,2019-02-14,FFIV,FOUNTAIN THOMAS DEAN,,0001209191-19-010006,2019-02-12,S,675,163.63,1853,D,,,,,,
1048695,2019-02-14,FFIV,WHALEN CHAD MICHAEL,,0001209191-19-010007,2019-02-12,S,124,163.96,586,D,,,,,,
1048695,2019-02-15,FFIV,WHALEN CHAD MICHAEL,,0001209191-19-010510,2019-02-14,S,150,166.75,436,D,,,,,,
1048695,2019-02-21,FFIV,FOUNTAIN THOMAS DEAN,,0001209191-19-011881,2019-02-19,S,545,170.68,1308,D,,,,,,
1048695,2019-02-22,FFIV,WHALEN CHAD MICHAEL,,0001209191-19-012692,2019-02-21,S,124,168.27,312,D,,,,,,
1048695,2019-02-28,FFIV,FOUNTAIN THOMAS DEAN,,0001209191-19-014389,2019-02-26,S,545,171.6,763,D,,,,,,
1048695,2019-03-15,FFIV,BEVIER DEBORAH L,,0001209191-19-019848,2019-03-13,M,1688,0.0,8840,D,,,,,,
1048695,2019-03-15,FFIV,Chadwick Jonathan,,0001209191-19-019849,2019-03-13,M,1688,0.0,9657,D,,,,,,
1048695,2019-03-15,FFIV,Combes Michel,,0001209191-19-019850,2019-03-13,M,1466,0.0,1466,D,,,,,,
1048695,2019-03-15,FFIV,Dreyer Michael L,,0001209191-19-019851,2019-03-13,M,1688,0.0,7367,D,,,,,,
1048695,2019-03-15,FFIV,MYERS MARIE,,0001209191-19-019856,2019-03-13,M,300,0.0,300,D,,,,,,
1048695,2019-03-15,FFIV,BERGERON SANDRA E.,,0001209191-19-019847,2019-03-13,M,1688,0.0,3688,D,,,,,,
1048695,2019-03-15,FFIV,HIGGINSON ALAN,,0001209191-19-019852,2019-03-13,M,1688,0.0,11528,D,,,,,,
1048695,2019-03-15,FFIV,Klein Peter S,,0001209191-19-019853,2019-03-13,M,1688,0.0,6724,D,,,,,,
1048695,2019-03-15,FFIV,MCADAM JOHN,,0001209191-19-019854,2019-03-13,M,1688,0.0,10705,D,,,,,,
1048695,2019-03-15,FFIV,MEHTA NIKHIL RAMESH,,0001209191-19-019855,2019-03-13,M,300,0.0,300,D,,,,,,
1048695,2019-03-15,FFIV,AMES A GARY,,0001209191-19-019846,2019-03-13,M,1688,0.0,14241,D,,,,,,
1048695,2019-05-01,FFIV,Rogers Scot Frazier,,0001209191-19-026704,2019-04-29,A,1247,0.0,10531,D,,,,,,
1048695,2019-05-01,FFIV,Locoh-Donou Francois,,0001209191-19-026703,2019-04-29,A,1322,0.0,23260,D,,,,,,
1048695,2019-05-01,FFIV,Kearny Ryan C.,,0001209191-19-026702,2019-04-29,A,335,0.0,6532,D,,,,,,
1048695,2019-05-03,FFIV,SPRAGUE KARA LYNN,,0001209191-19-027568,2019-05-01,M,1709,0.0,8240,D,,,,,,
1048695,2019-05-03,FFIV,FOUNTAIN THOMAS DEAN,,0001209191-19-027563,2019-05-01,M,2031,0.0,2934,D,,,,,,
1048695,2019-05-03,FFIV,Rogers Scot Frazier,,0001209191-19-027567,2019-05-01,M,2236,0.0,12767,D,,,,,,
1048695,2019-05-03,FFIV,SPRAGUE KARA LYNN,,0001209191-19-027568,2019-05-02,S,678,151.58,7562,D,,,,,,
1048695,2019-05-03,FFIV,WHALEN CHAD MICHAEL,,0001209191-19-027569,2019-05-02,S,348,151.58,841,D,,,,,,
1048695,2019-05-03,FFIV,MCMILLAN STEPHEN,,0001209191-19-027562,2019-05-01,M,2466,0.0,4963,D,,,,,,
1048695,2019-05-03,FFIV,WHALEN CHAD MICHAEL,,0001209191-19-027569,2019-05-01,M,877,0.0,1189,D,,,,,,
1048695,2019-05-03,FFIV,MCMILLAN STEPHEN,,0001209191-19-027562,2019-05-01,S,373,152.6903,4590,D,,,,,,
