cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
798354,2019-01-18,FISV,YABUKI JEFFERY W,,0001209191-19-004568,2019-01-16,S,3900,69.24,273314,D,,,,,,
798354,2019-01-25,FISV,YABUKI JEFFERY W,,0001209191-19-005409,2019-01-24,M,502652,11.93,729866,D,,,,,,
798354,2019-01-25,FISV,YABUKI JEFFERY W,,0001209191-19-005409,2019-01-24,F,274958,82.22,454908,D,,,,,,
798354,2019-01-31,FISV,Best Kenneth,,0001209191-19-006243,2019-01-29,F,908,83.63,29974,D,,,,,,
798354,2019-02-19,FISV,McCreary Lynn S.,,0001209191-19-011260,2019-02-18,F,1054,85.78,43138,D,,,,,,
798354,2019-02-19,FISV,YABUKI JEFFERY W,,0001209191-19-011251,2019-02-18,F,5107,85.78,449801,D,,,,,,
798354,2019-02-19,FISV,Best Kenneth,,0001209191-19-011243,2019-02-18,F,203,85.78,29771,D,,,,,,
798354,2019-02-21,FISV,YABUKI JEFFERY W,,0001209191-19-012186,2019-02-20,S,50000,84.85,441146,D,,,,,,
798354,2019-02-21,FISV,YABUKI JEFFERY W,,0001209191-19-012186,2019-02-19,A,94405,0.0,535517,D,,,,,,
798354,2019-02-21,FISV,YABUKI JEFFERY W,,0001209191-19-012186,2019-02-19,F,8689,85.62,441112,D,,,,,,
798354,2019-02-21,FISV,McCreary Lynn S.,,0001209191-19-012202,2019-02-19,F,663,85.62,42475,D,,,,,,
798354,2019-02-21,FISV,VIELEHR BYRON C,,0001209191-19-012220,2019-02-19,F,1945,85.62,36477,D,,,,,,
798354,2019-02-21,FISV,Schultz Kevin J,,0001209191-19-012228,2019-02-19,F,276,85.62,9077,D,,,,,,
798354,2019-02-21,FISV,Best Kenneth,,0001209191-19-012238,2019-02-19,F,166,85.62,29605,D,,,,,,
798354,2019-02-22,FISV,McGranahan Devin,,0001209191-19-012743,2019-02-20,A,5902,0.0,56995,D,,,,,,
798354,2019-02-22,FISV,Hau Robert W.,,0001209191-19-012733,2019-02-20,A,14753,0.0,96309,D,,,,,,
798354,2019-02-22,FISV,McCreary Lynn S.,,0001209191-19-012717,2019-02-20,A,5902,0.0,48377,D,,,,,,
798354,2019-02-22,FISV,Best Kenneth,,0001209191-19-012713,2019-02-20,A,1771,0.0,31376,D,,,,,,
798354,2019-02-22,FISV,YABUKI JEFFERY W,,0001209191-19-012711,2019-02-20,A,32457,0.0,473603,D,,,,,,
798354,2019-02-25,FISV,YABUKI JEFFERY W,,0001209191-19-013117,2019-02-22,F,12457,85.03,461146,D,,,,,,
798354,2019-02-25,FISV,VIELEHR BYRON C,,0001209191-19-013120,2019-02-22,F,1377,85.03,35100,D,,,,,,
798354,2019-02-25,FISV,Schultz Kevin J,,0001209191-19-013122,2019-02-22,F,376,85.03,8701,D,,,,,,
798354,2019-02-25,FISV,Hau Robert W.,,0001209191-19-013126,2019-02-22,F,1528,85.03,94781,D,,,,,,
798354,2019-02-25,FISV,Best Kenneth,,0001209191-19-013131,2019-02-22,F,160,85.03,31216,D,,,,,,
798354,2019-02-25,FISV,McCreary Lynn S.,,0001209191-19-013125,2019-02-22,F,516,85.03,47861,D,,,,,,
798354,2019-03-01,FISV,OLEARY DENIS,,0001209191-19-015068,2019-02-28,M,13728,11.62,52014,D,,,,,,
798354,2019-03-01,FISV,OLEARY DENIS,,0001209191-19-015068,2019-02-28,S,13728,85.08,38286,D,,,,,,
