cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1136893,2017-02-21,FIS,Stallings James B JR,,0001127602-17-007130,2017-02-17,S,550.0,81.5697,14311.0,D,,,,,,
1136893,2017-02-27,FIS,Woodall James W.,,0001127602-17-008677,2017-02-23,F,2845.0,0.0,89679.4782,D,,,,,,
1136893,2017-02-27,FIS,Oates Michael P,,0001127602-17-008671,2017-02-23,F,2381.0,0.0,107790.1279,D,,,,,,
1136893,2017-02-27,FIS,Jabbour Anthony M,,0001127602-17-008658,2017-02-23,F,4047.0,0.0,148594.9203,D,,,,,,
1136893,2017-02-27,FIS,THOMPSON KATHLEEN T,,0001127602-17-008626,2017-02-23,F,234.0,0.0,8828.9701,D,,,,,,
1136893,2017-02-27,FIS,Norcross Gary,,0001127602-17-008618,2017-02-23,F,10591.0,0.0,251859.6401,D,,,,,,
1136893,2017-02-27,FIS,Montana Gregory G,,0001127602-17-008615,2017-02-23,F,740.0,0.0,15428.2828,D,,,,,,
1136893,2017-03-15,FIS,THOMPSON KATHLEEN T,,0001127602-17-011781,2017-03-14,S,100.0,82.2,8573.1273,D,,,,,,
1136893,2017-03-17,FIS,Massey Richard N,,0001127602-17-012157,2017-03-16,S,15282.0,81.9432,78942.0,D,,,,,,
1136893,2017-03-20,FIS,MARTIRE FRANK R,,0001127602-17-012377,2017-03-16,M,99378.0,27.1,99632.5082,D,,,,,,
1136893,2017-03-20,FIS,MARTIRE FRANK R,,0001127602-17-012377,2017-03-16,S,99378.0,82.075,254.5082,D,,,,,,
1136893,2017-03-20,FIS,MARTIRE FRANK R,,0001127602-17-012377,2017-03-17,M,206122.0,27.1,206376.5082,D,,,,,,
1136893,2017-03-20,FIS,MARTIRE FRANK R,,0001127602-17-012377,2017-03-17,S,206122.0,81.907,254.5082,D,,,,,,
1136893,2017-03-22,FIS,MARTIRE FRANK R,,0001127602-17-012619,2017-03-22,J,116931.0,82.51,225133.22,I,,,,,,
1136893,2017-03-22,FIS,MARTIRE FRANK R,,0001127602-17-012619,2017-03-21,S,90095.0,81.017,254.5082,D,,,,,,
1136893,2017-03-22,FIS,MARTIRE FRANK R,,0001127602-17-012619,2017-03-21,M,90095.0,27.1,90349.5082,D,,,,,,
1136893,2017-03-22,FIS,MARTIRE FRANK R,,0001127602-17-012619,2017-03-20,S,3754.0,81.542,254.5082,D,,,,,,
1136893,2017-03-22,FIS,MARTIRE FRANK R,,0001127602-17-012619,2017-03-20,M,3754.0,27.1,4008.5082,D,,,,,,
1136893,2017-03-28,FIS,MARTIRE FRANK R,,0001127602-17-013018,2017-03-27,M,219017.0,27.1,219271.5082,D,,,,,,
1136893,2017-03-28,FIS,MARTIRE FRANK R,,0001127602-17-013018,2017-03-27,S,219017.0,80.022,254.5082,D,,,,,,
1136893,2017-03-31,FIS,Brown Marianne,,0001127602-17-013381,2017-03-29,F,4782.0,0.0,61444.228,D,,,,,,
1136893,2017-03-31,FIS,Brown Marianne,,0001127602-17-013381,2017-03-29,A,22492.0,0.0,66226.228,D,,,,,,
1136893,2017-03-31,FIS,Montana Gregory G,,0001127602-17-013401,2017-03-29,A,3749.0,0.0,18871.4999,D,,,,,,
1136893,2017-03-31,FIS,HUGHES KEITH W,,0001127602-17-013385,2017-03-29,A,1187.0,0.0,24212.0,D,,,,,,
1136893,2017-03-31,FIS,HUNT DAVID K,,0001127602-17-013387,2017-03-29,A,1187.0,0.0,36154.0,D,,,,,,
1136893,2017-03-31,FIS,Jabbour Anthony M,,0001127602-17-013389,2017-03-29,F,3890.0,0.0,164309.0503,D,,,,,,
1136893,2017-03-31,FIS,Jabbour Anthony M,,0001127602-17-013389,2017-03-29,A,22492.0,0.0,168199.0503,D,,,,,,
1136893,2017-03-31,FIS,JAMES STEPHAN A,,0001127602-17-013391,2017-03-29,A,1187.0,0.0,34268.0,D,,,,,,
1136893,2017-03-31,FIS,MARTIRE FRANK R,,0001127602-17-013394,2017-03-29,A,2083.0,0.0,2337.5082,D,,,,,,
1136893,2017-03-31,FIS,Massey Richard N,,0001127602-17-013398,2017-03-29,A,1499.0,0.0,80441.0,D,,,,,,
1136893,2017-03-31,FIS,Montana Gregory G,,0001127602-17-013401,2017-03-29,F,552.0,0.0,18319.4999,D,,,,,,
1136893,2017-03-31,FIS,Alemany Ellen R,,0001127602-17-013379,2017-03-29,A,1187.0,0.0,7086.0,D,,,,,,
1136893,2017-03-31,FIS,MUMA LESLIE M,,0001127602-17-013404,2017-03-29,A,1187.0,0.0,12125.0,D,,,,,,
1136893,2017-03-31,FIS,Norcross Gary,,0001127602-17-013409,2017-03-29,F,8334.0,0.0,307340.6831,D,,,,,,
1136893,2017-03-31,FIS,Norcross Gary,,0001127602-17-013409,2017-03-29,A,74972.0,0.0,315674.6831,D,,,,,,
1136893,2017-03-31,FIS,Oates Michael P,,0001127602-17-013412,2017-03-29,F,2445.0,0.0,120915.0929,D,,,,,,
1136893,2017-03-31,FIS,Oates Michael P,,0001127602-17-013412,2017-03-29,A,16869.0,0.0,123360.0929,D,,,,,,
1136893,2017-03-31,FIS,Stallings James B JR,,0001127602-17-013415,2017-03-29,A,1187.0,0.0,15498.0,D,,,,,,
1136893,2017-03-31,FIS,THOMPSON KATHLEEN T,,0001127602-17-013418,2017-03-29,F,151.0,0.0,7838.6599,D,,,,,,
1136893,2017-03-31,FIS,THOMPSON KATHLEEN T,,0001127602-17-013418,2017-03-29,A,2499.0,0.0,7989.6599,D,,,,,,
1136893,2017-03-31,FIS,Woodall James W.,,0001127602-17-013420,2017-03-29,F,3001.0,0.0,106632.0692,D,,,,,,
1136893,2017-03-31,FIS,Woodall James W.,,0001127602-17-013420,2017-03-29,A,21867.0,0.0,109633.0692,D,,,,,,
1136893,2017-03-31,FIS,HAGERTY THOMAS M,,0001127602-17-013424,2017-03-29,A,1187.0,0.0,38111.5839,D,,,,,,
1136893,2017-03-31,FIS,FOLEY WILLIAM P II,,0001127602-17-013383,2017-03-29,A,3124.0,0.0,205270.0,D,,,,,,
