cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
35527,2019-01-15,FITB,McHugh Philip,,0000035527-19-000001,2019-01-11,F,7773.0,25.06,142452.0,D,,,,,,
35527,2019-01-31,FITB,ANDERSON LARS C,,0000035527-19-000010,2019-01-29,F,2129.0,27.43,208850.0,D,,,,,,
35527,2019-01-31,FITB,Forrest Frank R.,,0000035527-19-000009,2019-01-29,F,1588.0,27.43,50435.0,D,,,,,,
35527,2019-01-31,FITB,Hazel Mark D,,0000035527-19-000008,2019-01-29,F,319.0,27.43,39134.0,D,,,,,,
35527,2019-01-31,FITB,Leonard James C.,,0000035527-19-000007,2019-01-29,F,532.0,27.43,53141.0,D,,,,,,
35527,2019-01-31,FITB,McHugh Philip,,0000035527-19-000006,2018-01-29,F,1226.0,27.43,141226.0,D,,,,,,
35527,2019-01-31,FITB,Shaffer Robert P,,0000035527-19-000005,2019-01-29,F,780.0,27.43,36104.0,D,,,,,,
35527,2019-01-31,FITB,Spence Timothy,,0000035527-19-000004,2019-01-29,F,1580.0,27.43,136707.0,D,,,,,,
35527,2019-01-31,FITB,Tanner Teresa J.,,0000035527-19-000003,2019-01-29,F,1347.0,27.43,87373.0,D,,,,,,
35527,2019-01-31,FITB,TUZUN TAYFUN,,0000035527-19-000002,2019-01-29,F,1583.0,27.43,113457.0,D,,,,,,
35527,2019-02-04,FITB,CARMICHAEL GREG D,,0000035527-19-000011,2019-01-31,F,7080.0,26.82,418713.0,D,,,,,,
35527,2019-02-05,FITB,Tanner Teresa J.,,0000035527-19-000022,2019-02-03,F,1984.0,26.87,85389.0,D,,,,,,
35527,2019-02-05,FITB,Spence Timothy,,0000035527-19-000021,2019-02-03,F,2405.0,26.87,134302.0,D,,,,,,
35527,2019-02-05,FITB,McHugh Philip,,0000035527-19-000019,2019-02-03,F,806.0,26.87,140420.0,D,,,,,,
35527,2019-02-05,FITB,Shaffer Robert P,,0000035527-19-000020,2019-02-03,F,856.0,26.87,35248.0,D,,,,,,
35527,2019-02-05,FITB,TUZUN TAYFUN,,0000035527-19-000023,2019-02-03,F,2104.0,26.87,111353.0,D,,,,,,
35527,2019-02-05,FITB,ANDERSON LARS C,,0000035527-19-000014,2019-02-03,F,2607.0,26.87,206243.0,D,,,,,,
35527,2019-02-05,FITB,Hazel Mark D,,0000035527-19-000017,2019-02-03,F,514.0,26.87,38620.0,D,,,,,,
35527,2019-02-05,FITB,Leonard James C.,,0000035527-19-000018,2019-02-03,F,866.0,26.87,52275.0,D,,,,,,
35527,2019-02-05,FITB,Forrest Frank R.,,0000035527-19-000016,2019-02-03,F,2103.0,26.87,48332.0,D,,,,,,
35527,2019-02-05,FITB,CARMICHAEL GREG D,,0000035527-19-000015,2019-02-03,F,10661.0,26.87,408052.0,D,,,,,,
35527,2019-02-08,FITB,Spence Timothy,,0000899243-19-003079,2019-02-06,A,50841.0,,185143.0,D,,,,,,
35527,2019-02-08,FITB,Tanner Teresa J.,,0000899243-19-003093,2019-02-06,A,42367.0,,127756.0,D,,,,,,
35527,2019-02-08,FITB,Shaffer Robert P,,0000899243-19-003076,2019-02-06,A,11527.0,,46870.0,D,,,,,,
35527,2019-02-08,FITB,TUZUN TAYFUN,,0000899243-19-003078,2019-02-06,A,42367.0,,153720.0,D,,,,,,
35527,2019-02-08,FITB,Leonard James C.,,0000899243-19-003071,2019-02-06,A,21183.0,,73458.0,D,,,,,,
35527,2019-02-08,FITB,McHugh Philip,,0000899243-19-003072,2019-02-06,A,21183.0,,161603.0,D,,,,,,
35527,2019-02-08,FITB,Hazel Mark D,,0000899243-19-003064,2019-02-06,A,10592.0,,49212.0,D,,,,,,
35527,2019-02-08,FITB,Forrest Frank R.,,0000899243-19-003060,2019-02-06,A,42367.0,,90699.0,D,,,,,,
35527,2019-02-08,FITB,Schramm Jude,,0000899243-19-003068,2019-02-06,A,10479.0,,20431.0,D,,,,,,
35527,2019-02-08,FITB,ANDERSON LARS C,,0000899243-19-003061,2019-02-06,A,72024.0,,278267.0,D,,,,,,
35527,2019-02-08,FITB,CARMICHAEL GREG D,,0000899243-19-003063,2019-02-06,A,180061.0,,588113.0,D,,,,,,
35527,2019-02-08,FITB,Zaunbrecher Susan B,,0000899243-19-003066,2019-02-06,A,10479.0,,10479.0,D,,,,,,
35527,2019-02-14,FITB,CARMICHAEL GREG D,,0000899243-19-003628,2019-02-12,F,99266.0,27.07,567440.0,D,,,,,,
35527,2019-02-14,FITB,Leonard James C.,,0000899243-19-003627,2019-02-12,F,7674.0,27.07,72895.0,D,,,,,,
35527,2019-02-14,FITB,ANDERSON LARS C,,0000899243-19-003623,2019-02-12,F,37137.0,27.07,266579.0,D,,,,,,
35527,2019-02-14,FITB,Forrest Frank R.,,0000899243-19-003631,2019-02-12,F,19689.0,27.07,88974.0,D,,,,,,
35527,2019-02-14,FITB,McHugh Philip,,0000899243-19-003620,2019-02-12,F,10847.0,27.07,167223.0,D,,,,,,
35527,2019-02-14,FITB,Spence Timothy,,0000899243-19-003607,2019-02-12,F,24459.0,27.07,180444.0,D,,,,,,
35527,2019-02-14,FITB,Hazel Mark D,,0000899243-19-003616,2019-02-12,F,3877.0,27.07,50200.0,D,,,,,,
35527,2019-02-14,FITB,TUZUN TAYFUN,,0000899243-19-003613,2019-02-12,F,19621.0,27.07,155506.0,D,,,,,,
35527,2019-02-14,FITB,Tanner Teresa J.,,0000899243-19-003610,2019-02-12,F,19511.0,27.07,124712.0,D,,,,,,
35527,2019-03-12,FITB,Hoover Jewell D,,0000035527-19-000025,2019-03-08,M,500.0,4.1,49565.0,D,,,,,,
35527,2019-03-12,FITB,Hoover Jewell D,,0000035527-19-000025,2019-03-08,D,77.0,26.67,49488.0,D,,,,,,
35527,2019-03-12,FITB,Forrest Frank R.,,0000035527-19-000024,2019-03-08,S,26000.0,26.37,62974.0,D,,,,,,
35527,2019-03-25,FITB,HARVEY THOMAS H,,0000035527-19-000031,2019-03-22,A,124995.8,,124995.8,D,,,,,,
35527,2019-03-25,FITB,Daniels C. Bryan,,0000035527-19-000030,2019-03-22,A,195927.531,,195927.531,D,,,,,,
35527,2019-04-04,FITB,Schramm Jude,,0000035527-19-000032,2019-04-02,F,994.0,26.22,19437.0,D,,,,,,
35527,2019-04-16,FITB,Shaffer Robert P,,0000035527-19-000033,2019-04-14,F,497.0,27.66,46373.0,D,,,,,,
35527,2019-04-17,FITB,Spence Timothy,,0000035527-19-000035,2019-04-15,U,10000.0,27.6,170444.0,D,,,,,,
35527,2019-04-17,FITB,Tanner Teresa J.,,0000035527-19-000034,2019-04-15,S,55600.0,27.4653,69639.35,D,,,,,,
35527,2019-04-18,FITB,MCCALLISTER MICHAEL B,,0000035527-19-000047,2019-04-16,A,4508.0,,46986.826,D,,,,,,
35527,2019-04-18,FITB,Daniels C. Bryan,,0000035527-19-000042,2019-04-16,A,4817.0,,200744.531,D,,,,,,
35527,2019-04-18,FITB,WILLIAMS MARSHA C,,0000035527-19-000046,2019-04-16,A,5409.0,,68470.939,D,,,,,,
35527,2019-04-18,FITB,MALLESCH EILEEN A,,0000035527-19-000045,2019-04-16,A,4508.0,,15961.47,D,,,,,,
35527,2019-04-18,FITB,Hoover Jewell D,,0000035527-19-000044,2019-04-16,A,4508.0,,54135.925,D,,,,,,
