cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
34903,2016-01-05,FRT,VASSALLUZZO JOSEPH,,0001180654-16-000002,2016-01-04,A,1027,0.0,18944.586,D,,,,,,
34903,2016-01-05,FRT,Thompson Warren M,,0001297893-16-000002,2016-01-04,A,719,0.0,7594.0,D,,,,,,
34903,2016-01-05,FRT,Steinel Gail P,,0001368797-16-000002,2016-01-04,A,719,0.0,7515.0,D,,,,,,
34903,2016-01-05,FRT,GAMBLE KRISTIN,,0001208522-16-000002,2016-01-04,A,719,0.0,8912.0,D,,,,,,
34903,2016-01-05,FRT,FAEDER DAVID W,,0001065414-16-000002,2016-01-04,A,719,0.0,7719.0,D,,,,,,
34903,2016-01-05,FRT,BORTZ JON E,,0001229310-16-000002,2016-01-04,A,719,0.0,8062.0,D,,,,,,
34903,2016-02-05,FRT,BECKER DAWN M,,0001208504-16-000003,2016-02-03,A,5243,0.0,114454.0,D,,,,,,
34903,2016-02-05,FRT,Taylor James M Jr,,0001555684-16-000003,2016-02-03,A,6714,0.0,34637.0,D,,,,,,
34903,2016-02-05,FRT,WOOD DONALD C,,0001189906-16-000004,2016-02-03,A,48984,0.0,361537.0,D,,,,,,
34903,2016-02-17,FRT,WOOD DONALD C,,0001189906-16-000006,2016-02-16,S,100,147.31,339161.0,D,,,,,,
34903,2016-02-17,FRT,WOOD DONALD C,,0001189906-16-000006,2016-02-12,S,7501,147.0,318401.0,D,,,,,,
34903,2016-02-17,FRT,WOOD DONALD C,,0001189906-16-000005,2016-02-12,F,22276,144.89,339261.0,D,,,,,,
34903,2016-02-17,FRT,Taylor James M Jr,,0001555684-16-000004,2016-02-12,F,2778,144.89,31859.0,D,,,,,,
34903,2016-05-11,FRT,BECKER DAWN M,,0001208504-16-000004,2016-05-09,M,13314,73.03,127768.0,D,,,,,,
34903,2016-05-11,FRT,BECKER DAWN M,,0001208504-16-000004,2016-05-09,S,200,158.56,127568.0,D,,,,,,
34903,2016-05-11,FRT,WOOD DONALD C,,0001189906-16-000007,2016-05-09,M,18701,92.3,337102.0,D,,,,,,
34903,2016-05-11,FRT,WOOD DONALD C,,0001189906-16-000007,2016-05-09,S,200,158.35,336902.0,D,,,,,,
34903,2016-08-17,FRT,Guglielmone Daniel,,0001681724-16-000002,2016-08-15,A,9399,0.0,9399.0,D,,,,,,
34903,2017-01-05,FRT,VASSALLUZZO JOSEPH,,0001180654-17-000001,2017-01-03,A,1056,0.0,20000.586,D,,,,,,
34903,2017-01-05,FRT,Thompson Warren M,,0001297893-17-000001,2017-01-03,A,739,0.0,8333.0,D,,,,,,
34903,2017-01-05,FRT,Steinel Gail P,,0001368797-17-000001,2017-01-03,A,739,0.0,8254.0,D,,,,,,
34903,2017-01-05,FRT,GAMBLE KRISTIN,,0001208522-17-000001,2017-01-03,A,739,0.0,9651.0,D,,,,,,
34903,2017-01-05,FRT,FAEDER DAVID W,,0001065414-17-000001,2017-01-03,A,739,0.0,8458.0,D,,,,,,
34903,2017-01-05,FRT,BORTZ JON E,,0001229310-17-000001,2017-01-03,A,739,0.0,8801.0,D,,,,,,
34903,2017-02-09,FRT,WOOD DONALD C,,0001189906-17-000001,2017-02-07,A,49596,0.0,367997.0,D,,,,,,
34903,2017-02-09,FRT,Guglielmone Daniel,,0001681724-17-000001,2017-02-07,A,6443,0.0,15842.0,D,,,,,,
34903,2017-02-09,FRT,BECKER DAWN M,,0001208504-17-000001,2017-02-07,A,7009,0.0,121463.0,D,,,,,,
34903,2017-02-14,FRT,WOOD DONALD C,,0001189906-17-000002,2017-02-12,F,19890,142.96,348107.0,D,,,,,,
34903,2017-02-23,FRT,WOOD DONALD C,,0001189906-17-000004,2017-02-21,S,100,141.3,348007.0,D,,,,,,
34903,2017-02-23,FRT,WOOD DONALD C,,0001189906-17-000003,2017-02-21,M,20000,73.03,353921.0,D,,,,,,
34903,2017-02-23,FRT,WOOD DONALD C,,0001189906-17-000003,2017-02-21,S,10914,142.4,343007.0,D,,,,,,
34903,2017-02-27,FRT,WOOD DONALD C,,0001189906-17-000005,2017-02-23,M,20000,73.03,353921.0,D,,,,,,
34903,2017-02-27,FRT,WOOD DONALD C,,0001189906-17-000005,2017-02-23,S,467,142.1,353454.0,D,,,,,,
34903,2017-03-01,FRT,WOOD DONALD C,,0001189906-17-000006,2017-02-27,M,11107,73.03,345028.0,D,,,,,,
34903,2017-03-01,FRT,WOOD DONALD C,,0001189906-17-000006,2017-02-27,S,100,143.0,344928.0,D,,,,,,
34903,2017-08-11,FRT,BECKER DAWN M,,0001208504-17-000002,2017-08-09,M,2281,73.03,123744.0,D,,,,,,
34903,2017-08-11,FRT,BECKER DAWN M,,0001208504-17-000002,2017-08-09,S,60,133.16,123684.0,D,,,,,,
34903,2017-08-11,FRT,WOOD DONALD C,,0001189906-17-000007,2017-08-09,M,2772,73.03,336693.0,D,,,,,,
34903,2017-08-11,FRT,WOOD DONALD C,,0001189906-17-000007,2017-08-09,S,200,133.15,336493.0,D,,,,,,
34903,2017-08-17,FRT,Guglielmone Daniel,,0001681724-17-000002,2017-08-15,F,870,129.27,14972.0,D,,,,,,
34903,2017-09-08,FRT,WOOD DONALD C,,0001189906-17-000009,2017-09-07,S,360,130.97,354903.0,D,,,,,,
34903,2017-09-08,FRT,WOOD DONALD C,,0001189906-17-000008,2017-09-07,M,30628,73.03,364549.0,D,,,,,,
34903,2017-09-08,FRT,WOOD DONALD C,,0001189906-17-000008,2017-09-07,S,100,131.4,364449.0,D,,,,,,
34903,2017-09-08,FRT,BECKER DAWN M,,0001208504-17-000004,2017-09-07,S,1295,130.76,122700.0,D,,,,,,
34903,2017-09-08,FRT,BECKER DAWN M,,0001208504-17-000003,2017-09-07,M,24346,73.03,145809.0,D,,,,,,
