cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1274494,2018-04-03,FSLR,Ahearn Michael J,,0001127602-18-013744,2018-03-30,A,828,0.0,44169,D,,,,,,
1274494,2018-04-03,FSLR,Chapman Richard D,,0001127602-18-013741,2018-03-30,A,564,0.0,20498,D,,,,,,
1274494,2018-04-03,FSLR,Hambro George A,,0001127602-18-013738,2018-03-30,A,564,0.0,22498,D,,,,,,
1274494,2018-04-03,FSLR,PRESBY J THOMAS,,0001127602-18-013735,2018-03-30,A,564,0.0,20991,D,,,,,,
1274494,2018-04-03,FSLR,KENNEDY R CRAIG,,0001127602-18-013732,2018-03-30,A,564,0.0,23707,D,,,,,,
1274494,2018-04-03,FSLR,Nolan James F,,0001127602-18-013729,2018-03-30,A,564,0.0,44826,D,,,,,,
1274494,2018-04-03,FSLR,POST WILLIAM J,,0001127602-18-013726,2018-03-30,A,564,0.0,22351,I,,,,,,
1274494,2018-04-03,FSLR,STEBBINS PAUL H,,0001127602-18-013722,2018-03-30,A,564,0.0,24416,D,,,,,,
1274494,2018-04-03,FSLR,Sweeney Michael T,,0001127602-18-013717,2018-03-30,A,564,0.0,28291,D,,,,,,
1274494,2018-04-03,FSLR,Allen Sharon L.,,0001127602-18-013714,2018-03-30,A,564,0.0,13735,D,,,,,,
1274494,2018-04-03,FSLR,Joseph Molly,,0001127602-18-013708,2018-03-30,A,564,0.0,2029,D,,,,,,
1274494,2018-04-19,FSLR,Schumaker Bryan Robert,,0001127602-18-014959,2018-04-18,S,1656,75.0,848,D,,,,,,
1274494,2018-04-24,FSLR,ANTOUN GEORGES,,0001127602-18-015165,2018-04-23,S,2792,74.5,81027,D,,,,,,
1274494,2018-04-30,FSLR,Schumaker Bryan Robert,,0001127602-18-015536,2018-04-27,S,848,80.0,0,D,,,,,,
1274494,2018-05-02,FSLR,Garabedian Raffi,,0001127602-18-015963,2018-05-01,S,1715,69.47,11126,D,,,,,,
1274494,2018-05-02,FSLR,DeJong Philip,,0001127602-18-015960,2018-05-01,S,9181,69.38,5040,D,,,,,,
1274494,2018-05-23,FSLR,ANTOUN GEORGES,,0001127602-18-018542,2018-05-22,S,3142,70.63,77535,D,,,,,,
1274494,2018-06-25,FSLR,ANTOUN GEORGES,,0001127602-18-021841,2018-06-22,S,3002,52.64,74533,D,,,,,,
