cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1517413,2019-06-21,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000523,2019-06-03,P,242540,19.92,2092540,I,,,,,,
1517413,2019-06-27,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000531,2019-06-25,P,56464,17.13,2156464,I,,,,,,
1517413,2019-06-27,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000531,2019-06-26,P,92361,17.32,2250486,I,,,,,,
1517413,2019-07-15,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000565,2019-07-11,P,81124,20.0,2334372,I,,,,,,
1517413,2019-07-15,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000565,2019-07-12,P,34088,20.67,2372336,I,,,,,,
1517413,2019-07-15,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000565,2019-07-15,P,2437,21.39,2390685,I,,,,,,
1517413,2019-07-18,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000571,2019-07-16,P,57047,21.27,2447810,I,,,,,,
1517413,2019-07-18,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000571,2019-07-17,P,35185,21.26,2484714,I,,,,,,
1517413,2019-07-18,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000571,2019-07-18,P,41452,21.33,2527216,I,,,,,,
1517413,2019-07-23,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000578,2019-07-19,P,196,21.45,2528661,I,,,,,,
1517413,2019-07-23,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000578,2019-07-22,P,31201,21.38,2559866,I,,,,,,
1517413,2019-07-23,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000578,2019-07-23,P,5662,21.43,2566464,I,,,,,,
1517413,2019-08-05,FSLY,"Abdiel Capital Management, LLC",,0000904454-19-000592,2019-08-01,P,20297,21.41,2586932,I,,,,,,
