cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1262039,2017-02-03,FTNT,Xie Michael,,0001140361-17-004393,2017-02-01,M,2500,0.0,6484500,D,,,,,,
1262039,2017-02-03,FTNT,Xie Michael,,0001140361-17-004393,2017-02-01,A,14238,0.0,6513738,D,,,,,,
1262039,2017-02-03,FTNT,Xie Michael,,0001140361-17-004393,2017-02-01,F,12643,33.1,6501095,D,,,,,,
1262039,2017-02-03,FTNT,Xie Michael,,0001140361-17-004393,2017-02-02,M,50000,8.43,6551095,D,,,,,,
1262039,2017-02-03,FTNT,Xie Michael,,0001140361-17-004393,2017-02-02,S,69095,33.1456,6482000,D,,,,,,
1262039,2017-02-03,FTNT,Xie Ken,,0001140361-17-004392,2017-02-01,M,1563,0.0,12441453,D,,,,,,
1262039,2017-02-03,FTNT,Xie Ken,,0001140361-17-004392,2017-02-01,A,18984,0.0,12475437,D,,,,,,
1262039,2017-02-03,FTNT,Xie Ken,,0001140361-17-004392,2017-02-01,F,15062,33.1,12460375,D,,,,,,
1262039,2017-02-03,FTNT,Whittle John,,0001140361-17-004391,2017-02-01,M,2188,0.0,10005,D,,,,,,
1262039,2017-02-03,FTNT,Whittle John,,0001140361-17-004391,2017-02-01,A,9492,0.0,31372,D,,,,,,
1262039,2017-02-03,FTNT,Whittle John,,0001140361-17-004391,2017-02-01,F,8869,33.1,22503,D,,,,,,
1262039,2017-02-03,FTNT,Whittle John,,0001140361-17-004391,2017-02-03,S,13135,37.15,9368,D,,,,,,
1262039,2017-02-03,FTNT,PAISLEY CHRISTOPHER B,,0001140361-17-004390,2017-02-01,M,6000,8.99,67287,D,,,,,,
1262039,2017-02-03,FTNT,PAISLEY CHRISTOPHER B,,0001140361-17-004390,2017-02-01,S,6000,32.9643,61287,D,,,,,,
1262039,2017-02-03,FTNT,Jensen Keith,,0001140361-17-004387,2017-02-01,M,1563,0.0,1837,D,,,,,,
1262039,2017-02-03,FTNT,Jensen Keith,,0001140361-17-004387,2017-02-01,F,2305,33.1,3845,D,,,,,,
1262039,2017-02-03,FTNT,DEL MATTO ANDREW H,,0001140361-17-004386,2017-02-01,M,7500,0.0,13418,D,,,,,,
1262039,2017-02-03,FTNT,DEL MATTO ANDREW H,,0001140361-17-004386,2017-02-01,A,18750,0.0,41543,D,,,,,,
1262039,2017-02-03,FTNT,DEL MATTO ANDREW H,,0001140361-17-004386,2017-02-01,F,19720,33.1,31315,D,,,,,,
1262039,2017-02-07,FTNT,PAISLEY CHRISTOPHER B,,0001140361-17-004952,2017-02-06,M,331,0.0,61618,D,,,,,,
1262039,2017-02-07,FTNT,Sim Judith,,0001140361-17-004953,2017-02-05,M,1250,0.0,7500,D,,,,,,
1262039,2017-02-07,FTNT,NEUKOM WILLIAM H.,,0001140361-17-004951,2017-02-06,M,331,0.0,31368,D,,,,,,
1262039,2017-02-07,FTNT,Locke Gary,,0001140361-17-004950,2017-02-05,M,1250,0.0,6250,D,,,,,,
1262039,2017-02-07,FTNT,DEL MATTO ANDREW H,,0001140361-17-004948,2017-02-07,S,8000,37.9695,23315,D,,,,,,
