cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1659166,2018-07-31,FTV,Ratnakar Raj,,0001659166-18-000210,2018-07-30,M,536.0,,11608.0,D,,,,,,
1659166,2018-07-31,FTV,Ratnakar Raj,,0001659166-18-000210,2018-07-30,F,217.0,79.75,11391.0,D,,,,,,
1659166,2018-07-31,FTV,McLaughlin Charles E,,0001659166-18-000209,2018-07-30,M,1124.0,,31368.0,D,,,,,,
1659166,2018-07-31,FTV,McLaughlin Charles E,,0001659166-18-000209,2018-07-30,F,443.0,79.75,30925.0,D,,,,,,
1659166,2018-07-31,FTV,Pringle William W,,0001659166-18-000208,2018-07-30,M,1079.0,,27807.0,D,,,,,,
1659166,2018-07-31,FTV,Pringle William W,,0001659166-18-000208,2018-07-30,F,425.0,79.75,27382.0,D,,,,,,
1659166,2018-07-31,FTV,LICO JAMES A,,0001659166-18-000207,2018-07-30,M,30852.0,,260678.0,D,,,,,,
1659166,2018-07-31,FTV,LICO JAMES A,,0001659166-18-000207,2018-07-30,F,12141.0,79.75,248537.0,D,,,,,,
1659166,2018-07-31,FTV,Walker Stacey A.,,0001659166-18-000206,2018-07-30,M,309.0,,16599.0,D,,,,,,
1659166,2018-07-31,FTV,Walker Stacey A.,,0001659166-18-000206,2018-07-30,F,122.0,79.75,16477.0,D,,,,,,
1659166,2018-08-02,FTV,Hulit Barbara B.,,0001659166-18-000214,2018-08-01,S,15000.0,82.29,51113.0,D,,,,,,
1659166,2018-08-02,FTV,SPOON ALAN G,,0001659166-18-000213,2018-08-02,P,18000.0,80.8,48268.0,D,,,,,,
1659166,2018-08-03,FTV,McLaughlin Charles E,,0001659166-18-000216,2018-08-02,S,5514.0,80.89,25411.0,D,,,,,,
1659166,2018-08-07,FTV,Pringle William W,,0001659166-18-000218,2018-08-06,S,6316.0,81.08,21066.0,D,,,,,,
1659166,2018-08-10,FTV,Walker Stacey A.,,0001659166-18-000222,2018-08-08,M,483.0,24.59,16960.0,D,,,,,,
1659166,2018-08-10,FTV,Walker Stacey A.,,0001659166-18-000222,2018-08-08,S,16420.0,80.71,13045.0,D,,,,,,
1659166,2018-08-10,FTV,Ratnakar Raj,,0001659166-18-000221,2018-08-08,M,1853.0,25.52,13244.0,D,,,,,,
1659166,2018-08-10,FTV,Ratnakar Raj,,0001659166-18-000221,2018-08-08,S,30912.0,80.71,6440.0,D,,,,,,
1659166,2018-08-16,FTV,Pringle William W,,0001659166-18-000224,2018-08-15,S,440.0,79.38,20626.0,D,,,,,,
1659166,2018-10-01,FTV,Murphy Patrick K,,0001659166-18-000226,2018-10-01,S,111.0,,24357.0,D,,,,,,
1659166,2018-10-11,FTV,LICO JAMES A,,0001659166-18-000255,2018-10-10,G,14375.0,0.0,234162.0,D,,,,,,
1659166,2018-11-05,FTV,Weaver Emily A.,,0001659166-18-000265,2018-11-02,M,2558.0,30.02,9279.0,D,,,,,,
1659166,2018-11-05,FTV,Weaver Emily A.,,0001659166-18-000265,2018-11-02,S,9271.0,75.41,6275.0,D,,,,,,
1659166,2018-11-05,FTV,LICO JAMES A,,0001659166-18-000264,2018-11-02,M,123298.0,12.83,357460.0,D,,,,,,
1659166,2018-11-05,FTV,LICO JAMES A,,0001659166-18-000264,2018-11-02,S,97398.0,75.36,260062.0,D,,,,,,
1659166,2018-11-15,FTV,Schwarz Jonathan L,,0001659166-18-000267,2018-11-14,S,8869.0,74.704,7270.0,D,,,,,,
1659166,2018-11-16,FTV,Walker Stacey A.,,0001659166-18-000273,2018-11-15,M,773.0,,13818.0,D,,,,,,
1659166,2018-11-16,FTV,Walker Stacey A.,,0001659166-18-000273,2018-11-15,F,305.0,75.73,13513.0,D,,,,,,
1659166,2018-11-16,FTV,Byrne Patrick J,,0001659166-18-000272,2018-11-15,M,1292.0,,34906.0,D,,,,,,
1659166,2018-11-16,FTV,Byrne Patrick J,,0001659166-18-000272,2018-11-15,F,626.0,75.73,34280.0,D,,,,,,
1659166,2018-11-16,FTV,Pringle William W,,0001659166-18-000271,2018-11-15,S,476.0,73.18,28639.0,D,,,,,,
1659166,2018-11-20,FTV,Walker Stacey A.,,0001659166-18-000275,2018-11-16,S,468.0,75.26,13045.0,D,,,,,,
1659166,2019-02-21,FTV,Pringle William W,,0001659166-19-000033,2019-02-20,S,435.0,80.66,28204.0,D,,,,,,
1659166,2019-02-26,FTV,Walker Stacey A.,,0001659166-19-000057,2019-02-22,M,2991.0,,16036.0,D,,,,,,
1659166,2019-02-26,FTV,Walker Stacey A.,,0001659166-19-000057,2019-02-22,F,1208.0,81.37,14828.0,D,,,,,,
1659166,2019-02-26,FTV,Walker Stacey A.,,0001659166-19-000057,2019-02-25,S,1783.0,81.87,13045.0,D,,,,,,
1659166,2019-02-26,FTV,Murphy Patrick K,,0001659166-19-000056,2019-02-22,M,1800.0,,26157.0,D,,,,,,
1659166,2019-02-26,FTV,Murphy Patrick K,,0001659166-19-000056,2019-02-22,F,2059.0,81.37,27688.0,D,,,,,,
1659166,2019-02-26,FTV,McLaughlin Charles E,,0001659166-19-000055,2019-02-22,M,4785.0,,30196.0,D,,,,,,
1659166,2019-02-26,FTV,McLaughlin Charles E,,0001659166-19-000055,2019-02-22,F,1772.0,81.37,28424.0,D,,,,,,
1659166,2019-02-26,FTV,Schwarz Jonathan L,,0001659166-19-000054,2019-02-22,M,751.0,,8021.0,D,,,,,,
1659166,2019-02-26,FTV,Schwarz Jonathan L,,0001659166-19-000054,2019-02-22,F,1115.0,81.37,10083.0,D,,,,,,
1659166,2019-02-26,FTV,Byrne Patrick J,,0001659166-19-000053,2019-02-22,M,956.0,,35236.0,D,,,,,,
1659166,2019-02-26,FTV,Byrne Patrick J,,0001659166-19-000053,2019-02-22,F,2924.0,81.37,37343.0,D,,,,,,
1659166,2019-02-26,FTV,LICO JAMES A,,0001659166-19-000052,2019-02-22,M,21870.0,,256032.0,D,,,,,,
1659166,2019-02-26,FTV,LICO JAMES A,,0001659166-19-000052,2019-02-22,F,11519.0,81.37,254110.0,D,,,,,,
1659166,2019-02-26,FTV,Hulit Barbara B.,,0001659166-19-000051,2019-02-22,M,5015.0,,56128.0,D,,,,,,
1659166,2019-02-26,FTV,Hulit Barbara B.,,0001659166-19-000051,2019-02-22,F,3725.0,81.37,56804.0,D,,,,,,
1659166,2019-02-26,FTV,Pringle William W,,0001659166-19-000050,2019-02-22,M,1094.0,,29298.0,D,,,,,,
1659166,2019-02-26,FTV,Pringle William W,,0001659166-19-000050,2019-02-22,F,2295.0,81.37,31674.0,D,,,,,,
1659166,2019-02-26,FTV,Pringle William W,,0001659166-19-000050,2019-02-22,G,250.0,0.0,31424.0,D,,,,,,
1659166,2019-02-26,FTV,Ratnakar Raj,,0001659166-19-000049,2019-02-22,M,2393.0,,8833.0,D,,,,,,
1659166,2019-02-26,FTV,Ratnakar Raj,,0001659166-19-000049,2019-02-22,F,1059.0,81.37,7774.0,D,,,,,,
1659166,2019-02-26,FTV,Gafinowitz Martin,,0001659166-19-000047,2019-02-22,M,8661.0,,89012.0,D,,,,,,
1659166,2019-02-26,FTV,Gafinowitz Martin,,0001659166-19-000047,2019-02-22,F,5244.0,81.37,87370.0,D,,,,,,
1659166,2019-02-26,FTV,Weaver Emily A.,,0001659166-19-000046,2019-02-22,M,2393.0,0.0,8668.0,D,,,,,,
1659166,2019-02-26,FTV,Weaver Emily A.,,0001659166-19-000046,2019-02-22,F,624.0,81.37,8044.0,D,,,,,,
1659166,2019-02-27,FTV,Gafinowitz Martin,,0001659166-19-000082,2019-02-25,A,1583.0,,85517.0,D,,,,,,
1659166,2019-02-27,FTV,Byrne Patrick J,,0001659166-19-000083,2019-02-25,A,1246.0,,38589.0,D,,,,,,
1659166,2019-02-27,FTV,LICO JAMES A,,0001659166-19-000080,2019-02-25,A,48874.0,0.0,302984.0,D,,,,,,
1659166,2019-02-27,FTV,Hulit Barbara B.,,0001659166-19-000081,2019-02-25,A,1376.0,,55432.0,D,,,,,,
1659166,2019-02-27,FTV,Underwood Peter C,,0001659166-19-000079,2019-02-25,A,1246.0,,23528.0,D,,,,,,
1659166,2019-02-27,FTV,LICO JAMES A,,0001659166-19-000080,2019-02-25,F,19232.0,81.6,283752.0,D,,,,,,
1659166,2019-02-27,FTV,Murphy Patrick K,,0001659166-19-000078,2019-02-25,A,1246.0,,28934.0,D,,,,,,
1659166,2019-02-27,FTV,Walker Stacey A.,,0001659166-19-000072,2019-02-25,A,1298.0,,14343.0,D,,,,,,
1659166,2019-02-27,FTV,McLaughlin Charles E,,0001659166-19-000075,2019-02-25,A,2388.0,,30812.0,D,,,,,,
1659166,2019-02-27,FTV,Weaver Emily A.,,0001659166-19-000076,2019-02-25,A,572.0,,8616.0,D,,,,,,
1659166,2019-02-27,FTV,Schwarz Jonathan L,,0001659166-19-000073,2019-02-25,A,676.0,,10759.0,D,,,,,,
1659166,2019-02-27,FTV,Ratnakar Raj,,0001659166-19-000074,2019-02-25,A,623.0,,8397.0,D,,,,,,
1659166,2019-02-27,FTV,Pringle William W,,0001659166-19-000077,2019-02-25,A,1453.0,,32877.0,D,,,,,,
1659166,2019-03-01,FTV,Schwarz Jonathan L,,0001659166-19-000087,2019-02-28,M,3746.0,15.09,17740.0,D,,,,,,
1659166,2019-03-01,FTV,Schwarz Jonathan L,,0001659166-19-000087,2019-02-28,S,3746.0,81.63,13994.0,D,,,,,,
1659166,2019-05-03,FTV,Weaver Emily A.,,0001659166-19-000122,2019-05-02,S,600.0,85.53,9796.0,D,,,,,,
1659166,2019-05-03,FTV,Pringle William W,,0001659166-19-000121,2019-05-03,G,230.0,0.0,37657.0,D,,,,,,
1659166,2019-05-06,FTV,Hulit Barbara B.,,0001659166-19-000124,2019-05-03,S,11386.0,86.16,48891.0,D,,,,,,
1659166,2019-05-15,FTV,Weaver Emily A.,,0001659166-19-000126,2019-05-14,S,650.0,80.92,9146.0,D,,,,,,
1659166,2019-05-17,FTV,Hulit Barbara B.,,0001659166-19-000136,2019-05-15,M,2319.0,,51210.0,D,,,,,,
1659166,2019-05-17,FTV,Murphy Patrick K,,0001659166-19-000137,2019-05-15,F,934.0,81.36,34286.0,D,,,,,,
1659166,2019-05-17,FTV,LICO JAMES A,,0001659166-19-000138,2019-05-15,F,4559.0,81.36,332408.0,D,,,,,,
1659166,2019-05-17,FTV,Underwood Peter C,,0001659166-19-000134,2019-05-15,F,1649.0,81.36,31961.0,D,,,,,,
1659166,2019-05-17,FTV,LICO JAMES A,,0001659166-19-000138,2019-05-15,M,11585.0,,336967.0,D,,,,,,
1659166,2019-05-17,FTV,Hulit Barbara B.,,0001659166-19-000136,2019-05-15,F,913.0,81.36,50297.0,D,,,,,,
1659166,2019-05-17,FTV,Murphy Patrick K,,0001659166-19-000137,2019-05-15,M,2086.0,,35220.0,D,,,,,,
1659166,2019-05-17,FTV,Gafinowitz Martin,,0001659166-19-000135,2019-05-15,F,519.0,81.36,91169.0,D,,,,,,
1659166,2019-05-17,FTV,Pringle William W,,0001659166-19-000133,2019-05-15,F,730.0,81.3,38782.0,D,,,,,,
1659166,2019-05-17,FTV,Gafinowitz Martin,,0001659166-19-000135,2019-05-15,M,1161.0,,91688.0,D,,,,,,
1659166,2019-05-17,FTV,Pringle William W,,0001659166-19-000133,2019-05-15,M,1855.0,,39512.0,D,,,,,,
1659166,2019-05-17,FTV,Underwood Peter C,,0001659166-19-000134,2019-05-15,M,3891.0,,31699.0,D,,,,,,
1659166,2019-05-17,FTV,Gafinowitz Martin,,0001659166-19-000135,2019-05-16,S,20000.0,81.74,71169.0,D,,,,,,
1659166,2019-05-21,FTV,Weaver Emily A.,,0001659166-19-000140,2019-05-17,S,519.0,80.98,8627.0,D,,,,,,
1659166,2019-06-05,FTV,Sargent Jeannine P,,0001659166-19-000150,2019-06-04,A,1105.0,0.0,1105.0,D,,,,,,
1659166,2019-06-05,FTV,Dewan Feroz,,0001659166-19-000149,2019-06-04,A,1105.0,0.0,6440.0,D,,,,,,
1659166,2019-06-05,FTV,SPOON ALAN G,,0001659166-19-000148,2019-06-04,A,1685.0,0.0,49953.0,D,,,,,,
1659166,2019-06-05,FTV,MITCHELL KATE,,0001659166-19-000147,2019-06-04,A,1105.0,0.0,6705.0,D,,,,,,
1659166,2019-06-05,FTV,Ruiz Israel,,0001659166-19-000146,2019-06-04,A,1105.0,0.0,5860.0,D,,,,,,
1659166,2019-06-06,FTV,RALES STEVEN M,,0000899243-19-015764,2019-06-04,A,2210.0,0.0,4517475.0,D,,,,,,
1659166,2019-06-06,FTV,RALES MITCHELL P,,0000899243-19-015763,2019-06-04,A,2210.0,0.0,2004539.0,D,,,,,,
1659166,2019-07-16,FTV,Walker Stacey A.,,0001659166-19-000185,2019-07-15,M,388.0,,19176.0,D,,,,,,
1659166,2019-07-16,FTV,Walker Stacey A.,,0001659166-19-000185,2019-07-15,F,294.0,80.75,19239.0,D,,,,,,
1659166,2019-07-16,FTV,Weaver Emily A.,,0001659166-19-000184,2019-07-15,M,259.0,,8886.0,D,,,,,,
1659166,2019-07-16,FTV,Weaver Emily A.,,0001659166-19-000184,2019-07-15,F,180.0,80.75,9182.0,D,,,,,,
1659166,2019-07-16,FTV,McLaughlin Charles E,,0001659166-19-000183,2019-07-15,M,986.0,,40358.0,D,,,,,,
1659166,2019-07-16,FTV,McLaughlin Charles E,,0001659166-19-000183,2019-07-15,F,723.0,80.75,40539.0,D,,,,,,
1659166,2019-08-02,FTV,Hulit Barbara B.,,0001659166-19-000196,2019-07-31,A,18790.0,,69087.0,D,,,,,,
1659166,2019-08-02,FTV,Murphy Patrick K,,0001659166-19-000195,2019-07-31,A,9395.0,,43681.0,D,,,,,,
1659166,2019-08-02,FTV,Pringle William W,,0001659166-19-000194,2019-07-31,A,18790.0,,57572.0,D,,,,,,
1659166,2019-08-06,FTV,LICO JAMES A,,0001659166-19-000200,2019-07-31,A,12910.0,0.0,345318.0,D,,,,,,
1659166,2019-08-06,FTV,Walker Stacey A.,,0001659166-19-000199,2019-08-05,M,776.0,32.78,20015.0,D,,,,,,
1659166,2019-08-06,FTV,Walker Stacey A.,,0001659166-19-000199,2019-08-05,S,34446.0,70.7,18788.0,D,,,,,,
1659166,2019-11-15,FTV,Gafinowitz Martin,,0001659166-19-000234,2019-11-13,M,30000.0,24.2,101169.0,D,,,,,,
1659166,2019-11-15,FTV,Gafinowitz Martin,,0001659166-19-000234,2019-11-13,S,30000.0,71.27,71169.0,D,,,,,,
1659166,2019-11-15,FTV,Gafinowitz Martin,,0001659166-19-000234,2019-11-14,S,29536.0,71.22,41633.0,D,,,,,,
1659166,2019-11-15,FTV,Gafinowitz Martin,,0001659166-19-000234,2019-11-15,M,4393.0,24.2,46026.0,D,,,,,,
1659166,2019-11-15,FTV,Gafinowitz Martin,,0001659166-19-000234,2019-11-15,S,18543.0,72.41,41633.0,D,,,,,,
1659166,2019-11-18,FTV,Walker Stacey A.,,0001659166-19-000238,2019-11-15,M,772.0,,19560.0,D,,,,,,
1659166,2019-11-18,FTV,Walker Stacey A.,,0001659166-19-000238,2019-11-15,F,304.0,71.63,19256.0,D,,,,,,
1659166,2019-11-18,FTV,Walker Stacey A.,,0001659166-19-000238,2019-11-15,S,468.0,71.43,18788.0,D,,,,,,
1659166,2019-11-18,FTV,Mulhall Christopher M.,,0001659166-19-000237,2019-11-15,A,3505.0,,9825.0,D,,,,,,
1659166,2019-11-18,FTV,Mulhall Christopher M.,,0001659166-19-000237,2019-11-15,F,35.0,71.63,9790.0,D,,,,,,
1659166,2020-02-10,FTV,Pringle William W,,0001659166-20-000005,2020-02-10,G,318.0,0.0,57254.0,D,,,,,,
1659166,2020-02-14,FTV,Mulhall Christopher M.,,0001659166-20-000027,2020-02-13,S,2702.0,78.46,7088.0,D,,,,,,
1659166,2020-02-14,FTV,Mulhall Christopher M.,,0001659166-20-000027,2020-02-13,M,2398.0,18.7,7226.0,I,,,,,,
1659166,2020-02-21,FTV,LICO JAMES A,,0001659166-20-000029,2020-02-19,M,125000.0,18.21,465237.0,D,,,,,,
1659166,2020-02-21,FTV,LICO JAMES A,,0001659166-20-000029,2020-02-19,S,121000.0,76.94,344237.0,D,,,,,,
1659166,2020-02-21,FTV,LICO JAMES A,,0001659166-20-000029,2020-02-20,A,30673.0,0.0,370910.0,D,,,,,,
1659166,2020-02-21,FTV,LICO JAMES A,,0001659166-20-000029,2020-02-20,F,12067.0,76.79,358843.0,D,,,,,,
1659166,2020-02-24,FTV,Hulit Barbara B.,,0001659166-20-000049,2020-02-20,A,5360.0,,74447.0,D,,,,,,
1659166,2020-02-24,FTV,Mulhall Christopher M.,,0001659166-20-000045,2020-02-20,A,3250.0,,10338.0,D,,,,,,
1659166,2020-02-24,FTV,Hulit Barbara B.,,0001659166-20-000049,2020-02-20,F,1415.0,75.81,73032.0,D,,,,,,
1659166,2020-02-24,FTV,McLaughlin Charles E,,0001659166-20-000046,2020-02-20,A,10225.0,,50764.0,D,,,,,,
1659166,2020-02-24,FTV,Schwarz Jonathan L,,0001659166-20-000047,2020-02-20,A,3250.0,,17244.0,D,,,,,,
1659166,2020-02-24,FTV,Schwarz Jonathan L,,0001659166-20-000047,2020-02-21,F,502.0,75.81,16742.0,D,,,,,,
1659166,2020-02-24,FTV,Murphy Patrick K,,0001659166-20-000048,2020-02-21,F,1252.0,75.81,47299.0,D,,,,,,
1659166,2020-02-24,FTV,McLaughlin Charles E,,0001659166-20-000046,2020-02-21,S,14224.0,76.07,50764.0,D,,,,,,
1659166,2020-02-24,FTV,Murphy Patrick K,,0001659166-20-000048,2020-02-20,A,4870.0,,48551.0,D,,,,,,
1659166,2020-02-24,FTV,McLaughlin Charles E,,0001659166-20-000046,2020-02-21,F,2338.0,75.81,48426.0,D,,,,,,
1659166,2020-02-24,FTV,McLaughlin Charles E,,0001659166-20-000046,2020-02-21,M,14224.0,18.21,64988.0,D,,,,,,
1659166,2020-02-24,FTV,Mulhall Christopher M.,,0001659166-20-000045,2020-02-21,F,157.0,75.81,10181.0,D,,,,,,
1659166,2020-02-24,FTV,Underwood Peter C,,0001659166-20-000041,2020-02-21,F,821.0,75.81,35850.0,D,,,,,,
1659166,2020-02-24,FTV,Walker Stacey A.,,0001659166-20-000044,2020-02-20,A,8120.0,,26908.0,D,,,,,,
1659166,2020-02-24,FTV,Walker Stacey A.,,0001659166-20-000044,2020-02-20,F,1194.0,75.81,25714.0,D,,,,,,
1659166,2020-02-24,FTV,Underwood Peter C,,0001659166-20-000041,2020-02-20,A,4710.0,,36671.0,D,,,,,,
1659166,2020-02-24,FTV,Gafinowitz Martin,,0001659166-20-000042,2020-02-20,A,5035.0,,46668.0,D,,,,,,
1659166,2020-02-24,FTV,Gafinowitz Martin,,0001659166-20-000042,2020-02-21,F,1786.0,75.81,44882.0,D,,,,,,
1659166,2020-02-24,FTV,Pringle William W,,0001659166-20-000043,2020-02-21,F,1420.0,75.81,61354.0,D,,,,,,
1659166,2020-02-24,FTV,LICO JAMES A,,0001659166-20-000040,2020-02-21,M,70293.0,18.21,464846.0,D,,,,,,
1659166,2020-02-24,FTV,Pringle William W,,0001659166-20-000043,2020-02-20,A,5520.0,,62774.0,D,,,,,,
1659166,2020-02-24,FTV,LICO JAMES A,,0001659166-20-000040,2020-02-21,F,37901.0,75.81,426945.0,D,,,,,,
1659166,2020-02-26,FTV,Mulhall Christopher M.,,0001659166-20-000064,2020-02-25,S,152.0,72.88,9589.0,D,,,,,,
1659166,2020-02-26,FTV,Gafinowitz Martin,,0001659166-20-000060,2020-02-24,M,3600.0,,48482.0,D,,,,,,
