cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1762301,2026-04-27,FVRR,Gutler Ron,,0001178913-26-002251,2026-04-23,A,21718,0.0,42112,D,,,,,,
1762301,2026-04-27,FVRR,Iohan Gili,,0001178913-26-002249,2026-04-23,A,21718,0.0,42112,D,,,,,,
1762301,2026-04-27,FVRR,Zohar Nir,,0001178913-26-002247,2026-04-23,A,21718,0.0,101902,D,,,,,,
1762301,2026-04-27,FVRR,Gutler Ron,,0001178913-26-002251,2026-04-23,A,21718,0.0,42112,D,non_derivative,Ordinary Shares,,,,
1762301,2026-04-27,FVRR,Iohan Gili,,0001178913-26-002249,2026-04-23,A,21718,0.0,42112,D,non_derivative,Ordinary Shares,,,,
1762301,2026-04-27,FVRR,Zohar Nir,,0001178913-26-002247,2026-04-23,A,21718,0.0,101902,D,non_derivative,Ordinary Shares,,,,
1762301,2026-04-29,FVRR,Garten Yael,,0001178913-26-002297,2026-04-27,S,1138,10.57,18677,D,,,,,,
1762301,2026-04-29,FVRR,Garten Yael,,0001178913-26-002297,2026-04-27,S,1138,10.57,18677,D,non_derivative,Ordinary Shares,,,,
1762301,2026-05-01,FVRR,Kaufman Micha,,0001178913-26-002326,2026-04-29,S,400,13.11,2673126,D,non_derivative,Ordinary Shares,,,,
1762301,2026-05-01,FVRR,Kaufman Micha,,0001178913-26-002326,2026-04-29,M,66400,5.55,2673526,D,non_derivative,Ordinary Shares,,,,
1762301,2026-05-01,FVRR,Kaufman Micha,,0001178913-26-002326,2026-04-29,M,66400,0.0,24616,D,derivative,Share Options (Right to Buy),Ordinary Shares,66400.0,5.55,2028-06-13
1762301,2026-05-01,FVRR,Kaufman Micha,,0001178913-26-002326,2026-04-29,M,66400,5.55,2673526,D,,,,,,
1762301,2026-05-01,FVRR,Kaufman Micha,,0001178913-26-002326,2026-04-29,S,400,13.11,2673126,D,,,,,,
1762301,2026-06-02,FVRR,Katz Ofer,,0001178913-26-003062,2026-05-29,A,10000,9.34,569815,D,non_derivative,Ordinary Shares,,,,
1762301,2026-06-02,FVRR,Kaufman Micha,,0001178913-26-003060,2026-05-29,A,10000,9.34,2617126,D,non_derivative,Ordinary Shares,,,,
1762301,2026-06-02,FVRR,Katz Ofer,,0001178913-26-003062,2026-06-01,S,10000,11.26,559815,D,non_derivative,Ordinary Shares,,,,
1762301,2026-06-02,FVRR,Kaufman Micha,,0001178913-26-003060,2026-06-01,S,10000,11.26,2607126,D,non_derivative,Ordinary Shares,,,,
1762301,2026-06-02,FVRR,Levy Dadon Esther,,0001178913-26-003059,2026-05-29,A,4030,9.34,166602,D,non_derivative,Ordinary Shares,,,,
1762301,2026-06-02,FVRR,Levy Dadon Esther,,0001178913-26-003059,2026-06-01,S,4030,11.24,162572,D,non_derivative,Ordinary Shares,,,,
1762301,2026-06-02,FVRR,Qian Jinjin,,0001178913-26-003057,2026-05-29,A,1204,9.34,74260,D,non_derivative,Ordinary Shares,,,,
1762301,2026-06-02,FVRR,Qian Jinjin,,0001178913-26-003057,2026-06-01,S,1204,11.24,73056,D,non_derivative,Ordinary Shares,,,,
1762301,2026-06-04,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-257826,2026-06-02,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-04,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-257826,2026-06-03,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-08,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-261978,2026-06-04,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-08,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-261978,2026-06-05,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-10,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-266180,2026-06-09,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-10,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-266180,2026-06-08,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-12,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-269484,2026-06-10,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-12,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-269484,2026-06-11,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-15,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-271202,2026-06-12,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-15,FVRR,Fisher Adam Ralph,isDirector,0001193125-26-271202,2026-06-15,S,0,0.0,0,I,non_derivative,Ordinary Shares,,,,
1762301,2026-06-15,FVRR,Levy Dadon Esther,,0001178913-26-003190,2026-06-11,S,2000,10.0,160572,D,non_derivative,Ordinary Shares,,,,
1762301,2026-06-17,FVRR,Zohar Nir,,0001178913-26-003238,2026-06-15,S,4988,10.06,96914,D,non_derivative,Ordinary Shares,,,,
1762301,2026-07-14,FVRR,Levy Dadon Esther,,0001178913-26-003486,2026-07-10,S,2000,11.04,158572,D,non_derivative,Ordinary Shares,,,,
1762301,2026-07-17,FVRR,Zohar Nir,,0001178913-26-003520,2026-07-15,S,4982,11.31,91932,D,non_derivative,Ordinary Shares,,,,
1762301,2026-07-28,FVRR,Qian Jinjin,,0001178913-26-003614,2026-07-26,A,37500,0.0,108407,D,non_derivative,Ordinary Shares,,,,
1762301,2026-07-29,FVRR,Garten Yael,,0001178913-26-003689,2026-07-27,S,1138,10.71,17539,D,non_derivative,Ordinary Shares,,,,
