cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1932393,2023-01-05,GEHC,LAVIZZO-MOUREY RISA J,,0000899243-23-001119,2023-01-03,A,1041,,1041,D,,,,,,
1932393,2023-01-05,GEHC,Makela Jan,,0000899243-23-001113,2023-01-03,A,32,,32,D,,,,,,
1932393,2023-01-05,GEHC,Jimenez Frank R,,0000899243-23-001112,2023-01-03,A,185,,185,D,,,,,,
1932393,2023-01-05,GEHC,O'Neill Kevin Michael,,0000899243-23-001111,2023-01-03,A,59,,59,I,,,,,,
1932393,2023-01-05,GEHC,GENERAL ELECTRIC CO,,0000899243-23-001106,2023-01-03,J,363594837,,90331302,D,,,,,,
1932393,2023-01-05,GEHC,Rott Roland,,0000899243-23-001105,2023-01-03,A,245,,245,D,,,,,,
1932393,2023-01-05,GEHC,CULP H LAWRENCE JR,,0000899243-23-001103,2023-01-03,A,70403,,70403,I,,,,,,
1932393,2023-01-05,GEHC,Newcomb George A.,,0000899243-23-001100,2023-01-03,A,439,,439,D,,,,,,
1932393,2023-02-03,GEHC,Newcomb George A.,,0001628280-23-002267,2023-02-01,A,624,0.0,7472,D,,,,,,
1932393,2023-02-03,GEHC,Arduini Peter J,,0001628280-23-002266,2023-02-01,A,21425,0.0,41820,D,,,,,,
1932393,2023-02-03,GEHC,Jimenez Frank R,,0001628280-23-002264,2023-02-01,A,6249,0.0,64708,D,,,,,,
1932393,2023-02-03,GEHC,Zodl Helmut,,0001628280-23-002270,2023-02-01,A,5356,0.0,48275,D,,,,,,
1932393,2023-02-03,GEHC,Larson Betty D,,0001628280-23-002269,2023-02-01,A,4463,0.0,53631,D,,,,,,
1932393,2023-02-03,GEHC,O'Neill Kevin Michael,,0001628280-23-002268,2023-02-01,A,1964,0.0,24779,D,,,,,,
1932393,2023-02-03,GEHC,Kass-Hout Taha,,0001628280-23-002258,2023-02-02,A,49539,0.0,56145,D,,,,,,
1932393,2023-02-03,GEHC,Makela Jan,,0001628280-23-002256,2023-02-01,A,4910,0.0,65364,D,,,,,,
1932393,2023-02-03,GEHC,Westrick Thomas J.,,0001628280-23-002255,2023-02-01,A,1964,0.0,14509,D,,,,,,
1932393,2023-02-03,GEHC,Stacherski Kenneth R.,,0001628280-23-002262,2023-02-01,A,2678,0.0,55008,D,,,,,,
1932393,2023-02-03,GEHC,Rott Roland,,0001628280-23-002260,2023-02-01,A,2231,0.0,22964,D,,,,,,
1932393,2023-02-03,GEHC,Kass-Hout Taha,,0001628280-23-002258,2023-02-01,A,6606,0.0,6606,D,,,,,,
1932393,2023-03-03,GEHC,Stacherski Kenneth R.,,0001628280-23-006433,2023-03-01,A,4980,0.0,59988,D,,,,,,
1932393,2023-03-03,GEHC,Newcomb George A.,,0001628280-23-006435,2023-03-01,A,1328,0.0,8800,D,,,,,,
1932393,2023-03-03,GEHC,Westrick Thomas J.,,0001628280-23-006437,2023-03-01,F,1039,75.3,17122,D,,,,,,
1932393,2023-03-03,GEHC,Newcomb George A.,,0001628280-23-006435,2023-03-02,F,437,75.04,7994,D,,,,,,
1932393,2023-03-03,GEHC,Kass-Hout Taha,,0001628280-23-006436,2023-03-01,A,12284,0.0,68429,D,,,,,,
1932393,2023-03-03,GEHC,Makela Jan,,0001628280-23-006434,2023-03-01,F,3489,75.3,71005,D,,,,,,
1932393,2023-03-03,GEHC,Newcomb George A.,,0001628280-23-006435,2023-03-01,F,369,75.3,8431,D,,,,,,
1932393,2023-03-03,GEHC,Makela Jan,,0001628280-23-006434,2023-03-02,F,1525,75.04,69480,D,,,,,,
1932393,2023-03-03,GEHC,Makela Jan,,0001628280-23-006434,2023-03-01,A,9130,0.0,74494,D,,,,,,
1932393,2023-03-03,GEHC,Westrick Thomas J.,,0001628280-23-006437,2023-03-01,A,3652,0.0,18161,D,,,,,,
1932393,2023-03-03,GEHC,Westrick Thomas J.,,0001628280-23-006437,2023-03-02,F,565,75.04,16557,D,,,,,,
1932393,2023-03-03,GEHC,O'Neill Kevin Michael,,0001628280-23-006427,2023-03-01,F,1309,75.3,27122,D,,,,,,
1932393,2023-03-03,GEHC,Jimenez Frank R,,0001628280-23-006431,2023-03-01,A,11620,0.0,76328,D,,,,,,
1932393,2023-03-03,GEHC,Zodl Helmut,,0001628280-23-006432,2023-03-01,A,9960,0.0,58235,D,,,,,,
1932393,2023-03-03,GEHC,Rott Roland,,0001628280-23-006430,2023-03-01,F,928,75.3,26186,D,,,,,,
1932393,2023-03-03,GEHC,Zodl Helmut,,0001628280-23-006432,2023-03-01,F,1778,75.3,56457,D,,,,,,
1932393,2023-03-03,GEHC,Arduini Peter J,,0001628280-23-006429,2023-03-01,A,39425,0.0,81245,D,,,,,,
1932393,2023-03-03,GEHC,Rott Roland,,0001628280-23-006430,2023-03-01,A,4150,0.0,27114,D,,,,,,
1932393,2023-03-03,GEHC,O'Neill Kevin Michael,,0001628280-23-006427,2023-03-01,A,3652,0.0,28431,D,,,,,,
1932393,2023-03-03,GEHC,Rott Roland,,0001628280-23-006430,2023-03-02,F,541,75.04,25645,D,,,,,,
1932393,2023-03-03,GEHC,O'Neill Kevin Michael,,0001628280-23-006427,2023-03-02,F,763,75.04,26359,D,,,,,,
1932393,2023-03-03,GEHC,Larson Betty D,,0001628280-23-006428,2023-03-01,A,8300,0.0,61931,D,,,,,,
1932393,2023-03-16,GEHC,Makela Jan,,0001951803-23-000003,2023-03-14,M,240,63.51,69720,D,,,,,,
1932393,2023-03-16,GEHC,Makela Jan,,0001951803-23-000003,2023-03-14,S,64945,77.66,69480,D,,,,,,
1932393,2023-03-24,GEHC,CULP H LAWRENCE JR,,0001205247-23-000002,2023-01-23,P,748,69.26,1272,I,,,,,,
1932393,2023-04-03,GEHC,Rott Roland,,0001628280-23-010384,2023-04-01,F,837,82.12,24808,D,,,,,,
1932393,2023-04-03,GEHC,Zodl Helmut,,0001628280-23-010383,2023-04-01,F,3448,82.12,53009,D,,,,,,
1932393,2023-05-25,GEHC,Mihaljevic Tomislav,,0001628280-23-019791,2023-05-23,A,3584,0.0,3584,D,,,,,,
1932393,2023-05-25,GEHC,Madden Anne T,,0001628280-23-019789,2023-05-23,A,3584,0.0,3584,D,,,,,,
1932393,2023-05-25,GEHC,CULP H LAWRENCE JR,,0001628280-23-019786,2023-05-23,A,3584,0.0,584543,D,,,,,,
1932393,2023-05-25,GEHC,Hochman Rodney F,,0001628280-23-019785,2023-05-23,A,3584,0.0,3584,D,,,,,,
1932393,2023-05-25,GEHC,LESJAK CATHERINE A,,0001628280-23-019781,2023-05-23,A,3584,0.0,3584,D,,,,,,
1932393,2023-05-25,GEHC,LAVIZZO-MOUREY RISA J,,0001628280-23-019777,2023-05-23,A,3584,0.0,4625,D,,,,,,
1932393,2023-05-25,GEHC,HOWELL LLOYD JR,,0001628280-23-019775,2023-05-23,A,3584,0.0,3584,D,,,,,,
1932393,2023-05-25,GEHC,Yang Watkin Phoebe L.,,0001628280-23-019774,2023-05-23,A,3584,0.0,3584,D,,,,,,
1932393,2023-05-25,GEHC,Stromberg William J,,0001628280-23-019772,2023-05-23,A,3584,0.0,3584,D,,,,,,
1932393,2023-06-05,GEHC,SACCARO JAMES,,0001628280-23-020935,2023-06-01,A,43843,0.0,43843,D,,,,,,
