cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
882095,2017-03-02,GILD,Washington Robin L,,0001127602-17-009639,2017-02-28,G,11804,0.0,9602,D,,,,,,
882095,2017-03-02,GILD,Alton Gregg H,,0001127602-17-009630,2017-02-21,G,1430,0.0,122988,D,,,,,,
882095,2017-03-03,GILD,MARTIN JOHN C,,0001127602-17-010317,2017-03-01,M,73333,21.575,3199969,D,,,,,,
882095,2017-03-03,GILD,MARTIN JOHN C,,0001127602-17-010317,2017-03-01,S,73333,70.3804,3126636,D,,,,,,
882095,2017-03-03,GILD,MOORE NICHOLAS G,,0001127602-17-010300,2017-03-01,M,173,0.0,12055,D,,,,,,
882095,2017-04-03,GILD,Alton Gregg H,,0001127602-17-013648,2017-03-30,S,5000,67.4784,117988,D,,,,,,
882095,2017-04-05,GILD,MARTIN JOHN C,,0001127602-17-014344,2017-04-03,M,73333,21.575,3199969,D,,,,,,
882095,2017-04-05,GILD,MARTIN JOHN C,,0001127602-17-014344,2017-04-03,S,62833,67.0651,3137136,D,,,,,,
882095,2017-05-03,GILD,MARTIN JOHN C,,0001127602-17-016655,2017-05-01,M,73333,21.575,3199969,D,,,,,,
882095,2017-05-03,GILD,MARTIN JOHN C,,0001127602-17-016655,2017-05-01,S,73333,68.3107,3126636,D,,,,,,
882095,2017-05-03,GILD,Alton Gregg H,,0001127602-17-016652,2017-05-01,S,5000,68.3058,112988,D,,,,,,
882095,2017-05-11,GILD,WOLD OLSEN PER,,0001127602-17-017800,2017-05-09,M,1787,,93330,D,,,,,,
882095,2017-05-11,GILD,WILSON GAYLE E,,0001127602-17-017798,2017-05-09,M,1787,,122258,D,,,,,,
882095,2017-05-11,GILD,MADIGAN JOHN W,,0001127602-17-017796,2017-05-09,M,1787,,18548,D,,,,,,
882095,2017-05-11,GILD,Lofton Kevin E,,0001127602-17-017794,2017-05-09,M,1787,,30124,D,,,,,,
882095,2017-05-11,GILD,Cogan John Francis,,0001127602-17-017792,2017-05-09,M,1787,,47562,D,,,,,,
882095,2017-05-11,GILD,Cogan John Francis,,0001127602-17-017792,2017-05-09,S,9943,67.25,52619,D,,,,,,
882095,2017-05-12,GILD,YOUNG KEVIN,,0001127602-17-017962,2017-05-10,A,6810,0.0,9691,D,,,,,,
882095,2017-05-12,GILD,YOUNG KEVIN,,0001127602-17-017962,2017-05-10,F,3460,66.92,6231,D,,,,,,
882095,2017-06-05,GILD,MARTIN JOHN C,,0001127602-17-020596,2017-06-01,M,73333,21.575,3273302,D,,,,,,
882095,2017-06-05,GILD,MARTIN JOHN C,,0001127602-17-020596,2017-06-01,S,73333,65.2439,3199969,D,,,,,,
882095,2017-06-05,GILD,Alton Gregg H,,0001127602-17-020590,2017-06-01,S,5000,65.0227,107988,D,,,,,,
882095,2017-07-06,GILD,MARTIN JOHN C,,0001127602-17-023302,2017-07-03,M,73333,21.575,3199969,D,,,,,,
882095,2017-07-06,GILD,MARTIN JOHN C,,0001127602-17-023302,2017-07-03,S,73333,71.0034,3126636,D,,,,,,
882095,2017-07-06,GILD,Alton Gregg H,,0001127602-17-023295,2017-07-03,S,5000,71.059,102988,D,,,,,,
882095,2017-07-25,GILD,Alton Gregg H,,0001127602-17-024126,2017-07-21,M,34500,26.99,137488,D,,,,,,
882095,2017-07-25,GILD,Alton Gregg H,,0001127602-17-024126,2017-07-21,S,34500,74.0,102988,D,,,,,,
882095,2017-08-03,GILD,Alton Gregg H,,0001127602-17-024923,2017-08-01,M,8625,26.99,106113,D,,,,,,
882095,2017-08-03,GILD,Alton Gregg H,,0001127602-17-024923,2017-08-01,S,15000,75.8793,91113,D,,,,,,
882095,2017-08-03,GILD,MARTIN JOHN C,,0001127602-17-024921,2017-08-01,M,73333,21.575,3199969,D,,,,,,
882095,2017-08-03,GILD,MARTIN JOHN C,,0001127602-17-024921,2017-08-01,S,73333,75.8564,3126636,D,,,,,,
882095,2017-08-14,GILD,YOUNG KEVIN,,0001127602-17-025602,2017-08-10,M,910,0.0,7141,D,,,,,,
882095,2017-08-14,GILD,YOUNG KEVIN,,0001127602-17-025602,2017-08-10,F,453,72.7,6688,D,,,,,,
882095,2017-08-14,GILD,Meyers James R,,0001127602-17-025600,2017-08-10,M,820,0.0,3535,D,,,,,,
882095,2017-08-14,GILD,Meyers James R,,0001127602-17-025600,2017-08-10,F,295,72.7,3240,D,,,,,,
882095,2017-08-14,GILD,Meyers James R,,0001127602-17-025600,2017-08-10,G,525,0.0,2715,D,,,,,,
882095,2017-08-22,GILD,Kramer Kelly A.,,0001127602-17-026246,2017-08-19,M,1339,,1339,D,,,,,,
882095,2017-08-31,GILD,Meyers James R,,0001127602-17-026760,2017-08-15,A,115,59.7635,2830,D,,,,,,
882095,2017-08-31,GILD,Meyers James R,,0001127602-17-026760,2017-08-15,G,115,0.0,2715,D,,,,,,
882095,2017-09-01,GILD,Alton Gregg H,,0001127602-17-026845,2017-08-30,M,22124,24.905,113237,D,,,,,,
882095,2017-09-01,GILD,Alton Gregg H,,0001127602-17-026845,2017-08-30,S,50000,79.0,84238,D,,,,,,
882095,2017-09-05,GILD,Meyers James R,,0001127602-17-026989,2017-08-31,M,60000,21.0,62715,D,,,,,,
882095,2017-09-05,GILD,Meyers James R,,0001127602-17-026989,2017-08-31,S,43300,83.0142,19415,D,,,,,,
882095,2017-09-06,GILD,MARTIN JOHN C,,0001127602-17-027110,2017-08-31,G,129870,0.0,2996766,D,,,,,,
882095,2017-09-06,GILD,MARTIN JOHN C,,0001127602-17-027110,2017-09-01,M,73333,21.575,3070099,D,,,,,,
882095,2017-09-06,GILD,MARTIN JOHN C,,0001127602-17-027110,2017-09-01,S,58338,83.0316,3011761,D,,,,,,
882095,2017-09-06,GILD,Alton Gregg H,,0001127602-17-027101,2017-09-01,M,17250,24.905,101488,D,,,,,,
882095,2017-09-06,GILD,Alton Gregg H,,0001127602-17-027101,2017-09-01,S,21263,82.9601,80225,D,,,,,,
882095,2017-09-11,GILD,Washington Robin L,,0001127602-17-027282,2017-09-07,M,33750,24.295,43352,D,,,,,,
882095,2017-09-11,GILD,Washington Robin L,,0001127602-17-027282,2017-09-07,S,33750,85.0,9602,D,,,,,,
882095,2017-10-04,GILD,Alton Gregg H,,0001127602-17-029287,2017-10-02,M,17250,24.905,93738,D,,,,,,
882095,2017-10-04,GILD,Alton Gregg H,,0001127602-17-029287,2017-10-02,S,2921,81.8406,90817,D,,,,,,
882095,2017-10-04,GILD,MARTIN JOHN C,,0001127602-17-029284,2017-10-02,M,73333,21.575,3070099,D,,,,,,
882095,2017-10-04,GILD,MARTIN JOHN C,,0001127602-17-029284,2017-10-02,S,5200,81.82,3064899,D,,,,,,
882095,2017-11-03,GILD,MARTIN JOHN C,,0001127602-17-031275,2017-11-01,M,73333,21.575,3070099,D,,,,,,
882095,2017-11-03,GILD,MARTIN JOHN C,,0001127602-17-031275,2017-11-01,S,65856,75.079,3004243,D,,,,,,
882095,2017-11-03,GILD,Alton Gregg H,,0001127602-17-031273,2017-11-01,M,8625,24.905,77363,D,,,,,,
882095,2017-11-03,GILD,Alton Gregg H,,0001127602-17-031273,2017-11-01,S,13400,74.7397,63963,D,,,,,,
882095,2017-11-07,GILD,Meyers James R,,0001127602-17-031522,2017-11-05,M,4500,0.0,7215,D,,,,,,
882095,2017-11-07,GILD,Meyers James R,,0001127602-17-031522,2017-11-05,F,2212,73.46,5003,D,,,,,,
882095,2017-11-07,GILD,Meyers James R,,0001127602-17-031522,2017-11-05,G,2288,0.0,2715,D,,,,,,
882095,2017-11-13,GILD,Meyers James R,,0001127602-17-031967,2017-11-09,F,1373,73.02,4042,D,,,,,,
882095,2017-11-13,GILD,Meyers James R,,0001127602-17-031967,2017-11-09,G,1327,0.0,2715,D,,,,,,
