cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
40704,2018-02-27,GIS,Uribe Jorge A.,,0000897101-18-000168,2018-02-25,A,344.0,54.45,8384.0,D,,,,,,
40704,2018-02-27,GIS,Uribe Jorge A.,,0000897101-18-000168,2018-02-25,F,83.0,54.48,8301.0,D,,,,,,
40704,2018-02-27,GIS,HENRY MARIA,,0000897101-18-000167,2018-02-25,A,367.0,54.48,11379.0,D,,,,,,
40704,2018-02-27,GIS,Cordani David,,0000897101-18-000166,2018-02-25,A,458.0,54.48,17874.0,D,,,,,,
40704,2018-03-01,GIS,ANDERSON BRADBURY H,,0000897101-18-000185,2018-02-27,M,20000.0,27.98,28832.0,I,,,,,,
40704,2018-03-01,GIS,ANDERSON BRADBURY H,,0000897101-18-000185,2018-02-27,F,8832.0,50.78,20000.0,I,,,,,,
40704,2018-03-28,GIS,HARMENING JEFFREY L,,0000897101-18-000321,2018-03-27,M,23500.0,31.7,134051.7512,D,,,,,,
40704,2018-03-28,GIS,HARMENING JEFFREY L,,0000897101-18-000321,2018-03-27,F,19914.0,45.31,114137.7512,D,,,,,,
40704,2018-05-24,GIS,HARMENING JEFFREY L,,0001387131-18-002349,2018-05-23,P,6000.0,42.1847,24213.0,I,,,,,,
40704,2018-05-30,GIS,Cordani David,,0001387131-18-002444,2018-05-27,A,591.0,42.29,18465.0,D,,,,,,
40704,2018-05-30,GIS,HENRY MARIA,,0001387131-18-002442,2018-05-27,A,472.0,42.29,11851.0,D,,,,,,
40704,2018-05-30,GIS,Uribe Jorge A.,,0001387131-18-002440,2018-05-27,A,443.0,42.29,8744.0,D,,,,,,
40704,2018-05-30,GIS,Uribe Jorge A.,,0001387131-18-002440,2018-05-27,F,107.0,42.29,8637.0,D,,,,,,
40704,2018-06-05,GIS,Williams-Roll Jacqueline,,0001387131-18-002547,2018-06-03,F,680.0,42.6,29142.0655,D,,,,,,
40704,2018-06-05,GIS,Bruce Kofi A,,0001387131-18-002545,2018-06-03,F,670.0,42.6,18331.0,D,,,,,,
40704,2018-06-07,GIS,Williams-Roll Jacqueline,,0001387131-18-002569,2018-06-05,G,235.0,0.0,12720.591,I,,,,,,
