cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
24741,2021-01-11,GLW,WEEKS WENDELL P,,0001127602-21-001424,2021-01-07,M,5449.0,0.0,5449.0,D,,,,,,
24741,2021-01-11,GLW,WEEKS WENDELL P,,0001127602-21-001424,2021-01-07,F,5449.0,36.98,0.0,D,,,,,,
24741,2021-01-11,GLW,Tripeny R Tony,,0001127602-21-001423,2021-01-07,M,1509.0,0.0,1509.0,D,,,,,,
24741,2021-01-11,GLW,Tripeny R Tony,,0001127602-21-001423,2021-01-07,F,1509.0,36.98,0.0,D,,,,,,
24741,2021-01-11,GLW,STEVERSON LEWIS A,,0001127602-21-001422,2021-01-07,M,1516.0,0.0,1516.0,D,,,,,,
24741,2021-01-11,GLW,STEVERSON LEWIS A,,0001127602-21-001422,2021-01-07,F,1516.0,36.98,0.0,D,,,,,,
24741,2021-01-11,GLW,Musser Eric S,,0001127602-21-001421,2021-01-07,M,1717.0,0.0,73918.0,D,,,,,,
24741,2021-01-11,GLW,Musser Eric S,,0001127602-21-001421,2021-01-07,F,1717.0,36.98,72201.0,D,,,,,,
24741,2021-01-11,GLW,Morse David L,,0001127602-21-001420,2021-01-07,M,1535.0,0.0,56835.0,D,,,,,,
24741,2021-01-11,GLW,Morse David L,,0001127602-21-001420,2021-01-07,F,1535.0,36.98,55300.0,D,,,,,,
24741,2021-01-11,GLW,McRae Lawrence D,,0001127602-21-001419,2021-01-07,M,1608.0,0.0,156453.0,D,,,,,,
24741,2021-01-11,GLW,McRae Lawrence D,,0001127602-21-001419,2021-01-07,F,1608.0,36.98,154845.0,D,,,,,,
24741,2021-01-11,GLW,Kinlin Clark S,,0001127602-21-001418,2021-01-07,M,1410.0,0.0,59686.0,D,,,,,,
24741,2021-01-11,GLW,Kinlin Clark S,,0001127602-21-001418,2021-01-07,F,1410.0,36.98,58276.0,D,,,,,,
24741,2021-01-11,GLW,France Robert P.,,0001127602-21-001416,2021-01-07,M,658.0,0.0,30658.0,D,,,,,,
24741,2021-01-11,GLW,France Robert P.,,0001127602-21-001416,2021-01-07,F,658.0,36.98,30000.0,D,,,,,,
24741,2021-01-11,GLW,Evenson Jeffrey W,,0001127602-21-001415,2021-01-07,M,1070.0,0.0,39704.0,D,,,,,,
24741,2021-01-11,GLW,Evenson Jeffrey W,,0001127602-21-001415,2021-01-07,F,1070.0,36.98,38634.0,D,,,,,,
24741,2021-01-11,GLW,Curran Martin J,,0001127602-21-001414,2021-01-07,M,1296.0,0.0,1296.0,D,,,,,,
24741,2021-01-11,GLW,Curran Martin J,,0001127602-21-001414,2021-01-07,F,1296.0,36.98,0.0,D,,,,,,
24741,2021-01-11,GLW,Clappin James P,,0001127602-21-001412,2021-01-07,M,1584.0,0.0,69671.24,D,,,,,,
24741,2021-01-11,GLW,Clappin James P,,0001127602-21-001412,2021-01-07,F,1584.0,36.98,68087.24,D,,,,,,
24741,2021-01-11,GLW,Bell Michael Alan,,0001127602-21-001409,2021-01-07,M,663.0,0.0,663.0,D,,,,,,
24741,2021-01-11,GLW,Bell Michael Alan,,0001127602-21-001409,2021-01-07,F,752.0,36.98,0.0,D,,,,,,
24741,2021-01-14,GLW,Bayne John P JR,,0001127602-21-001676,2021-01-12,M,255.0,0.0,457.0,D,,,,,,
24741,2021-01-14,GLW,Bayne John P JR,,0001127602-21-001676,2021-01-12,F,1026.0,37.46,202.0,D,,,,,,
24741,2021-02-02,GLW,Morse David L,,0001127602-21-003491,2021-02-01,M,100.0,22.03,600.0,I,,,,,,
24741,2021-02-02,GLW,Morse David L,,0001127602-21-003491,2021-02-01,S,100.0,36.0,500.0,I,,,,,,
24741,2021-02-05,GLW,WEEKS WENDELL P,,0001127602-21-004221,2021-02-03,M,4284.0,0.0,4284.0,D,,,,,,
24741,2021-02-05,GLW,WEEKS WENDELL P,,0001127602-21-004221,2021-02-03,F,4284.0,36.34,0.0,D,,,,,,
24741,2021-02-05,GLW,Kinlin Clark S,,0001127602-21-004209,2021-02-03,M,972.0,0.0,59248.0,D,,,,,,
24741,2021-02-05,GLW,Tripeny R Tony,,0001127602-21-004219,2021-02-03,F,1033.0,36.34,0.0,D,,,,,,
