cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
40987,2017-12-04,GPC,Yancey Carol B,,0001209191-17-063582,2017-12-01,M,3001,92.15,36610,D,,,,,,
40987,2017-12-04,GPC,Yancey Carol B,,0001209191-17-063582,2017-12-01,F,1108,92.15,35502,D,,,,,,
40987,2017-12-04,GPC,Neill James R,,0001209191-17-063579,2017-12-01,M,840,92.15,5581,D,,,,,,
40987,2017-12-04,GPC,Neill James R,,0001209191-17-063579,2017-12-01,F,311,92.15,5270,D,,,,,,
40987,2017-12-04,GPC,Maher Lee A,,0001209191-17-063576,2017-12-01,M,1828,92.15,51678,D,,,,,,
40987,2017-12-04,GPC,Maher Lee A,,0001209191-17-063576,2017-12-01,F,676,92.15,51002,D,,,,,,
40987,2017-12-04,GPC,GALLAGHER THOMAS,,0001209191-17-063575,2017-12-01,M,8103,92.15,582759,D,,,,,,
40987,2017-12-04,GPC,GALLAGHER THOMAS,,0001209191-17-063575,2017-12-01,F,4302,92.15,578457,D,,,,,,
40987,2017-12-04,GPC,Donahue Paul D,,0001209191-17-063574,2017-12-01,M,4306,92.15,72333,D,,,,,,
40987,2017-12-04,GPC,Donahue Paul D,,0001209191-17-063574,2017-12-01,F,2286,92.15,70047,D,,,,,,
40987,2018-01-16,GPC,Yancey Carol B,,0001209191-18-003588,2018-01-12,M,5350,102.51,40858,D,,,,,,
40987,2018-01-16,GPC,Yancey Carol B,,0001209191-18-003588,2018-01-12,F,3973,102.51,36885,D,,,,,,
40987,2018-01-16,GPC,Neill James R,,0001209191-18-003586,2018-01-12,M,3900,102.51,9170,D,,,,,,
40987,2018-01-16,GPC,Neill James R,,0001209191-18-003586,2018-01-12,F,2917,102.51,6253,D,,,,,,
40987,2018-01-16,GPC,Maher Lee A,,0001209191-18-003581,2018-01-12,M,7900,102.51,58910,D,,,,,,
40987,2018-01-16,GPC,Maher Lee A,,0001209191-18-003581,2018-01-12,F,5844,102.51,53066,D,,,,,,
40987,2018-01-16,GPC,Breen Timothy P,,0001209191-18-003579,2018-01-12,M,3000,102.51,6360,D,,,,,,
