cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
45012,2017-12-07,HAL,Voyles Robb L.,,0000045012-17-000249,2017-12-05,F,3810.0,43.06,206882.466,D,,,,,,
45012,2017-12-07,HAL,Pope Lawrence J,,0000045012-17-000245,2017-12-05,F,4246.0,43.06,167299.908,D,,,,,,
45012,2017-12-07,HAL,Pope Lawrence J,,0000045012-17-000245,2017-12-06,F,1695.0,43.89,165604.908,D,,,,,,
45012,2017-12-07,HAL,Miller Jeffrey Allen,,0000045012-17-000243,2017-12-05,F,9876.0,43.06,419375.064,D,,,,,,
45012,2017-12-07,HAL,McKeon Timothy,,0000045012-17-000241,2017-12-06,F,208.0,43.89,16886.0,D,,,,,,
45012,2017-12-07,HAL,LESAR DAVID J,,0000045012-17-000239,2017-12-06,F,7946.0,43.89,482685.713,D,,,,,,
45012,2017-12-07,HAL,Rainey Joe D,,0000045012-17-000247,2017-12-06,F,8431.0,43.06,195916.977,D,,,,,,
45012,2017-12-07,HAL,Brown James S,,0000045012-17-000233,2017-12-06,F,2907.0,43.89,112110.229,D,,,,,,
45012,2017-12-07,HAL,Miller Jeffrey Allen,,0000045012-17-000243,2017-12-06,F,3205.0,43.89,416170.064,D,,,,,,
45012,2017-12-07,HAL,McKeon Timothy,,0000045012-17-000241,2017-12-05,F,510.0,43.06,17094.0,D,,,,,,
45012,2017-12-07,HAL,Jones Myrtle L,,0000045012-17-000237,2017-12-05,F,505.0,43.06,14912.617,D,,,,,,
45012,2017-12-07,HAL,Jones Myrtle L,,0000045012-17-000237,2017-12-06,F,214.0,43.89,14965.041,D,,,,,,
45012,2017-12-07,HAL,Geer Charles Jr.,,0000045012-17-000235,2017-12-05,F,527.0,43.06,23663.09,D,,,,,,
45012,2017-12-07,HAL,Brown James S,,0000045012-17-000233,2017-12-05,F,15110.0,43.06,114535.794,D,,,,,,
45012,2017-12-08,HAL,Carre Eric,,0000045012-17-000264,2017-12-06,A,20700.0,43.38,182242.678,D,,,,,,
45012,2017-12-08,HAL,Geer Charles Jr.,,0000045012-17-000265,2017-12-06,A,3500.0,43.38,27163.09,D,,,,,,
45012,2017-12-08,HAL,Jones Myrtle L,,0000045012-17-000266,2017-12-06,A,3500.0,43.38,18465.041,D,,,,,,
45012,2017-12-08,HAL,Brown James S,,0000045012-17-000263,2017-12-06,A,29920.0,43.38,142030.229,D,,,,,,
45012,2017-12-08,HAL,LESAR DAVID J,,0000045012-17-000267,2017-12-06,A,93175.0,43.38,575860.713,D,,,,,,
45012,2017-12-08,HAL,Beaty Anne L.,,0000045012-17-000262,2017-12-06,A,3500.0,43.38,62688.087,D,,,,,,
45012,2017-12-08,HAL,Miller Jeffrey Allen,,0000045012-17-000269,2017-12-06,A,77100.0,43.38,493270.064,D,,,,,,
45012,2017-12-08,HAL,Voyles Robb L.,,0000045012-17-000272,2017-12-06,A,20600.0,43.38,227482.466,D,,,,,,
45012,2017-12-08,HAL,Weber Christopher T,,0000045012-17-000273,2017-12-06,A,20600.0,43.38,64628.0,D,,,,,,
45012,2017-12-08,HAL,Pope Lawrence J,,0000045012-17-000270,2017-12-06,A,20600.0,43.38,186204.908,D,,,,,,
45012,2017-12-08,HAL,Rainey Joe D,,0000045012-17-000271,2017-12-06,A,27600.0,43.38,219463.977,D,,,,,,
45012,2017-12-08,HAL,McKeon Timothy,,0000045012-17-000268,2017-12-06,A,3500.0,43.38,20386.0,D,,,,,,
45012,2017-12-11,HAL,Rainey Joe D,,0000045012-17-000283,2017-12-07,F,5338.0,43.63,214125.977,D,,,,,,
45012,2017-12-11,HAL,Pope Lawrence J,,0000045012-17-000281,2017-12-07,F,2333.0,43.63,183871.908,D,,,,,,
45012,2017-12-11,HAL,Miller Jeffrey Allen,,0000045012-17-000279,2017-12-07,F,4682.0,43.63,488588.064,D,,,,,,
45012,2017-12-11,HAL,Geer Charles Jr.,,0000045012-17-000277,2017-12-07,F,274.0,43.63,26889.09,D,,,,,,
