cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1501585,2020-07-06,HII,SCHIEVELBEIN THOMAS C,,0001209191-20-041296,2020-07-01,A,187.0,173.73,17258.906,I,,,,,,
1501585,2020-07-06,HII,KELLY ANASTASI D,,0001209191-20-041284,2020-07-01,A,187.0,173.73,2160.0,D,,,,,,
1501585,2020-07-06,HII,Collins Augustus L,,0001209191-20-041274,2020-07-01,A,187.0,173.73,3141.667,I,,,,,,
1501585,2020-07-06,HII,Wilson Stephen R,,0001209191-20-041212,2020-07-01,A,187.0,173.73,2956.19,I,,,,,,
1501585,2020-07-06,HII,WELCH JOHN K,,0001209191-20-041202,2020-07-01,A,187.0,173.73,3070.635,I,,,,,,
1501585,2020-07-06,HII,McKibben Tracy B,,0001209191-20-041186,2020-07-01,A,187.0,173.73,1138.087,I,,,,,,
1501585,2020-07-06,HII,Harker Victoria D,,0001209191-20-041162,2020-07-01,A,187.0,173.73,5951.0725,I,,,,,,
1501585,2020-07-06,HII,DONALD KIRKLAND H,,0001209191-20-041154,2020-07-01,A,187.0,173.73,2220.711,I,,,,,,
1501585,2020-07-06,HII,Bilden Philip M.,,0001209191-20-041104,2020-07-01,A,187.0,173.73,1667.0,D,,,,,,
1501585,2020-08-17,HII,Schuck Nicolas G,,0001209191-20-047020,2020-08-14,S,543.0,168.208,2096.596,D,,,,,,
1501585,2020-09-08,HII,ERMATINGER WILLIAM R,,0001209191-20-049747,2020-03-04,G,235.0,0.0,36668.005,D,,,,,,
1501585,2020-09-15,HII,Collins Augustus L,,0001209191-20-050536,2020-09-11,A,21.952,147.4,3163.619,I,,,,,,
1501585,2020-09-15,HII,Harker Victoria D,,0001209191-20-050553,2020-09-11,A,41.59,147.4,5992.6625,I,,,,,,
1501585,2020-09-15,HII,KELLY ANASTASI D,,0001209191-20-050558,2020-09-11,A,109.517,147.4,15782.29,I,,,,,,
1501585,2020-09-15,HII,DONALD KIRKLAND H,,0001209191-20-050548,2020-09-11,A,15.517,147.4,2236.228,I,,,,,,
1501585,2020-09-15,HII,SCHIEVELBEIN THOMAS C,,0001209191-20-050566,2020-09-11,A,120.6,147.4,17379.515,I,,,,,,
1501585,2020-09-15,HII,WELCH JOHN K,,0001209191-20-050569,2020-09-11,A,21.457,147.4,3092.092,I,,,,,,
1501585,2020-09-15,HII,Wilson Stephen R,,0001209191-20-050579,2020-09-11,A,20.657,147.4,2976.847,I,,,,,,
1501585,2020-09-15,HII,McKibben Tracy B,,0001209191-20-050563,2020-09-11,A,7.953,147.4,1146.04,I,,,,,,
1501585,2020-10-02,HII,Harker Victoria D,,0001209191-20-053310,2020-10-01,A,232.0,139.98,6224.6625,I,,,,,,
1501585,2020-10-02,HII,Bilden Philip M.,,0001209191-20-053247,2020-10-01,A,232.0,139.98,1899.0,D,,,,,,
1501585,2020-10-02,HII,Collins Augustus L,,0001209191-20-053274,2020-10-01,A,232.0,139.98,3617.619,I,,,,,,
1501585,2020-10-02,HII,Collins Augustus L,,0001209191-20-053274,2020-09-30,A,222.0,140.75,3385.619,I,,,,,,
1501585,2020-10-02,HII,DONALD KIRKLAND H,,0001209191-20-053296,2020-10-01,A,232.0,139.98,2468.228,I,,,,,,
1501585,2020-10-02,HII,KELLY ANASTASI D,,0001209191-20-053318,2020-10-01,A,232.0,139.98,2392.0,D,,,,,,
1501585,2020-10-02,HII,SCHIEVELBEIN THOMAS C,,0001209191-20-053330,2020-10-01,A,232.0,139.98,17611.515,I,,,,,,
1501585,2020-10-02,HII,WELCH JOHN K,,0001209191-20-053334,2020-10-01,A,232.0,139.98,3324.092,I,,,,,,
