cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1645590,2018-12-11,HPE,WHITMAN MARGARET C,,0001179706-18-000215,2018-12-07,M,153415.0,14.71,199054.0,D,,,,,,
1645590,2018-12-11,HPE,Rothman Irv,,0001179706-18-000213,2018-12-07,F,2733.0,14.71,28268.0,D,,,,,,
1645590,2018-12-11,HPE,Rothman Irv,,0001179706-18-000213,2018-12-09,M,14883.0,14.71,43151.0,D,,,,,,
1645590,2018-12-11,HPE,Davis Philip,,0001179706-18-000207,2018-12-07,F,5529.0,14.71,32804.0,D,,,,,,
1645590,2018-12-11,HPE,Davis Philip,,0001179706-18-000207,2018-12-07,M,11151.0,14.71,38333.0,D,,,,,,
1645590,2018-12-11,HPE,Karros Kirt P,,0001179706-18-000208,2018-12-07,F,5266.0,14.71,5354.0,D,,,,,,
1645590,2018-12-11,HPE,Rothman Irv,,0001179706-18-000213,2018-12-09,F,5771.0,14.71,37380.0,D,,,,,,
1645590,2018-12-11,HPE,Neri Antonio F,,0001179706-18-000211,2018-12-07,M,53105.0,14.71,140933.0,D,,,,,,
1645590,2018-12-11,HPE,Ricci Jeff T,,0001179706-18-000212,2018-12-07,M,10620.0,14.71,10620.0,D,,,,,,
1645590,2018-12-11,HPE,Rothman Irv,,0001179706-18-000213,2018-12-07,M,8541.0,14.71,31001.0,D,,,,,,
1645590,2018-12-11,HPE,Karros Kirt P,,0001179706-18-000208,2018-12-07,M,10620.0,14.71,10620.0,D,,,,,,
1645590,2018-12-11,HPE,Neri Antonio F,,0001179706-18-000211,2018-12-07,F,26331.0,14.71,114602.0,D,,,,,,
1645590,2018-12-11,HPE,Melkote Keerti,,0001179706-18-000210,2018-12-07,M,71997.0,14.71,71997.0,D,,,,,,
1645590,2018-12-11,HPE,Melkote Keerti,,0001179706-18-000210,2018-12-07,F,35697.0,14.71,36300.0,D,,,,,,
