cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
47111,2020-01-09,HSY,Arway Pamela M,,0001127602-20-001338,2020-01-08,S,371.0,145.48,15985.577,D,,,,,,
47111,2020-01-14,HSY,Buck Michele,,0001127602-20-001528,2020-01-10,S,1500.0,146.83,149429.0,D,,,,,,
47111,2020-01-14,HSY,Buck Michele,,0001127602-20-001528,2020-01-13,M,3832.0,81.73,153261.0,D,,,,,,
47111,2020-01-14,HSY,Buck Michele,,0001127602-20-001528,2020-01-13,S,3832.0,150.0,149429.0,D,,,,,,
47111,2020-01-15,HSY,Scalia Christopher M,,0001127602-20-001611,2020-01-13,F,152.0,149.69,5811.0,D,,,,,,
47111,2020-01-21,HSY,Buck Michele,,0001127602-20-002047,2020-01-17,S,3832.0,150.0,149429.0,D,,,,,,
47111,2020-01-21,HSY,Buck Michele,,0001127602-20-002047,2020-01-17,M,3832.0,81.73,153261.0,D,,,,,,
47111,2020-01-29,HSY,Reiman Jason,,0001127602-20-002596,2020-01-27,M,2905.0,105.91,9605.0,D,,,,,,
47111,2020-01-29,HSY,Reiman Jason,,0001127602-20-002596,2020-01-27,S,2905.0,155.0,6700.0,D,,,,,,
47111,2020-02-05,HSY,Buck Michele,,0001127602-20-003691,2020-02-03,M,3832.0,81.73,153261.0,D,,,,,,
47111,2020-02-05,HSY,Buck Michele,,0001127602-20-003691,2020-02-03,S,3832.0,155.83,149429.0,D,,,,,,
47111,2020-02-12,HSY,Buck Michele,,0001127602-20-005029,2020-02-10,S,1500.0,156.6,147929.0,D,,,,,,
47111,2020-02-19,HSY,Buck Michele,,0001127602-20-006315,2020-02-18,M,3832.0,81.73,151761.0,D,,,,,,
47111,2020-02-19,HSY,Buck Michele,,0001127602-20-006315,2020-02-18,S,3832.0,159.92,147929.0,D,,,,,,
47111,2020-02-19,HSY,Riggs Kristen J,,0001127602-20-006313,2020-02-18,F,19.0,160.06,3523.0,D,,,,,,
47111,2020-02-21,HSY,Scalia Christopher M,,0001127602-20-006910,2020-02-20,F,167.0,160.11,5644.0,D,,,,,,
47111,2020-02-21,HSY,Raup Charles R,,0001127602-20-006858,2020-02-20,F,74.0,160.11,5257.0,D,,,,,,
47111,2020-02-21,HSY,Buck Michele,,0001127602-20-006855,2020-02-20,F,1944.0,160.11,145985.0,D,,,,,,
47111,2020-02-21,HSY,Riggs Kristen J,,0001127602-20-006853,2020-02-20,F,43.0,160.11,3480.0,D,,,,,,
47111,2020-02-21,HSY,O'Day Terence L,,0001127602-20-006851,2020-02-20,F,233.0,160.11,26375.0,D,,,,,,
47111,2020-02-21,HSY,Reiman Jason,,0001127602-20-006849,2020-02-20,F,52.0,160.11,6648.0,D,,,,,,
47111,2020-02-25,HSY,Raup Charles R,,0001127602-20-007483,2020-02-24,F,53.0,158.94,5204.0,D,,,,,,
47111,2020-02-25,HSY,Scalia Christopher M,,0001127602-20-007480,2020-02-24,F,87.0,158.94,5557.0,D,,,,,,
47111,2020-02-25,HSY,Reiman Jason,,0001127602-20-007476,2020-02-24,F,39.0,158.94,6609.0,D,,,,,,
47111,2020-02-25,HSY,Riggs Kristen J,,0001127602-20-007471,2020-02-24,F,48.0,158.94,3432.0,D,,,,,,
47111,2020-02-25,HSY,O'Day Terence L,,0001127602-20-007463,2020-02-24,F,299.0,158.94,26076.0,D,,,,,,
47111,2020-02-27,HSY,O'Day Terence L,,0001127602-20-008126,2020-02-25,A,9001.0,0.0,35077.0,D,,,,,,
47111,2020-02-27,HSY,Buck Michele,,0001127602-20-008119,2020-02-25,A,45427.0,0.0,191412.0,D,,,,,,
47111,2020-02-27,HSY,Reiman Jason,,0001127602-20-008145,2020-02-25,F,183.0,157.32,9281.0,D,,,,,,
47111,2020-02-27,HSY,Voskuil Steven E,,0001127602-20-008150,2020-02-25,A,5181.0,0.0,18157.0,D,,,,,,
47111,2020-02-27,HSY,Reiman Jason,,0001127602-20-008145,2020-02-25,A,2855.0,0.0,9464.0,D,,,,,,
47111,2020-02-27,HSY,Buck Michele,,0001127602-20-008119,2020-02-25,F,13939.0,157.32,177473.0,D,,,,,,
47111,2020-02-27,HSY,O'Day Terence L,,0001127602-20-008126,2020-02-25,F,2226.0,157.32,32851.0,D,,,,,,
47111,2020-02-27,HSY,Scalia Christopher M,,0001127602-20-008110,2020-02-25,F,489.0,157.32,7975.0,D,,,,,,
47111,2020-02-27,HSY,Riggs Kristen J,,0001127602-20-008112,2020-02-25,F,173.0,157.32,5540.0,D,,,,,,
47111,2020-02-27,HSY,Scalia Christopher M,,0001127602-20-008110,2020-02-25,A,2907.0,0.0,8464.0,D,,,,,,
47111,2020-02-27,HSY,Atkins Damien,,0001127602-20-008117,2020-02-25,A,2228.0,0.0,6809.0,D,,,,,,
47111,2020-02-27,HSY,Raup Charles R,,0001127602-20-008114,2020-02-25,A,3570.0,0.0,8774.0,D,,,,,,
47111,2020-02-27,HSY,Riggs Kristen J,,0001127602-20-008112,2020-02-25,A,2281.0,0.0,5713.0,D,,,,,,
47111,2020-02-27,HSY,Raup Charles R,,0001127602-20-008114,2020-02-25,F,541.0,157.32,8233.0,D,,,,,,
47111,2020-03-03,HSY,Buck Michele,,0001127602-20-008780,2020-03-02,F,1545.0,152.36,175928.0,D,,,,,,
47111,2020-03-11,HSY,Buck Michele,,0001127602-20-010220,2020-03-10,S,1500.0,152.97,174428.0,D,,,,,,
47111,2020-03-13,HSY,PALMER ANTHONY J.,,0001127602-20-010566,2020-03-13,A,174.0,151.23,11567.577,D,,,,,,
47111,2020-03-13,HSY,Perez Juan R.,,0001127602-20-010564,2020-03-13,A,26.0,151.23,1061.266,D,,,,,,
47111,2020-03-13,HSY,Katzman James C,,0001127602-20-010562,2020-03-13,A,173.577,151.23,4266.948,D,,,,,,
47111,2020-03-27,HSY,Raup Charles R,,0001127602-20-012056,2020-03-26,F,101.0,132.45,8132.0,D,,,,,,
47111,2020-03-27,HSY,Riggs Kristen J,,0001127602-20-012060,2020-03-26,F,180.0,132.45,5360.0,D,,,,,,
47111,2020-03-27,HSY,Scalia Christopher M,,0001127602-20-012062,2020-03-26,F,231.0,132.45,7744.0,D,,,,,,
47111,2020-03-27,HSY,Reiman Jason,,0001127602-20-012058,2020-03-26,F,130.0,132.45,9151.0,D,,,,,,
47111,2020-03-27,HSY,Atkins Damien,,0001127602-20-012050,2020-03-26,F,263.0,132.45,6546.0,D,,,,,,
47111,2020-03-27,HSY,Buck Michele,,0001127602-20-012052,2020-03-26,F,2807.0,132.45,171621.0,D,,,,,,
47111,2020-03-27,HSY,O'Day Terence L,,0001127602-20-012054,2020-03-26,F,577.0,132.45,32274.0,D,,,,,,
47111,2020-04-02,HSY,DAVIS CHARLES A,,0001127602-20-012617,2020-04-01,A,299.155,0.0,24641.853,D,,,,,,
47111,2020-04-02,HSY,Arway Pamela M,,0001127602-20-012606,2020-04-01,A,299.155,0.0,16291.853,D,,,,,,
47111,2020-04-02,HSY,SHEDLARZ DAVID L,,0001127602-20-012649,2020-04-01,A,299.155,0.0,15010.1768,D,,,,,,
47111,2020-04-02,HSY,Katzman James C,,0001127602-20-012625,2020-04-01,A,299.155,0.0,4591.23,D,,,,,,
47111,2020-04-02,HSY,BROWN JAMES W,,0001127602-20-012611,2020-04-01,A,299.155,0.0,4417.829,D,,,,,,
