cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
4281,2017-02-15,ARNC,"ELLIOTT INTERNATIONAL, L.P.",,0001140361-17-007794,2017-02-15,P,289000.0,29.2671,32539451.0,D,,,,,,
4281,2017-02-15,ARNC,"ELLIOTT ASSOCIATES, L.P.",,0001140361-17-007793,2017-02-15,P,136000.0,29.2671,15312682.0,D,,,,,,
4281,2017-02-15,AA,Arconic Inc.,,0001675149-17-000019,2017-02-14,S,23353000.0,38.03,12958767.0,D,,,,,,
4281,2017-02-16,ARNC,"ELLIOTT INTERNATIONAL, L.P.",,0001140361-17-007997,2017-02-16,P,272000.0,29.2041,32811451.0,D,,,,,,
4281,2017-02-16,ARNC,"ELLIOTT ASSOCIATES, L.P.",,0001140361-17-007996,2017-02-16,P,128000.0,29.2041,15440682.0,D,,,,,,
4281,2017-02-17,ARNC,"ELLIOTT ASSOCIATES, L.P.",,0001140361-17-008168,2017-02-17,P,128000.0,29.7834,15568682.0,D,,,,,,
4281,2017-02-17,ARNC,"ELLIOTT INTERNATIONAL, L.P.",,0001140361-17-008166,2017-02-17,P,272000.0,29.7834,33083451.0,D,,,,,,
4281,2017-02-21,ARNC,"ELLIOTT INTERNATIONAL, L.P.",,0001140361-17-008428,2017-02-21,P,272000.0,30.1213,33355451.0,D,,,,,,
4281,2017-02-21,ARNC,"ELLIOTT ASSOCIATES, L.P.",,0001140361-17-008426,2017-02-21,P,128000.0,30.1213,15696682.0,D,,,,,,
4281,2017-02-22,ARNC,"ELLIOTT INTERNATIONAL, L.P.",,0001140361-17-008699,2017-02-22,P,510000.0,30.4554,33865451.0,D,,,,,,
4281,2017-02-22,ARNC,"ELLIOTT ASSOCIATES, L.P.",,0001140361-17-008698,2017-02-22,P,240000.0,30.4554,15936682.0,D,,,,,,
4281,2017-02-23,ARNC,"ELLIOTT INTERNATIONAL, L.P.",,0001140361-17-008879,2017-02-23,P,408000.0,30.0074,34273451.0,D,,,,,,
4281,2017-02-23,ARNC,"ELLIOTT ASSOCIATES, L.P.",,0001140361-17-008877,2017-02-23,P,192000.0,30.0074,16128682.0,D,,,,,,
4281,2017-02-24,ARNC,"ELLIOTT INTERNATIONAL, L.P.",,0001140361-17-009222,2017-02-24,P,169999.0,29.3259,34443450.0,D,,,,,,
4281,2017-02-24,ARNC,"ELLIOTT ASSOCIATES, L.P.",,0001140361-17-009221,2017-02-24,P,80001.0,29.3259,16208683.0,D,,,,,,
4281,2017-03-14,ARNC,Hess David P,,0000004281-17-000044,2017-03-10,A,711.0,0.0,4660.0,D,,,,,,
4281,2017-04-06,ARNC,TATA RATAN,,0000004281-17-000067,2017-04-04,A,568.0,26.38,25373.0,D,,,,,,
4281,2017-04-06,ARNC,RUSSO PATRICIA F,,0000004281-17-000066,2017-04-04,A,189.0,26.38,3301.0,D,,,,,,
4281,2017-04-06,ARNC,Reif Leo Rafael,,0000004281-17-000065,2017-04-04,A,1137.0,26.38,4249.0,D,,,,,,
4281,2017-04-06,ARNC,ONEAL E STANLEY,,0000004281-17-000064,2017-04-04,A,1241.0,26.38,4353.0,D,,,,,,
4281,2017-04-06,ARNC,COLLINS ARTHUR D JR,,0000004281-17-000063,2017-04-04,A,1326.0,26.38,21105.0,D,,,,,,
4281,2017-04-06,ARNC,Alving Amy E,,0000004281-17-000062,2017-04-04,A,1241.0,26.38,4353.0,D,,,,,,
4281,2017-05-31,ARNC,AYERS CHRISTOPHER L,,0000004281-17-000074,2017-05-26,P,7325.0,27.3091,7425.0,D,,,,,,
4281,2017-06-01,ARNC,Richardson Julie,,0000004281-17-000101,2017-05-30,A,4409.0,0.0,7521.0,D,,,,,,
4281,2017-06-01,ARNC,Merrin Patrice E,,0000004281-17-000098,2017-05-30,A,4409.0,0.0,14409.0,D,,,,,,
4281,2017-06-01,ARNC,PLANT JOHN C,,0000004281-17-000099,2017-05-30,A,4409.0,0.0,7521.0,D,,,,,,
4281,2017-06-01,ARNC,RUSSO PATRICIA F,,0000004281-17-000102,2017-05-30,A,4409.0,0.0,7710.0,D,,,,,,
4281,2017-06-01,ARNC,SCHMIDT ULRICH,,0000004281-17-000103,2017-05-30,A,4409.0,0.0,10854.0,D,,,,,,
4281,2017-06-01,ARNC,Merrin Patrice E,,0000004281-17-000098,2017-05-30,P,5000.0,27.15,5000.0,D,,,,,,
4281,2017-06-01,ARNC,COLLINS ARTHUR D JR,,0000004281-17-000094,2017-05-30,A,4409.0,0.0,25513.0,D,,,,,,
4281,2017-06-01,ARNC,Mahoney Sean O,,0000004281-17-000097,2017-05-30,A,4409.0,0.0,7521.0,D,,,,,,
4281,2017-06-01,ARNC,AYERS CHRISTOPHER L,,0000004281-17-000093,2017-05-30,A,4409.0,0.0,11834.0,D,,,,,,
4281,2017-06-01,ARNC,GUPTA RAJIV,,0000004281-17-000096,2017-05-30,A,4409.0,0.0,7521.0,D,,,,,,
4281,2017-06-01,ARNC,ALBAUGH JAMES F,,0000004281-17-000092,2017-05-30,A,4409.0,0.0,4409.0,D,,,,,,
4281,2017-06-01,ARNC,DOTY ELMER L,,0000004281-17-000095,2017-05-30,A,4409.0,0.0,4409.0,D,,,,,,
4281,2017-06-01,ARNC,ONEAL E STANLEY,,0000004281-17-000100,2017-05-30,A,4409.0,0.0,8762.0,D,,,,,,
4281,2017-07-07,ARNC,COLLINS ARTHUR D JR,,0000004281-17-000109,2017-07-06,A,1527.0,22.92,27040.0,D,,,,,,
4281,2017-07-07,ARNC,ONEAL E STANLEY,,0000004281-17-000108,2017-07-06,A,1428.0,22.92,10190.0,D,,,,,,
4281,2017-07-07,ARNC,RUSSO PATRICIA F,,0000004281-17-000107,2017-07-06,A,218.0,22.92,7928.0,D,,,,,,
4281,2017-08-10,ARNC,Myron W Paul,,0000004281-17-000115,2017-08-09,I,5347.859,24.755,15597.4354,I,,,,,,
4281,2017-08-10,ARNC,DOTY ELMER L,,0000004281-17-000114,2017-08-08,P,2000.0,25.0,2000.0,I,,,,,,
4281,2017-08-10,ARNC,DOTY ELMER L,,0000004281-17-000114,2017-08-10,P,2000.0,24.5,4000.0,I,,,,,,
4281,2017-08-10,ARNC,ALBAUGH JAMES F,,0000004281-17-000113,2017-08-09,P,5000.0,24.9438,9409.0,D,,,,,,
4281,2017-08-15,ARNC,RUSSO PATRICIA F,,0000004281-17-000117,2017-08-15,P,15000.0,24.5717,18333.0,I,,,,,,
4281,2017-10-04,ARNC,COLLINS ARTHUR D JR,,0000004281-17-000127,2017-10-03,A,1339.0,26.13,28379.0,D,,,,,,
4281,2017-10-04,ARNC,ONEAL E STANLEY,,0000004281-17-000126,2017-10-03,A,1253.0,26.13,11443.0,D,,,,,,
4281,2017-10-04,ARNC,RUSSO PATRICIA F,,0000004281-17-000125,2017-10-03,A,191.0,26.13,8119.0,D,,,,,,
