cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
51143,2019-06-03,IBM,Del Bene Robert F,isOfficer,0001562180-19-003217,2019-06-01,M,690.0,0.0,9383.797,D,,,,,,
51143,2019-06-03,IBM,Del Bene Robert F,isOfficer,0001562180-19-003217,2019-06-01,F,264.0,127.59,9119.797,D,,,,,,
51143,2019-06-05,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-19-003335,2019-06-04,S,2083.0,132.0,34464.765,D,,,,,,
51143,2019-06-11,IBM,Rometty Virginia M,"isDirector,isOfficer",0001562180-19-003472,2019-06-08,M,8026.0,0.0,19822.9605,D,,,,,,
51143,2019-06-11,IBM,Rometty Virginia M,"isDirector,isOfficer",0001562180-19-003472,2019-06-08,F,3931.0,133.47,15891.9605,D,,,,,,
51143,2019-06-11,IBM,Schroeter Martin J,isOfficer,0001562180-19-003471,2019-06-08,M,3017.0,0.0,84825.8848,D,,,,,,
51143,2019-06-11,IBM,Schroeter Martin J,isOfficer,0001562180-19-003471,2019-06-08,F,1478.0,133.47,83347.8848,D,,,,,,
51143,2019-06-11,IBM,Del Bene Robert F,isOfficer,0001562180-19-003470,2019-06-08,M,277.0,0.0,9396.797,D,,,,,,
51143,2019-06-11,IBM,Del Bene Robert F,isOfficer,0001562180-19-003470,2019-06-08,F,106.0,133.47,9290.797,D,,,,,,
51143,2019-06-11,IBM,BROWDY MICHELLE H,isOfficer,0001562180-19-003469,2019-06-08,M,1991.0,0.0,49560.491,D,,,,,,
51143,2019-06-11,IBM,BROWDY MICHELLE H,isOfficer,0001562180-19-003469,2019-06-08,F,975.0,133.47,48585.491,D,,,,,,
51143,2019-06-11,IBM,Gherson Diane J,isOfficer,0001562180-19-003468,2019-06-08,M,1931.0,0.0,20286.5764,D,,,,,,
51143,2019-06-11,IBM,Gherson Diane J,isOfficer,0001562180-19-003468,2019-06-08,F,936.0,133.47,19350.5764,D,,,,,,
51143,2019-06-11,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-19-003467,2019-06-08,M,2112.0,0.0,62522.5417,D,,,,,,
51143,2019-06-11,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-19-003467,2019-06-08,F,1025.0,133.47,61497.5417,D,,,,,,
51143,2019-06-11,IBM,KELLY JOHN E III,isOfficer,0001562180-19-003466,2019-06-08,M,3319.0,0.0,79412.3325,D,,,,,,
51143,2019-06-11,IBM,KELLY JOHN E III,isOfficer,0001562180-19-003466,2019-06-08,F,1626.0,133.47,77786.3325,D,,,,,,
51143,2019-06-11,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-19-003465,2019-06-08,M,1991.0,0.0,36455.765,D,,,,,,
51143,2019-06-11,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-19-003465,2019-06-08,F,974.0,133.47,35481.765,D,,,,,,
51143,2019-06-12,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-19-003500,2019-06-11,S,2690.0,135.5,34664.765,D,,,,,,
51143,2019-06-17,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-19-003548,2019-06-14,S,2227.0,135.15,32877.596,D,,,,,,
51143,2019-12-23,IBM,BROWDY MICHELLE H,isOfficer,0001562180-19-006246,2019-12-22,M,7813.0,0.0,60132.472,D,,,,,,
51143,2019-12-23,IBM,BROWDY MICHELLE H,isOfficer,0001562180-19-006246,2019-12-22,F,3827.0,135.73,56305.472,D,,,,,,
51143,2020-01-02,IBM,KELLY JOHN E III,isOfficer,0001562180-20-000047,2019-11-21,G,3283.0,0.0,77754.6765,D,,,,,,
51143,2020-01-02,IBM,KELLY JOHN E III,isOfficer,0001562180-20-000047,2019-12-30,M,13981.0,0.0,99698.5656,D,,,,,,
51143,2020-01-02,IBM,KELLY JOHN E III,isOfficer,0001562180-20-000047,2019-12-30,F,6847.0,133.9,92851.5656,D,,,,,,
51143,2020-02-04,IBM,Del Bene Robert F,isOfficer,0001562180-20-000874,2020-02-01,F,1210.0,142.42,12590.797,D,,,,,,
51143,2020-02-04,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-20-000871,2020-02-01,A,13372.0,0.0,77431.5144,D,,,,,,
51143,2020-02-04,IBM,Gherson Diane J,isOfficer,0001562180-20-000873,2020-02-01,F,4649.0,142.42,28448.6141,D,,,,,,
51143,2020-02-04,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-20-000871,2020-02-01,F,5458.0,142.42,71973.5144,D,,,,,,
51143,2020-02-04,IBM,BROWDY MICHELLE H,isOfficer,0001562180-20-000875,2020-02-01,A,11700.0,0.0,68005.472,D,,,,,,
51143,2020-02-04,IBM,BROWDY MICHELLE H,isOfficer,0001562180-20-000875,2020-02-01,F,4700.0,142.42,63305.472,D,,,,,,
51143,2020-02-04,IBM,Del Bene Robert F,isOfficer,0001562180-20-000874,2020-02-01,A,3086.0,0.0,13800.797,D,,,,,,
51143,2020-02-04,IBM,Gherson Diane J,isOfficer,0001562180-20-000873,2020-02-01,A,11700.0,0.0,33097.6141,D,,,,,,
51143,2020-02-04,IBM,Rometty Virginia M,"isDirector,isOfficer",0001562180-20-000868,2020-02-01,A,44460.0,0.0,56525.2959,D,,,,,,
51143,2020-02-04,IBM,Rometty Virginia M,"isDirector,isOfficer",0001562180-20-000868,2020-02-01,F,20716.0,142.42,35809.2959,D,,,,,,
51143,2020-02-04,IBM,Schroeter Martin J,isOfficer,0001562180-20-000867,2020-02-01,A,18386.0,0.0,104873.7688,D,,,,,,
51143,2020-02-04,IBM,Schroeter Martin J,isOfficer,0001562180-20-000867,2020-02-01,F,7969.0,142.42,96904.7688,D,,,,,,
51143,2020-02-04,IBM,KELLY JOHN E III,isOfficer,0001562180-20-000870,2020-02-01,F,7971.0,142.42,95556.6916,D,,,,,,
51143,2020-02-04,IBM,KELLY JOHN E III,isOfficer,0001562180-20-000870,2020-02-01,A,18386.0,0.0,103527.6916,D,,,,,,
51143,2020-02-04,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-20-000869,2020-02-01,F,4697.0,142.42,40654.659,D,,,,,,
51143,2020-02-04,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-20-000869,2020-02-01,A,11700.0,0.0,45351.659,D,,,,,,
51143,2020-02-18,IBM,Del Bene Robert F,isOfficer,0001562180-20-001305,2020-02-14,S,75.0,151.95,12515.797,D,,,,,,
51143,2020-02-21,IBM,Del Bene Robert F,isOfficer,0001562180-20-001486,2020-02-19,S,182.0,150.8,11233.797,D,,,,,,
51143,2020-02-21,IBM,Del Bene Robert F,isOfficer,0001562180-20-001486,2020-02-20,S,200.0,151.18,10040.797,D,,,,,,
51143,2020-02-27,IBM,Del Bene Robert F,isOfficer,0001562180-20-001794,2020-02-26,S,100.0,140.18,8965.797,D,,,,,,
51143,2020-06-02,IBM,Del Bene Robert F,isOfficer,0001562180-20-004108,2020-06-01,M,690.0,0.0,8605.776,D,,,,,,
51143,2020-06-02,IBM,Del Bene Robert F,isOfficer,0001562180-20-004108,2020-06-01,F,264.0,124.89,8341.776,D,,,,,,
51143,2020-06-09,IBM,KELLY JOHN E III,isOfficer,0001562180-20-004397,2020-06-07,M,3891.0,0.0,99878.3586,D,,,,,,
51143,2020-06-09,IBM,Del Bene Robert F,isOfficer,0001562180-20-004400,2020-06-07,F,710.0,132.985,9020.776,D,,,,,,
51143,2020-06-09,IBM,BROWDY MICHELLE H,isOfficer,0001562180-20-004401,2020-06-08,M,1750.0,0.0,67325.237,D,,,,,,
51143,2020-06-09,IBM,Del Bene Robert F,isOfficer,0001562180-20-004400,2020-06-08,M,605.0,0.0,9625.776,D,,,,,,
51143,2020-06-09,IBM,BROWDY MICHELLE H,isOfficer,0001562180-20-004401,2020-06-08,F,857.0,134.075,66468.237,D,,,,,,
51143,2020-06-09,IBM,Del Bene Robert F,isOfficer,0001562180-20-004400,2020-06-07,M,1389.0,0.0,9730.776,D,,,,,,
51143,2020-06-09,IBM,BROWDY MICHELLE H,isOfficer,0001562180-20-004401,2020-06-07,M,2788.0,0.0,66941.237,D,,,,,,
51143,2020-06-09,IBM,Del Bene Robert F,isOfficer,0001562180-20-004400,2020-06-08,F,322.0,134.075,9303.776,D,,,,,,
51143,2020-06-09,IBM,KELLY JOHN E III,isOfficer,0001562180-20-004397,2020-06-07,F,1906.0,132.985,97972.3586,D,,,,,,
51143,2020-06-09,IBM,Gherson Diane J,isOfficer,0001562180-20-004399,2020-06-07,F,1351.0,132.985,29977.5164,D,,,,,,
51143,2020-06-09,IBM,Gherson Diane J,isOfficer,0001562180-20-004399,2020-06-08,M,1750.0,0.0,31727.5164,D,,,,,,
51143,2020-06-09,IBM,Gherson Diane J,isOfficer,0001562180-20-004399,2020-06-08,F,848.0,134.075,30879.5164,D,,,,,,
51143,2020-06-09,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-20-004398,2020-06-07,F,1822.0,132.985,73942.8498,D,,,,,,
51143,2020-06-09,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-20-004398,2020-06-07,M,3761.0,0.0,75764.8498,D,,,,,,
51143,2020-06-09,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-20-004398,2020-06-08,M,2000.0,0.0,75942.8498,D,,,,,,
51143,2020-06-09,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-20-004398,2020-06-08,F,969.0,134.075,74973.8498,D,,,,,,
51143,2020-06-09,IBM,BROWDY MICHELLE H,isOfficer,0001562180-20-004401,2020-06-07,F,1366.0,132.985,65575.237,D,,,,,,
51143,2020-06-09,IBM,Gherson Diane J,isOfficer,0001562180-20-004399,2020-06-07,M,2788.0,0.0,31328.5164,D,,,,,,
51143,2020-06-09,IBM,Schroeter Martin J,isOfficer,0001562180-20-004393,2020-06-07,F,2954.0,132.985,100058.786,D,,,,,,
51143,2020-06-09,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-20-004396,2020-06-07,F,1325.0,132.985,42660.761,D,,,,,,
51143,2020-06-09,IBM,KELLY JOHN E III,isOfficer,0001562180-20-004397,2020-06-08,F,1347.0,134.075,99375.3586,D,,,,,,
51143,2020-06-09,IBM,KRISHNA ARVIND,"isDirector,isOfficer",0001562180-20-004395,2020-06-07,M,3891.0,0.0,75526.119,D,,,,,,
51143,2020-06-09,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-20-004396,2020-06-08,M,1750.0,0.0,44410.761,D,,,,,,
51143,2020-06-09,IBM,KRISHNA ARVIND,"isDirector,isOfficer",0001562180-20-004395,2020-06-07,F,1870.0,132.985,73656.119,D,,,,,,
51143,2020-06-09,IBM,KRISHNA ARVIND,"isDirector,isOfficer",0001562180-20-004395,2020-06-08,F,1015.0,134.075,74754.119,D,,,,,,
51143,2020-06-09,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-20-004396,2020-06-07,M,2788.0,0.0,43985.761,D,,,,,,
51143,2020-06-09,IBM,KRISHNA ARVIND,"isDirector,isOfficer",0001562180-20-004395,2020-06-08,M,2113.0,0.0,75769.119,D,,,,,,
51143,2020-06-09,IBM,KEVERIAN KENNETH M,isOfficer,0001562180-20-004396,2020-06-08,F,848.0,134.075,43562.761,D,,,,,,
51143,2020-06-09,IBM,Rometty Virginia M,"isDirector,isOfficer",0001562180-20-004394,2020-06-07,M,8625.0,0.0,21018.9393,D,,,,,,
51143,2020-06-09,IBM,Rometty Virginia M,"isDirector,isOfficer",0001562180-20-004394,2020-06-07,F,4224.0,132.985,16794.9393,D,,,,,,
51143,2020-06-09,IBM,Rometty Virginia M,"isDirector,isOfficer",0001562180-20-004394,2020-06-08,M,6650.0,0.0,23444.9393,D,,,,,,
51143,2020-06-09,IBM,Schroeter Martin J,isOfficer,0001562180-20-004393,2020-06-07,M,6031.0,0.0,103012.786,D,,,,,,
51143,2020-06-09,IBM,Rometty Virginia M,"isDirector,isOfficer",0001562180-20-004394,2020-06-08,F,3257.0,134.075,20187.9393,D,,,,,,
51143,2020-06-09,IBM,KELLY JOHN E III,isOfficer,0001562180-20-004397,2020-06-08,M,2750.0,0.0,100722.3586,D,,,,,,
51143,2020-06-09,IBM,Schroeter Martin J,isOfficer,0001562180-20-004393,2020-06-08,M,3018.0,0.0,103076.786,D,,,,,,
51143,2020-06-09,IBM,Schroeter Martin J,isOfficer,0001562180-20-004393,2020-06-08,F,1478.0,134.075,101598.786,D,,,,,,
51143,2020-08-07,IBM,Gherson Diane J,isOfficer,0001562180-20-005361,2020-08-05,S,1176.0,126.73,31766.8847,D,,,,,,
51143,2020-08-11,IBM,Gherson Diane J,isOfficer,0001562180-20-005384,2020-08-10,S,1215.0,127.0,30596.7968,D,,,,,,
51143,2020-08-11,IBM,Gherson Diane J,isOfficer,0001562180-20-005384,2020-08-11,S,1895.0,128.76,28701.7968,D,,,,,,
51143,2020-10-28,IBM,TAUREL SIDNEY,isDirector,0001562180-20-006439,2020-10-27,P,5000.0,110.745,28798.0,D,,,,,,
51143,2020-10-29,IBM,MCNABB FREDERICK WILLIAM III,isDirector,0001562180-20-006447,2020-10-28,P,9250.0,108.0135,9250.0,D,,,,,,
51143,2020-10-29,IBM,WADDELL FREDERICK H,isDirector,0001562180-20-006446,2020-10-28,P,1000.0,107.4958,3763.0,I,,,,,,
51143,2020-10-30,IBM,FARR DAVID N,isDirector,0001562180-20-006463,2020-10-29,P,750.0,107.6574,6758.0,D,,,,,,
51143,2020-11-02,IBM,LIVERIS ANDREW N,isDirector,0001562180-20-006483,2020-11-02,P,2655.0,112.92,2655.0,I,,,,,,
51143,2020-11-02,IBM,Swedish Joseph,isDirector,0001562180-20-006481,2020-10-30,P,2000.0,111.0099,5261.0,I,,,,,,
51143,2020-11-09,IBM,Gorsky Alex,isDirector,0001562180-20-006590,2020-11-09,P,4232.0,117.855,4232.0,D,,,,,,
51143,2020-11-10,IBM,KELLY JOHN E III,isOfficer,0001562180-20-006653,2020-08-12,G,7133.0,0.0,95844.6406,D,,,,,,
51143,2020-12-14,IBM,Rometty Virginia M,"isDirector,isOfficer",0001562180-20-007261,2020-12-10,G,210.0,0.0,12716.5107,D,,,,,,
51143,2020-12-14,IBM,BROWDY MICHELLE H,isOfficer,0001562180-20-007260,2020-12-07,G,860.0,0.0,69404.218,D,,,,,,
51143,2020-12-14,IBM,KELLY JOHN E III,isOfficer,0001562180-20-007259,2020-11-18,G,82817.0,0.0,13035.6007,D,,,,,,
51143,2020-12-14,IBM,KRISHNA ARVIND,"isDirector,isOfficer",0001562180-20-007258,2020-12-11,M,16129.0,0.0,93938.2346,D,,,,,,
51143,2020-12-14,IBM,KRISHNA ARVIND,"isDirector,isOfficer",0001562180-20-007258,2020-12-11,F,7750.0,124.555,86188.2346,D,,,,,,
51143,2021-01-20,IBM,Whitehurst James M,isOfficer,0001562180-21-000381,2021-01-16,F,1526.0,129.02,152070.423,D,,,,,,
51143,2021-02-03,IBM,Del Bene Robert F,isOfficer,0001562180-21-000846,2021-02-01,A,2663.0,0.0,12940.17,D,,,,,,
51143,2021-02-03,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-21-000845,2021-02-01,A,15144.0,0.0,92746.413,D,,,,,,
51143,2021-02-03,IBM,BROWDY MICHELLE H,isOfficer,0001562180-21-000847,2021-02-01,A,10961.0,0.0,81270.835,D,,,,,,
51143,2021-02-03,IBM,Del Bene Robert F,isOfficer,0001562180-21-000846,2021-02-01,F,1054.0,119.845,11886.17,D,,,,,,
51143,2021-02-03,IBM,BROWDY MICHELLE H,isOfficer,0001562180-21-000847,2021-02-01,F,4142.0,119.845,77128.835,D,,,,,,
51143,2021-02-03,IBM,KAVANAUGH JAMES J,isOfficer,0001562180-21-000845,2021-02-01,F,6101.0,119.845,86645.413,D,,,,,,
51143,2021-02-03,IBM,LAMOREAUX NICKLE JACLYN,isOfficer,0001562180-21-000843,2021-02-01,A,777.0,0.0,2837.59,D,,,,,,
