cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1571949,2019-02-21,ICE,Wassersug Mark,,0001209191-19-012068,2019-02-19,F,1753,74.86,36573,D,,,,,,
1571949,2019-02-21,ICE,Vice Charles A,,0001209191-19-012064,2019-02-19,F,11380,74.86,414290,D,,,,,,
1571949,2019-02-21,ICE,Surdykowski Andrew J,,0001209191-19-012060,2019-02-19,F,841,74.86,43306,D,,,,,,
1571949,2019-02-21,ICE,Namkung James W,,0001209191-19-012059,2019-02-19,F,419,74.86,17560,D,,,,,,
1571949,2019-02-21,ICE,Martin Lynn C,,0001209191-19-012056,2019-02-19,F,1483,74.86,32718,D,,,,,,
1571949,2019-02-21,ICE,Sprecher Jeffrey C,,0001209191-19-012053,2019-02-19,F,17888,74.86,1553471,D,,,,,,
1571949,2019-02-21,ICE,Sprecher Jeffrey C,,0001209191-19-012053,2019-02-20,M,53000,22.5,1606471,D,,,,,,
1571949,2019-02-21,ICE,Sprecher Jeffrey C,,0001209191-19-012053,2019-02-20,S,72502,74.3266,1533969,D,,,,,,
1571949,2019-02-21,ICE,Jackson Benjamin,,0001209191-19-012050,2019-02-19,F,2532,74.86,86807,D,,,,,,
1571949,2019-02-21,ICE,Hill Scott A,,0001209191-19-012046,2019-02-19,F,7602,74.86,182322,D,,,,,,
1571949,2019-02-21,ICE,Goone David S,,0001209191-19-012042,2019-02-19,F,6246,74.86,172001,D,,,,,,
1571949,2019-02-22,ICE,Martin Lynn C,,0001209191-19-012550,2019-02-20,F,1858,74.48,30860,D,,,,,,
1571949,2019-02-22,ICE,Wassersug Mark,,0001209191-19-012558,2019-02-20,F,1574,74.48,34999,D,,,,,,
1571949,2019-02-22,ICE,Vice Charles A,,0001209191-19-012556,2019-02-20,F,7519,74.48,406771,D,,,,,,
1571949,2019-02-22,ICE,Surdykowski Andrew J,,0001209191-19-012555,2019-02-20,F,945,74.48,42361,D,,,,,,
1571949,2019-02-22,ICE,Namkung James W,,0001209191-19-012553,2019-02-20,F,395,74.48,17165,D,,,,,,
1571949,2019-02-22,ICE,Sprecher Jeffrey C,,0001209191-19-012549,2019-02-21,S,10563,74.8875,1506209,D,,,,,,
1571949,2019-02-22,ICE,Jackson Benjamin,,0001209191-19-012544,2019-02-20,F,2387,74.48,84420,D,,,,,,
1571949,2019-02-22,ICE,Hill Scott A,,0001209191-19-012541,2019-02-20,F,5309,74.48,177013,D,,,,,,
1571949,2019-02-22,ICE,Goone David S,,0001209191-19-012539,2019-02-20,F,4306,74.48,167695,D,,,,,,
1571949,2019-02-22,ICE,Sprecher Jeffrey C,,0001209191-19-012549,2019-02-20,F,17197,74.48,1516772,D,,,,,,
1571949,2019-02-28,ICE,Jackson Benjamin,,0001209191-19-014483,2019-02-26,F,1662,75.3,82758,D,,,,,,
1571949,2019-03-05,ICE,Namkung James W,,0001209191-19-016507,2019-01-14,F,147,72.7,17018,D,,,,,,
1571949,2019-03-05,ICE,Namkung James W,,0001209191-19-016507,2019-01-18,F,155,75.63,16863,D,,,,,,
1571949,2019-03-05,ICE,Namkung James W,,0001209191-19-016507,2019-02-08,F,150,76.16,16713,D,,,,,,
1571949,2019-03-05,ICE,Namkung James W,,0001209191-19-016507,2019-02-08,A,1641,0.0,18354,D,,,,,,
1571949,2019-03-05,ICE,Vice Charles A,,0001209191-19-016511,2019-03-01,M,25000,50.01,431771,D,,,,,,
