cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
832101,2016-02-17,IEX,YATES MICHAEL J,,0001605266-16-000007,2016-02-15,F,547,71.76,14849,D,,,,,,
832101,2016-02-17,IEX,Silvernail Andrew K,,0001605266-16-000006,2016-02-15,F,6420,71.76,83239,D,,,,,,
832101,2016-02-17,IEX,SALLIOTTE DANIEL J,,0001605266-16-000005,2016-02-15,F,620,71.76,25141,D,,,,,,
832101,2016-02-17,IEX,BUCKLEW JEFFREY D,,0001605266-16-000004,2016-02-15,F,666,71.76,3579,D,,,,,,
832101,2016-02-17,IEX,MITTS HEATH A,,0001605266-16-000003,2016-02-15,F,1454,71.76,27860,D,,,,,,
832101,2016-02-17,IEX,ASHLEMAN ERIC D,,0001605266-16-000002,2016-02-15,F,568,71.76,25099,D,,,,,,
832101,2016-02-23,IEX,YATES MICHAEL J,,0001485532-16-000019,2016-02-19,A,3180,74.74,18029,D,,,,,,
832101,2016-02-23,IEX,YATES MICHAEL J,,0001485532-16-000019,2016-02-19,F,1024,74.74,17005,D,,,,,,
832101,2016-02-23,IEX,Silvernail Andrew K,,0001485532-16-000018,2016-02-19,A,37010,74.74,120249,D,,,,,,
832101,2016-02-23,IEX,Silvernail Andrew K,,0001485532-16-000018,2016-02-19,F,14956,74.74,105293,D,,,,,,
832101,2016-02-23,IEX,SALLIOTTE DANIEL J,,0001485532-16-000017,2016-02-19,A,3640,74.74,28781,D,,,,,,
832101,2016-02-23,IEX,SALLIOTTE DANIEL J,,0001485532-16-000017,2016-02-19,F,1171,74.74,27610,D,,,,,,
832101,2016-02-23,IEX,MITTS HEATH A,,0001485532-16-000016,2016-02-19,A,9120,74.74,36980,D,,,,,,
832101,2016-02-23,IEX,MITTS HEATH A,,0001485532-16-000016,2016-02-19,F,2856,74.74,34124,D,,,,,,
