cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1110803,2018-04-13,ILMN,Van Oene Mark,,0001127602-18-014584,2018-04-12,S,1400,238.48,12217,D,,,,,,
1110803,2018-05-03,ILMN,BOWMAN A BLAINE,,0001127602-18-016281,2018-05-01,M,1800,44.51,18668,D,,,,,,
1110803,2018-05-03,ILMN,BOWMAN A BLAINE,,0001127602-18-016281,2018-05-01,S,1400,240.902,18468,D,,,,,,
1110803,2018-05-04,ILMN,OSTADAN OMEAD,,0001127602-18-016421,2018-05-02,S,1314,242.6,27153,D,,,,,,
1110803,2018-05-16,ILMN,FLATLEY JAY T,,0001127602-18-017796,2018-05-14,S,1460,268.0,4000,I,,,,,,
1110803,2018-05-16,ILMN,deSouza Francis A,,0001127602-18-017794,2018-05-14,S,1200,267.408,87371,D,,,,,,
1110803,2018-05-18,ILMN,Ronaghi Mostafa,,0001127602-18-018208,2018-05-16,M,10000,28.45,80996,D,,,,,,
1110803,2018-05-18,ILMN,Ronaghi Mostafa,,0001127602-18-018208,2018-05-16,S,10000,267.7135,70996,D,,,,,,
1110803,2018-05-22,ILMN,EPSTEIN ROBERT S,,0001127602-18-018447,2018-05-21,S,500,271.0,6588,D,,,,,,
1110803,2018-05-22,ILMN,EASTHAM KARIN,,0001127602-18-018445,2018-05-21,S,200,268.005,13088,D,,,,,,
1110803,2018-05-24,ILMN,SCHILLER PHILIP W,,0001127602-18-018880,2018-05-22,F,922,270.8,6314,D,,,,,,
1110803,2018-05-24,ILMN,ARNOLD FRANCES,,0001127602-18-018876,2018-05-23,A,1473,0.0,11662,D,,,,,,
1110803,2018-05-24,ILMN,BOWMAN A BLAINE,,0001127602-18-018887,2018-05-22,F,922,270.8,15946,D,,,,,,
1110803,2018-05-24,ILMN,SCHILLER PHILIP W,,0001127602-18-018880,2018-05-23,A,1473,0.0,7787,D,,,,,,
1110803,2018-05-24,ILMN,GUTHART GARY S,,0001127602-18-018878,2018-05-23,A,1473,0.0,5025,D,,,,,,
1110803,2018-05-24,ILMN,THOMPSON JOHN WENDELL,,0001127602-18-018882,2018-05-23,A,1473,0.0,5788,D,,,,,,
1110803,2018-05-24,ILMN,DORSA CAROLINE,,0001127602-18-018869,2018-05-22,F,922,270.8,6379,D,,,,,,
1110803,2018-05-24,ILMN,EPSTEIN ROBERT S,,0001127602-18-018874,2018-05-23,A,1473,0.0,7139,D,,,,,,
1110803,2018-05-24,ILMN,EASTHAM KARIN,,0001127602-18-018872,2018-05-22,F,922,270.8,11366,D,,,,,,
1110803,2018-05-24,ILMN,DORSA CAROLINE,,0001127602-18-018869,2018-05-23,A,1473,0.0,7852,D,,,,,,
1110803,2018-05-24,ILMN,EPSTEIN ROBERT S,,0001127602-18-018874,2018-05-22,F,922,270.8,5666,D,,,,,,
1110803,2018-05-24,ILMN,EASTHAM KARIN,,0001127602-18-018872,2018-05-23,A,1473,0.0,12839,D,,,,,,
1110803,2018-06-04,ILMN,OSTADAN OMEAD,,0001127602-18-019877,2018-06-01,S,1335,274.61,25818,D,,,,,,
1110803,2018-06-04,ILMN,deSouza Francis A,,0001127602-18-019875,2018-06-01,S,700,272.286,85771,D,,,,,,
1110803,2018-06-13,ILMN,Ronaghi Mostafa,,0001127602-18-020824,2018-06-11,S,600,281.892,80896,D,,,,,,
1110803,2018-06-13,ILMN,Stapley Marc,,0001127602-18-020826,2018-06-11,S,400,284.298,9562,D,,,,,,
1110803,2018-06-13,ILMN,Ronaghi Mostafa,,0001127602-18-020824,2018-06-11,M,10500,28.45,81496,D,,,,,,
1110803,2018-06-22,ILMN,EPSTEIN ROBERT S,,0001127602-18-021798,2018-06-21,S,500,288.45,6639,D,,,,,,
1110803,2018-07-03,ILMN,deSouza Francis A,,0001127602-18-022728,2018-07-02,S,1089,275.443,83282,D,,,,,,
1110803,2018-07-06,ILMN,deSouza Francis A,,0001127602-18-022931,2018-07-05,F,336,280.49,81935,D,,,,,,
1110803,2018-07-12,ILMN,Ronaghi Mostafa,,0001127602-18-023166,2018-07-10,M,7500,37.04,78496,D,,,,,,
1110803,2018-07-12,ILMN,Ronaghi Mostafa,,0001127602-18-023166,2018-07-10,S,4100,288.418,74396,D,,,,,,
1110803,2018-07-13,ILMN,deSouza Francis A,,0001127602-18-023172,2018-07-12,S,3300,300.0,78635,D,,,,,,
1110803,2018-07-24,ILMN,EPSTEIN ROBERT S,,0001127602-18-023808,2018-07-23,S,500,311.15,6139,D,,,,,,
1110803,2018-07-30,ILMN,Ronaghi Mostafa,,0001127602-18-024067,2018-07-27,F,191,301.15,70805,D,,,,,,
1110803,2018-08-03,ILMN,deSouza Francis A,,0001127602-18-024562,2018-08-01,S,700,324.52,77935,D,,,,,,
1110803,2018-08-06,ILMN,OSTADAN OMEAD,,0001127602-18-024773,2018-08-02,S,1334,320.7,24484,D,,,,,,
1110803,2018-08-06,ILMN,Stapley Marc,,0001127602-18-024771,2018-08-02,S,200,320.435,8316,D,,,,,,
1110803,2018-08-14,ILMN,Ronaghi Mostafa,,0001127602-18-025295,2018-08-10,M,10000,37.04,80805,D,,,,,,
1110803,2018-08-14,ILMN,Ronaghi Mostafa,,0001127602-18-025295,2018-08-10,S,3463,330.29,77342,D,,,,,,
1110803,2018-09-06,ILMN,Stapley Marc,,0001127602-18-027001,2018-09-04,S,700,351.619,8816,D,,,,,,
1110803,2018-09-06,ILMN,deSouza Francis A,,0001127602-18-026988,2018-09-04,S,1300,353.34,75235,D,,,,,,
1110803,2018-09-06,ILMN,Van Oene Mark,,0001127602-18-026976,2018-09-04,S,1091,354.18,11126,D,,,,,,
1110803,2018-09-11,ILMN,Ronaghi Mostafa,,0001127602-18-027369,2018-09-10,M,10000,37.04,80805,D,,,,,,
