cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
879169,2018-05-03,INCY,Hoppenot Herve,,0001209191-18-027697,2018-05-02,P,15000,60.94,276690,D,,,,,,
879169,2018-05-03,INCY,BAKER BROS. ADVISORS LP,,0001638599-18-000457,2018-05-02,M,20000,9.92,4407408,I,,,,,,
879169,2018-05-08,INCY,BROOKE PAUL A,,0001209191-18-028548,2018-05-04,G,20000,0.0,197859,D,,,,,,
879169,2018-06-06,INCY,BROOKE PAUL A,,0001209191-18-036063,2018-06-04,M,20000,2.8,217859,D,,,,,,
879169,2018-07-03,INCY,BROOKE PAUL A,,0001209191-18-040987,2018-06-20,G,20000,0.0,197859,D,,,,,,
879169,2018-07-03,INCY,BROOKE PAUL A,,0001209191-18-040987,2018-06-29,A,354,67.0,198213,D,,,,,,
879169,2018-07-03,INCY,BIENAIME JEAN JACQUES,,0001209191-18-040951,2018-06-29,A,216,67.0,5459,D,,,,,,
879169,2018-07-03,INCY,DIXON WENDY L,,0001209191-18-040933,2018-06-29,A,242,67.0,9709,D,,,,,,
879169,2018-07-03,INCY,FOUSE JACQUALYN A,,0001209191-18-040920,2018-06-29,A,186,67.0,336,D,,,,,,
879169,2018-07-03,INCY,BAKER BROS. ADVISORS LP,,0001638599-18-000723,2018-06-29,A,283,67.0,4407691,I,,,,,,
879169,2018-07-05,INCY,Iyengar Vijay K,,0001209191-18-041719,2018-07-05,F,273,68.28,8709,D,,,,,,
879169,2018-07-05,INCY,Hoppenot Herve,,0001209191-18-041748,2018-07-05,F,1532,68.28,187125,D,,,,,,
879169,2018-07-05,INCY,GRYSKA DAVID W,,0001209191-18-041743,2018-07-05,F,280,68.28,10690,D,,,,,,
879169,2018-07-05,INCY,Huber Reid M,,0001209191-18-041730,2018-07-05,F,284,68.28,35019,D,,,,,,
879169,2018-07-05,INCY,Flannelly Barry P,,0001209191-18-041702,2018-07-05,F,273,68.28,13857,D,,,,,,
879169,2018-07-05,INCY,Stein Steven H,,0001209191-18-041685,2018-07-05,F,262,68.28,15197,D,,,,,,
879169,2018-07-05,INCY,Trower Paul,,0001209191-18-041613,2018-07-02,A,2694,0.0,14469,D,,,,,,
879169,2018-07-05,INCY,Trower Paul,,0001209191-18-041613,2018-07-05,F,101,68.28,14368,D,,,,,,
879169,2018-07-05,INCY,Wenqing Yao,,0001209191-18-041610,2018-07-05,F,273,68.28,35647,D,,,,,,
879169,2018-07-05,INCY,SWAIN PAULA J,,0001209191-18-041628,2018-07-05,F,404,68.28,32963,D,,,,,,
879169,2018-07-11,INCY,SWAIN PAULA J,,0001209191-18-042343,2018-07-09,M,10000,18.32,42963,D,,,,,,
879169,2018-07-11,INCY,SWAIN PAULA J,,0001209191-18-042343,2018-07-09,S,10000,71.11,32963,D,,,,,,
879169,2018-07-11,INCY,Iyengar Vijay K,,0001209191-18-042339,2018-07-09,S,606,71.34,8103,D,,,,,,
879169,2018-07-18,INCY,Wenqing Yao,,0001209191-18-043120,2018-07-16,F,430,70.19,35217,D,,,,,,
879169,2018-07-18,INCY,Stein Steven H,,0001209191-18-043106,2018-07-16,F,577,70.19,14620,D,,,,,,
879169,2018-07-18,INCY,SWAIN PAULA J,,0001209191-18-043111,2018-07-16,F,639,70.19,32324,D,,,,,,
879169,2018-07-18,INCY,Trower Paul,,0001209191-18-043115,2018-07-16,F,196,70.19,14172,D,,,,,,
879169,2018-07-18,INCY,Huber Reid M,,0001209191-18-043040,2018-07-16,F,448,70.19,34571,D,,,,,,
879169,2018-07-18,INCY,Flannelly Barry P,,0001209191-18-043025,2018-07-16,F,430,70.19,13427,D,,,,,,
879169,2018-07-18,INCY,GRYSKA DAVID W,,0001209191-18-043028,2018-07-16,F,455,70.19,10235,D,,,,,,
879169,2018-07-18,INCY,Hoppenot Herve,,0001209191-18-043035,2018-07-16,F,2359,70.19,184766,D,,,,,,
879169,2018-08-22,INCY,SWAIN PAULA J,,0001209191-18-047908,2018-08-21,M,10000,18.32,42324,D,,,,,,
879169,2018-08-22,INCY,SWAIN PAULA J,,0001209191-18-047908,2018-08-21,S,10000,70.0,32324,D,,,,,,
879169,2018-09-06,INCY,SWAIN PAULA J,,0001209191-18-049827,2018-09-04,M,10000,18.32,42324,D,,,,,,
879169,2018-09-06,INCY,SWAIN PAULA J,,0001209191-18-049827,2018-09-04,S,10000,73.21,32324,D,,,,,,
879169,2018-10-02,INCY,BAKER BROS. ADVISORS LP,,0001638599-18-001150,2018-09-28,A,275,69.08,4407966,I,,,,,,
879169,2018-10-02,INCY,BROOKE PAUL A,,0001209191-18-053138,2018-09-28,A,343,69.08,198556,D,,,,,,
879169,2018-10-02,INCY,FOUSE JACQUALYN A,,0001209191-18-053114,2018-09-28,A,180,69.08,516,D,,,,,,
879169,2018-10-02,INCY,DIXON WENDY L,,0001209191-18-053099,2018-09-28,A,235,69.08,9944,D,,,,,,
879169,2018-10-02,INCY,BIENAIME JEAN JACQUES,,0001209191-18-053090,2018-09-28,A,209,69.08,5668,D,,,,,,
879169,2018-10-05,INCY,SWAIN PAULA J,,0001209191-18-054387,2018-10-03,M,10000,18.32,42324,D,,,,,,
879169,2018-10-05,INCY,Trower Paul,,0001209191-18-054389,2018-10-03,M,10000,17.79,24172,D,,,,,,
879169,2018-10-05,INCY,SWAIN PAULA J,,0001209191-18-054387,2018-10-03,S,10000,70.0,32324,D,,,,,,
879169,2018-10-05,INCY,Flannelly Barry P,,0001209191-18-054382,2018-10-03,S,1000,70.0,12427,D,,,,,,
879169,2018-10-05,INCY,Trower Paul,,0001209191-18-054389,2018-10-03,S,10000,70.0,14172,D,,,,,,
